Node,Score,Rank
286,0.007242871,1.0
317,0.006036724,2.0
244,0.005963757,3.0
262,0.005715477,4.0
215,0.005333995,5.0
241,0.005213608,6.0
2,0.005079667,7.0
177,0.005047305,8.0
54,0.004863414,9.0
250,0.004814156,10.0
147,0.004800367,11.0
279,0.004746348,12.0
240,0.004657431,13.0
131,0.00459254,14.0
27,0.004544065,15.0
377,0.004499912,16.0
360,0.004481122,17.0
271,0.00445175,18.0
243,0.004412349,19.0
13,0.00434977,20.0
7,0.00429501,21.0
311,0.004218451,22.0
42,0.004175032,23.0
278,0.004094877,24.0
380,0.004049679,25.0
59,0.004021043,26.0
48,0.00401481,27.0
172,0.003994528,28.0
63,0.003882674,29.0
17,0.003861398,30.0
318,0.003838093,31.0
156,0.003781618,32.0
383,0.003727509,33.0
102,0.003641923,34.0
178,0.003634921,35.0
39,0.003574521,36.0
453,0.003561557,37.0
227,0.003547102,38.0
157,0.003488051,39.0
60,0.003476874,40.0
26,0.003470158,41.0
216,0.003452225,42.0
28,0.003444941,43.0
35,0.003429711,44.0
180,0.003391859,45.0
245,0.003343675,46.0
418,0.0033416,47.0
23,0.003303182,48.0
112,0.00328292,49.0
406,0.003234155,50.0
224,0.003165803,51.0
454,0.003160043,52.0
325,0.003153801,53.0
335,0.003128976,54.0
139,0.003088175,55.0
347,0.003080476,56.0
99,0.003049373,57.0
285,0.003037038,58.0
315,0.003006109,59.0
334,0.003001099,60.0
81,0.002991856,61.0
394,0.002983369,62.0
181,0.002983186,63.0
138,0.002981038,64.0
5,0.002968506,65.0
242,0.002954039,66.0
95,0.00294001,67.0
491,0.002935237,68.0
91,0.002931507,69.0
370,0.002929385,70.0
356,0.002928791,71.0
171,0.002927971,72.0
395,0.002922583,73.0
251,0.002904793,74.0
326,0.00290415,75.0
420,0.002900552,76.0
144,0.0028964,77.0
127,0.002859285,78.0
106,0.002857621,79.0
319,0.002854658,80.0
331,0.002845325,81.0
166,0.002836043,82.0
321,0.002819766,83.0
184,0.002816501,84.0
83,0.002815805,85.0
378,0.002791521,86.0
364,0.002787137,87.0
231,0.002786008,88.0
314,0.002736557,89.0
230,0.00273505,90.0
146,0.002709331,91.0
269,0.002682457,92.0
31,0.002682046,93.0
176,0.002674192,94.0
