Starting Node,Average Spreading Ability
1,1.42
2,1.71
3,1.27
4,1.62
5,1.84
6,1.9
7,1.8
8,1.37
9,1.46
10,1.6
11,1.33
12,1.25
13,1.56
14,1.94
15,1.81
16,1.84
17,1.53
18,1.72
19,1.97
20,1.48
21,1.73
22,1.44
23,1.85
24,1.51
25,2.31
26,1.97
27,2.33
28,2.18
29,1.85
30,2.2
31,2.4
32,1.38
33,1.43
34,1.39
35,1.59
36,1.29
37,1.87
38,1.68
39,1.7
40,1.64
41,1.76
42,1.36
43,1.7
44,1.52
45,1.36
46,1.95
47,2.51
48,3.96
49,1.43
50,1.53
51,1.97
52,3.01
53,1.89
54,1.55
55,1.63
56,1.51
57,1.4
58,1.76
59,1.71
60,1.79
61,1.88
62,2.33
63,2.18
64,2.23
65,2.06
66,2.25
67,1.31
68,1.29
69,1.52
70,1.73
71,1.54
72,1.98
73,2.0
74,1.56
75,1.7
76,1.65
77,1.93
78,1.41
79,1.47
80,1.24
81,1.45
82,1.31
83,1.23
84,1.32
85,1.43
86,1.73
87,1.84
88,1.55
89,2.0
90,1.38
91,1.6
92,1.94
93,1.3
94,1.52
95,1.44
96,1.85
97,1.78
98,1.73
99,1.47
100,1.32
101,1.22
102,1.14
103,1.53
104,1.17
105,1.83
106,1.26
107,2.79
108,1.66
109,1.61
110,1.54
111,1.9
112,1.4
113,1.95
114,1.43
115,1.76
116,1.51
117,1.68
118,1.56
119,2.48
120,2.24
121,2.31
122,1.84
123,1.79
124,1.88
125,1.65
126,1.83
127,1.87
128,1.62
129,2.44
130,2.16
131,1.57
132,2.51
133,1.93
134,2.75
135,3.2
136,1.83
137,1.63
138,2.02
139,1.44
140,2.15
141,3.01
142,2.23
143,1.84
144,1.85
145,2.45
146,2.07
147,2.31
148,1.89
149,2.19
150,2.58
151,2.1
152,2.18
153,2.48
154,2.0
155,2.25
156,2.27
157,1.5
158,2.06
159,2.17
160,1.76
161,1.6
162,2.5
163,1.77
164,1.96
165,1.68
166,2.13
167,2.09
168,1.88
169,1.52
170,1.76
171,1.92
172,1.93
173,1.82
174,2.42
175,2.08
176,2.75
177,3.35
178,1.76
179,2.64
180,2.39
181,2.48
182,2.28
183,2.05
184,1.84
185,2.51
186,3.89
187,1.56
188,1.61
189,1.4
190,2.12
191,2.41
192,2.13
193,1.63
194,2.08
195,2.5
196,1.71
197,2.39
198,2.53
199,2.1
200,2.97
201,2.36
202,2.92
203,4.29
204,1.99
205,4.2
206,4.15
207,3.0
208,1.71
209,3.39
210,2.08
211,1.47
212,2.51
213,1.52
214,1.7
215,2.4
216,2.84
217,2.66
218,2.55
219,2.4
220,1.72
221,1.98
222,1.47
223,1.38
224,1.4
225,1.56
226,1.51
227,1.46
228,1.47
229,1.68
230,1.45
231,1.56
232,1.23
233,1.82
234,1.79
235,1.75
236,1.53
237,2.73
238,1.5
239,1.63
240,1.51
241,2.0
242,1.52
243,2.17
244,2.12
245,1.87
246,1.66
247,1.61
248,1.26
249,3.71
250,1.4
251,1.97
252,3.09
253,3.88
254,4.09
255,1.87
256,5.12
257,1.93
258,1.56
259,2.02
260,1.57
261,1.14
262,1.66
263,1.85
264,1.75
265,2.52
266,1.75
267,1.32
268,1.33
269,2.5
270,1.78
271,1.47
272,1.4
273,1.56
274,1.73
275,1.44
276,1.9
277,1.59
278,1.72
279,2.82
280,1.71
281,1.33
282,2.01
283,1.45
284,2.1
285,1.68
286,1.46
287,1.7
288,2.84
289,2.99
290,2.8
291,2.86
292,2.32
293,1.97
294,1.93
295,2.46
296,2.78
297,2.26
298,2.67
299,1.88
300,1.62
301,1.73
302,2.68
303,2.8
304,2.3
305,2.84
306,2.59
307,1.63
308,1.63
309,1.76
310,1.44
311,1.87
312,1.51
313,1.71
314,1.51
315,2.35
316,1.72
317,1.71
318,1.75
319,1.54
320,1.22
321,4.05
322,2.46
323,2.54
324,2.48
325,2.5
326,3.54
327,2.13
328,2.96
329,4.55
330,2.14
331,2.15
332,1.89
333,2.61
334,4.02
335,2.94
336,3.98
337,1.49
338,3.34
339,3.57
340,2.72
341,3.6
342,3.34
343,3.31
344,1.53
345,2.17
346,2.22
347,2.05
348,2.06
349,3.18
350,3.03
351,1.67
352,1.84
353,1.76
354,1.96
355,1.35
356,1.36
357,1.43
358,1.15
359,1.29
360,1.59
361,1.66
362,1.51
363,1.72
364,4.76
365,2.33
366,3.12
367,2.42
368,3.4
369,2.75
370,3.98
371,2.42
372,2.65
373,3.11
374,2.97
375,3.21
376,3.18
377,2.72
378,2.2
379,1.96
380,2.06
381,2.06
382,2.11
383,3.07
384,3.08
385,3.08
386,2.34
387,2.76
388,3.91
389,2.27
390,2.86
391,1.65
392,1.58
393,2.56
394,3.62
395,1.53
396,3.75
397,1.92
398,2.49
399,1.76
400,1.56
401,1.39
402,1.37
403,2.12
404,1.71
405,1.65
406,1.45
407,1.74
408,1.41
409,2.32
410,2.06
411,2.22
412,1.4
413,1.9
414,1.35
415,1.82
416,1.4
417,2.09
418,1.67
419,1.94
420,1.98
421,1.67
422,1.99
423,1.85
424,1.8
425,1.56
426,1.66
427,1.68
428,1.61
429,1.63
430,2.47
431,1.69
432,1.99
433,1.48
434,2.0
435,1.88
436,1.36
437,1.27
438,2.06
439,2.57
440,3.97
441,2.94
442,1.91
443,1.54
444,2.5
445,1.91
446,1.34
447,1.25
448,1.64
449,1.76
450,2.67
451,1.86
452,1.68
453,1.58
454,2.74
455,2.63
456,1.71
457,2.28
458,1.59
459,3.78
460,2.22
461,1.89
462,3.04
463,2.62
464,1.48
465,1.43
466,2.23
467,2.33
468,2.17
469,1.5
470,1.89
471,2.39
472,2.0
473,1.51
474,2.46
475,1.41
476,2.51
477,1.37
478,2.39
479,1.71
480,1.44
481,2.0
482,2.29
483,1.39
484,1.9
485,1.84
486,1.53
487,1.77
488,1.35
489,1.35
490,1.15
491,1.59
492,1.43
493,1.74
494,1.51
495,1.91
496,1.69
