Node,Relative Closeness,Rank
364,0.6955762652553019,1.0
396,0.6814963931176533,2.0
256,0.6399483238672435,3.0
203,0.633968077921361,4.0
513,0.6133974446892971,5.0
205,0.5889929245679262,6.0
388,0.5825872113993105,7.0
329,0.5720597633047181,8.0
610,0.5685657049057293,9.0
141,0.5674188273281134,10.0
459,0.5651281383319883,11.0
334,0.5623373898771219,12.0
48,0.5614595602370297,13.0
107,0.5494487361697613,14.0
254,0.5479066358733572,15.0
249,0.5411210780983035,16.0
383,0.5400568431919163,17.0
237,0.5371189936430666,18.0
370,0.5337022332189133,19.0
186,0.5308476089482488,20.0
321,0.528852510109622,21.0
376,0.5281618503404919,22.0
441,0.5239408908319626,23.0
440,0.5196574690375968,24.0
373,0.5173632248925034,25.0
200,0.516725695154296,26.0
253,0.5166823092188472,27.0
206,0.5161467663822329,28.0
52,0.5141189043684049,29.0
339,0.5116995650817352,30.0
162,0.5082174043405521,31.0
252,0.5046498960831886,32.0
385,0.492459385668567,33.0
368,0.4892338880335041,34.0
177,0.4880588694190115,35.0
394,0.4828629304363252,36.0
326,0.4822432878541085,37.0
343,0.480820083597022,38.0
463,0.4781484371608469,39.0
336,0.4774257514339233,40.0
393,0.4768414120569638,41.0
289,0.4764787077011495,42.0
565,0.4673867027622835,43.0
372,0.467046638637044,44.0
616,0.4651274940148378,45.0
342,0.4648214130329153,46.0
599,0.4634478860678278,47.0
525,0.4632995116113599,48.0
377,0.460839707894805,49.0
96,0.458971416650583,50.0
120,0.4587578979255201,51.0
303,0.4562289259306848,52.0
603,0.4560661558549395,53.0
384,0.4559502191960018,54.0
439,0.4516672539906694,55.0
663,0.4491335341207922,56.0
338,0.4478284055038574,57.0
66,0.4476452822495102,58.0
209,0.4472269125991369,59.0
378,0.4456399908163068,60.0
341,0.4452676034909689,61.0
369,0.4436383136845687,62.0
375,0.4415528107723441,63.0
202,0.4411681076831249,64.0
147,0.4368732648976691,65.0
366,0.4365261574170541,66.0
121,0.4359436000348342,67.0
135,0.4355815004477063,68.0
119,0.4324530574865882,69.0
455,0.4321823086028721,70.0
153,0.4317252991356993,71.0
117,0.4315124658322048,72.0
567,0.4300783943317674,73.0
387,0.4293572382529269,74.0
279,0.4275283543584668,75.0
134,0.4271495583204324,76.0
367,0.4255988145810486,77.0
598,0.4250166600053294,78.0
478,0.4243099476514154,79.0
615,0.4242964988580804,80.0
288,0.424133409743834,81.0
613,0.4209233956808593,82.0
328,0.4207448764168135,83.0
462,0.4203396280942319,84.0
149,0.4186186424535035,85.0
140,0.4184997590787062,86.0
398,0.4183505870548276,87.0
538,0.4178013398126877,88.0
512,0.4170618620253838,89.0
167,0.4158541552503247,90.0
302,0.4154502617158828,91.0
265,0.4141419270624539,92.0
63,0.4133535921211794,93.0
482,0.4130868670524038,94.0
325,0.4114660975373087,95.0
113,0.4080125069672438,96.0
47,0.4068555175491378,97.0
111,0.405236183636017,98.0
191,0.4033566843225719,99.0
450,0.401836827558144,100.0
509,0.4016809122703537,101.0
65,0.4016266338406379,102.0
221,0.4014484771897608,103.0
97,0.399371568629298,104.0
558,0.3989296254708121,105.0
146,0.3988413238053999,106.0
244,0.3987158151562867,107.0
503,0.3978602297355587,108.0
335,0.3977319624800853,109.0
23,0.3972799564965705,110.0
390,0.3966097684279605,111.0
371,0.3962540294685207,112.0
430,0.3949144635780704,113.0
