Starting Node,Average Spreading Ability
1,1.26
2,1.04
3,3.96
4,4.85
5,1.08
6,1.3
7,1.01
8,1.03
9,1.03
10,1.17
11,1.03
12,1.06
13,1.06
14,1.17
15,1.22
16,1.06
17,1.05
18,1.39
19,1.06
20,1.03
21,5.26
22,3.81
23,5.17
24,5.21
25,5.05
26,5.36
27,4.47
28,5.15
29,4.49
30,5.46
31,4.55
32,4.87
33,4.25
34,4.8
35,4.82
36,5.4
37,4.97
38,5.56
39,5.19
40,5.26
41,4.37
42,3.98
43,5.69
44,5.13
45,4.22
46,4.68
47,5.17
48,4.63
49,4.62
50,4.84
51,5.27
52,5.24
53,5.27
54,4.7
55,4.29
56,6.11
57,4.69
58,5.53
59,5.28
60,4.85
61,6.25
62,4.55
63,5.25
64,3.83
65,5.68
66,5.67
67,4.75
68,4.86
69,4.32
70,1.01
71,1.02
72,1.35
73,1.03
74,1.08
75,1.05
76,1.07
77,1.04
78,1.02
79,1.06
80,1.04
81,1.04
82,1.04
83,1.35
84,1.02
85,1.2
86,1.02
87,1.01
88,1.03
89,1.09
90,1.04
91,1.05
92,2.39
93,1.25
94,1.12
95,1.42
96,1.35
97,1.59
98,1.58
99,1.46
100,1.1
101,1.21
102,1.01
103,1.19
104,1.21
105,1.2
106,1.0
107,1.06
108,1.14
109,1.39
110,1.52
111,1.46
112,1.32
113,1.14
114,1.25
115,1.28
116,1.09
117,1.1
118,1.25
119,2.25
120,2.24
121,2.01
122,1.83
123,2.22
124,2.03
125,1.13
126,1.18
127,1.11
128,1.22
129,1.39
130,1.27
131,1.09
132,1.01
133,1.07
134,1.02
135,1.38
136,1.04
137,1.12
138,1.0
139,1.04
140,1.05
141,1.01
142,1.08
143,1.07
144,1.18
145,1.13
146,1.07
147,1.04
148,1.03
149,1.04
150,1.07
151,1.15
152,1.04
153,1.04
154,1.06
155,1.03
156,1.15
157,1.04
158,1.04
159,1.03
160,1.03
161,1.36
162,1.02
163,1.01
164,1.04
165,1.04
166,1.05
167,1.19
168,1.01
169,1.04
170,1.01
171,1.31
172,1.08
173,1.12
174,1.03
175,1.05
176,1.06
177,1.26
178,1.03
179,1.06
180,1.35
181,1.65
182,1.66
183,1.52
184,1.63
185,1.95
186,1.01
187,1.03
188,1.04
189,1.01
190,1.03
191,1.04
192,1.07
193,1.0
194,1.33
195,1.03
196,1.05
197,1.08
198,1.04
199,1.04
200,1.18
201,1.01
202,1.03
203,1.02
204,1.06
205,1.22
206,1.04
207,1.02
208,1.05
209,1.05
210,1.04
211,1.11
212,1.04
213,1.02
214,1.03
215,1.06
216,1.35
217,1.0
218,1.03
219,1.01
220,1.14
221,1.06
222,1.07
223,1.02
224,1.03
225,1.05
226,1.01
227,1.03
228,1.02
229,1.48
230,1.46
231,1.71
232,1.71
233,2.03
234,2.05
235,2.08
236,1.78
237,7.16
238,1.93
239,1.6
240,1.34
241,1.5
242,1.72
243,1.67
244,1.8
245,1.73
246,1.57
247,1.39
248,1.54
249,1.08
250,1.04
251,1.05
252,1.02
253,1.03
254,1.06
255,1.11
256,8.93
257,8.52
258,6.33
259,7.45
260,7.04
261,7.32
262,7.91
263,8.16
264,6.08
265,6.64
266,7.17
267,6.41
268,8.62
269,5.67
270,6.91
271,8.6
272,7.33
273,6.58
274,6.95
275,7.94
276,7.62
277,7.31
278,7.21
279,7.64
280,8.14
281,7.19
282,5.84
283,6.1
284,8.14
285,8.88
286,5.9
287,7.27
288,9.65
289,7.83
290,7.02
291,7.27
292,7.53
293,7.85
294,9.51
295,8.09
296,7.76
297,6.03
298,7.6
299,7.51
300,7.95
301,7.98
302,7.42
303,7.56
304,5.81
305,7.79
306,8.04
307,9.4
308,5.5
309,7.03
310,5.33
311,7.08
312,9.03
313,1.05
314,1.03
315,1.18
316,1.03
317,1.03
318,1.04
319,1.04
320,1.05
321,1.04
322,1.01
323,1.08
324,1.39
325,1.03
326,1.06
327,1.12
328,1.14
329,1.06
330,1.02
331,1.01
332,1.08
333,1.04
334,1.02
335,1.02
336,1.06
337,1.07
338,1.06
339,1.01
340,1.05
341,1.52
342,1.07
343,1.3
344,1.39
345,1.28
346,1.04
347,1.05
348,1.07
349,1.09
350,1.03
351,1.07
352,1.05
353,1.07
354,1.01
355,1.02
356,1.06
357,1.03
358,1.1
359,1.03
360,1.08
361,1.05
362,1.03
363,1.02
364,1.01
365,1.06
366,1.01
367,1.11
368,1.01
369,1.04
370,1.07
371,1.05
372,1.06
373,1.0
374,1.04
375,1.05
376,1.02
377,1.13
378,1.03
379,1.04
380,1.04
381,1.11
382,1.08
383,1.03
384,1.05
385,1.03
386,1.01
387,1.17
388,1.03
389,1.03
390,1.03
391,1.04
392,1.04
393,1.04
394,1.03
395,1.02
396,1.0
397,1.11
398,1.03
399,1.02
400,1.07
401,1.07
402,1.11
403,1.0
404,1.02
405,1.03
406,1.02
407,1.14
408,1.05
409,1.02
410,1.01
411,1.06
412,1.05
413,1.02
414,1.01
415,1.0
416,1.04
417,1.13
418,1.02
419,1.04
420,1.05
421,1.04
422,1.04
423,1.01
424,1.02
425,1.03
426,1.03
427,1.09
428,1.02
429,1.05
430,1.04
431,1.03
432,1.07
433,1.02
434,1.01
435,1.04
436,1.21
437,1.37
438,1.24
439,1.31
440,1.31
441,1.31
442,1.3
443,1.26
444,1.32
445,1.39
446,1.42
447,1.03
448,1.05
449,1.01
450,1.1
451,1.05
452,1.0
453,1.03
454,1.11
455,1.01
456,1.22
457,1.06
458,1.03
459,1.02
460,1.03
461,1.04
462,1.06
463,1.02
464,1.01
465,1.04
466,1.19
467,1.02
468,1.22
469,1.03
470,1.03
471,1.0
472,1.23
473,1.29
474,1.04
475,1.04
476,1.04
477,1.05
478,1.02
479,1.36
480,1.03
481,1.06
482,1.04
483,1.07
484,1.03
485,1.06
486,1.07
487,1.05
488,1.34
489,1.35
490,1.53
491,1.33
492,1.3
493,1.45
494,1.32
495,1.3
496,1.39
497,1.34
498,1.46
499,1.42
500,1.27
501,1.01
502,1.32
503,1.38
504,1.36
505,1.37
506,1.42
507,1.37
508,1.36
509,1.35
510,1.28
511,1.25
512,1.33
513,1.33
514,1.38
515,1.05
516,1.06
517,1.02
518,1.05
519,1.02
520,1.0
521,1.12
522,1.11
523,1.18
524,1.08
525,1.16
526,1.1
527,1.12
528,1.05
529,1.13
530,1.19
531,1.27
532,1.09
533,1.26
534,1.17
535,1.01
536,1.0
537,1.02
538,1.05
539,1.08
540,1.08
541,1.03
542,1.04
543,1.05
544,1.13
545,1.02
