Starting Node,Average Spreading Ability
1,7.18
2,2.64
3,4.52
4,5.61
5,3.13
6,2.45
7,4.3
8,1.79
9,5.15
10,11.01
11,1.48
12,2.5
13,2.2
14,3.83
15,2.14
16,1.73
17,1.83
18,1.49
19,2.17
20,2.1
21,5.87
22,3.82
23,1.27
24,1.77
25,3.08
26,2.58
27,2.54
28,2.74
29,1.73
30,1.56
31,1.43
32,1.48
33,1.16
34,2.07
35,1.94
36,1.73
37,2.54
38,1.5
39,2.62
40,1.7
41,1.65
42,1.31
43,2.37
44,1.85
45,1.19
46,1.6
47,1.92
48,1.28
49,2.51
50,6.43
51,3.34
52,1.5
53,2.32
54,1.84
55,1.57
56,2.22
57,1.53
58,2.52
59,2.96
60,1.75
61,3.24
62,16.86
63,2.1
64,2.21
65,2.1
66,2.93
67,2.47
68,6.8
69,1.62
70,2.11
71,3.84
72,1.77
73,1.57
74,1.39
75,1.2
76,1.55
77,1.21
78,2.1
79,1.22
80,2.46
81,5.71
82,6.3
83,5.41
84,4.7
85,3.55
86,2.15
87,8.07
88,12.39
89,8.58
90,2.71
91,1.51
92,1.78
93,1.91
94,2.29
95,2.73
96,5.05
97,6.76
98,1.3
99,1.34
100,2.63
101,2.3
102,2.24
103,2.35
104,4.51
105,2.46
106,1.24
107,2.85
108,2.7
109,3.31
110,4.31
111,3.17
112,1.56
113,1.98
114,1.25
115,1.21
116,1.51
117,1.82
118,2.67
119,1.28
120,3.61
121,2.34
122,2.01
123,10.95
124,2.46
125,2.56
126,1.4
127,2.15
128,5.59
129,5.27
130,5.95
131,5.33
132,5.33
133,5.88
134,5.8
135,5.46
136,1.33
137,1.6
138,2.17
139,1.73
140,2.09
141,1.43
142,1.71
143,1.18
144,2.39
145,1.26
146,1.94
147,1.92
148,19.1
149,13.96
150,17.66
151,20.27
152,13.1
153,16.74
154,15.69
155,15.89
156,16.14
157,14.58
158,2.32
159,1.42
160,1.74
161,2.33
162,8.32
163,8.38
164,8.01
165,7.77
166,9.2
167,8.41
168,7.64
169,7.9
170,7.95
171,2.62
172,2.09
173,4.57
174,5.49
175,6.29
176,7.35
177,1.3
178,1.35
179,2.16
180,1.86
181,1.24
182,1.4
183,2.33
184,1.28
185,1.46
186,1.95
187,1.44
188,1.31
189,1.62
190,11.38
191,9.95
192,12.79
193,16.49
194,5.48
195,6.69
196,1.86
197,10.5
198,10.77
