Node,Relative Closeness,Rank
155,0.7446314728221766,1.0
148,0.726169685333149,2.0
151,0.7131902560934207,3.0
88,0.6962484394384076,4.0
210,0.6637948815948588,5.0
225,0.6622723044102017,6.0
150,0.6420861350015342,7.0
62,0.6293917788341148,8.0
157,0.6138029688798624,9.0
156,0.6029596694409022,10.0
97,0.5953593657806691,11.0
197,0.5899109871866279,12.0
193,0.5859015539272526,13.0
153,0.583460466383233,14.0
217,0.5802288797374419,15.0
219,0.569567645076115,16.0
312,0.5563838375842337,17.0
261,0.5426675776533518,18.0
227,0.5332613296601982,19.0
216,0.5315718147428328,20.0
247,0.5315600656576255,21.0
288,0.5306908188881851,22.0
245,0.5257039579807776,23.0
176,0.524211768367618,24.0
149,0.5199335127643256,25.0
260,0.5166235239083875,26.0
311,0.5129308602202565,27.0
154,0.5110215625007822,28.0
165,0.5096432047707875,29.0
190,0.5007074536196944,30.0
289,0.4989581514915946,31.0
175,0.4982846639665587,32.0
166,0.4972204889556907,33.0
198,0.4937932011606857,34.0
164,0.4907514930924126,35.0
214,0.4890701086946009,36.0
152,0.4887500530777863,37.0
208,0.4851655246528991,38.0
163,0.4812272042796103,39.0
167,0.4812272042796103,39.0
170,0.4805222201204422,40.0
168,0.4772274871617036,41.0
1,0.4753286266189833,42.0
201,0.474476905120509,43.0
291,0.4735015469089363,44.0
221,0.4730636579269842,45.0
192,0.4712810254014784,46.0
246,0.4710722937359199,47.0
231,0.4710237641229763,48.0
228,0.4699359807777747,49.0
162,0.4698995449761999,50.0
87,0.4689997690180925,51.0
357,0.4688644056415837,52.0
50,0.4676035865073631,53.0
209,0.4659317774112236,54.0
169,0.4622315573230997,55.0
123,0.4604946970338035,56.0
220,0.4596249963312779,57.0
320,0.4559271293633858,58.0
81,0.4527306267277085,59.0
83,0.4511188441629603,60.0
290,0.4500593977291169,61.0
10,0.4476174341881649,62.0
203,0.4473505516727492,63.0
4,0.4473058806920332,64.0
200,0.4445300269251239,65.0
211,0.4443015443252915,66.0
232,0.4441151473762263,67.0
89,0.4417566579173231,68.0
199,0.4359340798810174,69.0
262,0.433642862680584,70.0
358,0.4334203374850519,71.0
202,0.4327568916303466,72.0
259,0.4325089268648381,73.0
224,0.4317937202447836,74.0
218,0.4303554588318491,75.0
82,0.428410731944461,76.0
134,0.419981722984616,77.0
129,0.419981722984616,77.0
135,0.419981722984616,77.0
84,0.419595781952079,78.0
68,0.416670048285837,79.0
223,0.4143420696338503,80.0
131,0.4142096346968611,81.0
130,0.4142096346968611,81.0
132,0.4142096346968611,81.0
128,0.4142096346968611,81.0
133,0.4142096346968611,81.0
205,0.4137998565443631,82.0
323,0.4129669174785605,83.0
195,0.4063163538388549,84.0
204,0.4056927181730279,85.0
265,0.4048517841445171,86.0
207,0.4042566035331316,87.0
280,0.4031959294216103,88.0
7,0.402927493339544,89.0
308,0.3974340025935103,90.0
264,0.3962696122425529,91.0
