feature,PC1,PC2,PC3,PC4,PC5
Degree Centrality,0.15921805734298136,0.001125602290996543,-0.07049929101674783,0.16398836977333706,0.022637349305487057
Betweenness Centrality,0.07165768762605351,-0.23563218575477535,0.08750680766727786,0.2747292121523637,-0.028321513243498003
Leverage Centrality,0.08443448945593754,-0.05435604766696177,-0.10307915765129005,0.45389787105001345,0.062193535721532564
Isolating Centrality,0.03667164718224,-0.1076251043608978,0.01581281869917628,0.30868769700084175,-0.3149835556029291
GSM,0.13461640467719008,-0.27898234022954616,-0.027918008474090872,-0.13201433811407076,0.02119361591364226
H-GSM_1,0.1418950024286625,-0.2568239195005897,-0.00649899528006212,-0.08462250228735477,0.02864022176886749
Local-Global Centrality,0.162695234726266,-0.03986661966515015,0.008421830790226317,0.11376617753953462,0.025591917512756357
PageRank Centrality,0.12441177954094701,-0.04187674522397933,-0.02758359908288978,0.38263278693841724,0.049762675988592464
Coreness Centrality,0.15251244775133882,0.11814291176811798,-0.16848165641273938,-0.0055583101584373885,-0.07754172360975597
Extended Coreness,0.15131005963227198,0.13939060964007566,-0.1352812545889929,-0.07870245684839418,-0.11212959988910355
Global Relative Change in Avg Degree,0.1570244767225902,0.03878476405867063,-0.012692176446505955,0.12844833438296618,-0.05423967863419038
Global Relative Change in Avg Clustering,0.023069626505487526,0.11113253648721087,0.04221787847441599,0.1548539217887368,0.768115115932146
Clustering Coefficient,0.042260999318123486,0.08754186946249229,-0.32995417420490275,-0.14735935657827162,0.44570002963563565
DIL Centrality,0.1358676485109152,-0.05422406998954133,0.19064415576305715,0.15052298197941807,0.02365593183383433
I-GSM Values,0.15500408664531626,-0.1690039230330159,0.00524041196771734,-0.11023392811102632,0.007252323288069483
Clustered Local Degree,0.1569470886350893,0.09539815321966187,-0.13726577045775346,-0.0866922968357297,-0.014027769152315728
Gravity Index Centrality,0.14568306066333245,0.1443244012314601,-0.1754760092879639,-0.05568147693090527,-0.13652747951682273
Gravity Model Centrality,0.16384598154518518,0.00798685119271959,0.07438089171818482,0.054204164668051724,0.014060702758987199
Local Gravity Model Centrality,0.1586189638315601,0.12218913682594663,0.08213195624064501,0.02550538739286875,0.001988073071110881
Laplacian Centrality,0.16522519668116767,0.06275277678263162,-0.0036475409464660916,0.03446607135912323,-0.0017703640605072181
Closeness Centrality,0.10693908378261838,-0.3648812349491482,0.014977084677149718,-0.13432987916391886,0.061636573426092564
Semi local centrality,0.15935966444617347,0.03130037262849969,0.11664082587880198,-0.08915319589297659,0.004798717731464855
Eccentricity Centrality,0.09908965315173382,-0.2633722645468743,0.07551118415108843,-0.2056993324974933,0.06279006382706546
Density Centrality,0.15941099959417557,0.0352085079513681,0.1026533554190906,0.09998614669822066,0.028467476381077352
MDD Value,0.16028743682198732,0.008277853605226204,-0.11632482714071637,0.10967502416221302,0.01912830927577791
EHCC Value,0.16403235979885397,0.07604457018075511,-0.051886877731163475,-0.05229845599827466,-0.03223278135501347
HCC Value,0.15734370518685487,-0.003105267192602852,-0.14779143645719933,-0.08851325052133074,0.0006103688681845
P Value,0.1461296158746756,-0.033098492244482434,-0.2010056480861138,-0.1253456232620928,0.013698941279689226
Extended Degree,0.16592145308694561,0.04701065982998424,-0.04641847188910159,-0.00975256423215366,-0.020074417081064208
Eigenvector Centrality,0.10717105847316084,0.1050851837683025,0.3189289109596535,-0.11546760758152992,0.049929115205854614
CLC Values,0.1549312895068153,0.00229574631115884,0.19452575653040663,-0.03824545911188059,0.0015217155965119092
Centrality Values,0.16321799689591618,-0.011132203776260391,0.08699084593127347,-0.02181129256761233,0.02549839795684713
Constraint Coefficients,0.11434156222459999,-0.18634307255582874,-0.12802919279827457,0.22115471391433794,-0.0382356403115075
HVGc Index,0.14935133749882373,0.17811403034602777,0.13390122097439996,-0.04773286596095868,-0.03067494458338966
PE Values,0.16182891774086408,-0.04270441826301657,0.10611014760162919,0.003638199509393619,0.02132587319700309
H Values,0.10545685044752151,0.15085148064553844,0.3411323664818015,-0.0629411617978983,0.07768263739068598
Volume Centrality,0.14592629150785785,-0.1421833429400421,0.05875661061544941,-0.1300792203036501,-0.02806081236638666
GIN Values,0.1333340794913602,-0.2875564138964825,0.011310561553205627,-0.1381884929506676,0.03566886020268644
LGC Scores,0.15163861207886,0.1313370733062949,0.18085182976021563,-0.025487447887119274,0.013725645902849824
DNC Scores,0.1550835381669735,0.05076549643849505,-0.13512096452399952,0.13650187734572733,0.05120680491818885
EIGSM Values,0.16634173618962012,-0.007331669278865134,0.032389310678648635,-0.012241454349736258,0.0023134430981562853
Societal Capital Scores,0.1657939784839712,0.049168508393486555,-0.04508814180530627,-0.018391440091662704,-0.022148960641494922
Improved Gravity Index Values,0.15963295432470218,0.09306399953216712,-0.07503651641500962,-0.07409507772376285,-0.09443397721408477
Extended Improved Gravity Index Values,0.15756514284986253,0.1274105072387576,-0.02887288340743869,-0.10139382371812403,-0.09039400808033103
Node H-Index,0.15320451858106965,0.0358672765719791,-0.19239462174398683,0.026548568473934917,-0.013517107246222777
MCGM Values,0.1498662051325587,0.1308049211923034,0.18186649650172973,-0.05410806746882441,0.002073551882558991
GGC Values,0.14189643135639335,-0.025167905405703832,0.2611061109519548,0.1020810653093824,0.041834230535727816
Subgraph centrality,0.1319981572443028,0.24393455143437273,0.0004231750152640795,-0.06641193274457302,-0.09548444152093666
Second order centrality,0.11659297457954164,-0.3085156745127599,-0.07595846699033768,-0.12681495894896774,0.07165714321307873
K-Shell Value,0.1351731857320786,0.08736742228329628,-0.30190831168473414,-0.022729767950525004,-0.01089557647989531
