Node,Score,Rank
39,0.384635824,1.0
36,0.345721957,2.0
38,0.225000083,3.0
22,0.220949591,4.0
35,0.204802425,5.0
8,0.200767711,6.0
2,0.200025579,7.0
23,0.186135185,8.0
12,0.171657153,9.0
1,0.163314294,10.0
27,0.159309462,11.0
7,0.15847043,12.0
19,0.156669045,13.0
13,0.146310411,14.0
18,0.145944347,15.0
15,0.144650325,16.0
33,0.141966429,17.0
32,0.141180207,18.0
11,0.140366675,19.0
9,0.139648472,20.0
26,0.134711649,21.0
30,0.132373569,22.0
14,0.131021951,23.0
28,0.126304068,24.0
29,0.119779479,25.0
25,0.119779479,25.0
3,0.11596654,26.0
31,0.114604957,27.0
21,0.112917715,28.0
10,0.110959263,29.0
16,0.101106023,30.0
24,0.100568298,31.0
20,0.100568298,31.0
17,0.080058022,32.0
4,0.074014729,33.0
6,0.070223525,34.0
5,0.059373489,35.0
37,0.040451235,36.0
34,0.022889935,37.0
