Lambda,Kendall_Tau,P_Value
0.0415,0.6172741542943299,3.8645344743667224e-08
0.0507,0.6752556339688575,1.6669623199699026e-09
0.06,0.6508795669824086,5.87431294047814e-09
0.0692,0.6246618200715576,2.4176120859487256e-08
0.0784,0.6869507993474744,7.918169773624197e-10
0.0876,0.6581087090111483,3.814586626533813e-09
0.0968,0.7168028260690975,1.5298916168151525e-10
0.1061,0.7653821898241545,7.471606769708365e-12
0.1153,0.7293640054127198,6.93201389385485e-11
0.1245,0.7843139047668015,2.25509421772539e-12
