Node,Relative Closeness,Rank
39,0.17152135184067566,1.0
36,0.11636864403777647,2.0
38,0.04702380617221757,3.0
35,0.04250318309848486,4.0
1,0.03860934365674143,5.0
8,0.03198838424028181,6.0
22,0.031318180600503155,7.0
23,0.023006845975404158,8.0
2,0.022070441350245634,9.0
12,0.02150130321256713,10.0
7,0.021458912968712253,11.0
19,0.020926536533175208,12.0
27,0.020195191045688107,13.0
18,0.01989873454657224,14.0
15,0.01976007249345942,15.0
14,0.018007995641213977,16.0
5,0.017314348333618,17.0
4,0.017023024853110906,18.0
13,0.016939468379609815,19.0
11,0.016912753799567956,20.0
26,0.016513459375645162,21.0
3,0.0165086490520737,22.0
32,0.016324587539666077,23.0
33,0.016219628238988218,24.0
9,0.01592643276192742,25.0
28,0.014984185054144832,26.0
25,0.014959767940415189,27.0
29,0.014959767940415189,27.0
30,0.014631271199093155,28.0
21,0.013493848891382915,29.0
16,0.013447891523092628,30.0
10,0.01336172174259696,31.0
31,0.013332076557009218,32.0
6,0.01234150205761943,33.0
17,0.012314477253713318,34.0
24,0.012275696680348686,35.0
20,0.012275696680348686,35.0
37,0.012230464564742364,36.0
34,0.009550352167151176,37.0
