Node,Relative Closeness,Rank
608,0.9864369063782866,1.0
607,0.7709019121639297,2.0
507,0.7627275797755915,3.0
379,0.7331986265088603,4.0
8,0.7251198265435007,5.0
2,0.6930401051558555,6.0
544,0.6919423108710917,7.0
27,0.6401715346008023,8.0
494,0.6235012339357379,9.0
621,0.6093853980765942,10.0
553,0.5963254662277129,11.0
611,0.5887227172444695,12.0
497,0.5846370735919155,13.0
482,0.5838697162460732,14.0
496,0.5805916184798224,15.0
432,0.557288526650511,16.0
478,0.544792822085734,17.0
480,0.5435783785619187,18.0
481,0.5421414447445115,19.0
772,0.5180926504631186,20.0
773,0.512726841924243,21.0
634,0.4997674185239467,22.0
484,0.4963797343252115,23.0
563,0.49169621417228115,24.0
440,0.4764516019256194,25.0
202,0.47506835600594144,26.0
15,0.4710497826483303,27.0
616,0.4646398601658995,28.0
208,0.4618608592008061,29.0
4,0.4551794336853588,30.0
546,0.4321701649108948,31.0
230,0.4045437622264286,32.0
411,0.40103147939556466,33.0
625,0.395221129872244,34.0
655,0.38501081830454315,35.0
334,0.3779399589645165,36.0
418,0.3767239444785599,37.0
387,0.3762529311057234,38.0
540,0.37555088470921405,39.0
525,0.3701372465182822,40.0
567,0.36941061349209453,41.0
506,0.3566569440505066,42.0
488,0.35233458762716613,43.0
245,0.3516390335798174,44.0
402,0.34729821718558457,45.0
646,0.33788233333490136,46.0
347,0.3291766711946002,47.0
519,0.327231945820495,48.0
493,0.32395315037416966,49.0
448,0.3210769420020445,50.0
570,0.3109268569398045,51.0
401,0.31017388085097797,52.0
439,0.3083615291713175,53.0
383,0.3066091520998394,54.0
612,0.3053013130962126,55.0
490,0.3044699700353756,56.0
318,0.3000855876215064,57.0
486,0.2989925584697725,58.0
250,0.2968302956123548,59.0
23,0.2943213781063892,60.0
325,0.29334813621304623,61.0
352,0.2898179472853754,62.0
84,0.2877273608700416,63.0
622,0.2854193669903197,64.0
43,0.28536620802931467,65.0
415,0.2847059280041541,66.0
35,0.278274109474137,67.0
199,0.27827023333170703,68.0
164,0.275976168275342,69.0
526,0.27455057937601585,70.0
237,0.2739768293094015,71.0
134,0.27371803874491146,72.0
574,0.2712676090899087,73.0
662,0.26729285849429524,74.0
212,0.2657218014785788,75.0
578,0.26512020518972457,76.0
7,0.26402204323890577,77.0
534,0.26300099323367127,78.0
628,0.2610149999993978,79.0
36,0.2581037834030343,80.0
455,0.2565282385925149,81.0
6,0.25511184563114014,82.0
244,0.2538432219336171,83.0
651,0.2526609191052162,84.0
262,0.25243391242623436,85.0
624,0.2508496873496645,86.0
349,0.2505148271901695,87.0
214,0.25039506530654315,88.0
209,0.2502963740163257,89.0
30,0.24827525953847215,90.0
582,0.24413591209136545,91.0
679,0.24378779234260833,92.0
509,0.24310625622116047,93.0
393,0.2423801954222973,94.0
111,0.24179019703236604,95.0
132,0.24082160270677538,96.0
151,0.24015709027698084,97.0
207,0.23968637065875312,98.0
13,0.23799297006572526,99.0
416,0.23787135629810563,100.0
9,0.23699363654070524,101.0
153,0.23522535792370516,102.0
404,0.2351926058665599,103.0
333,0.2331718636889111,104.0
149,0.23190316610091022,105.0
447,0.2312866083973744,106.0
282,0.22954589616344065,107.0
184,0.22728118831377667,108.0
690,0.22545607335737392,109.0
191,0.22507567022553257,110.0
688,0.22301272283057463,111.0
659,0.22077731357726993,112.0
712,0.219817322351798,113.0
693,0.21797146393968952,114.0
269,0.21680317421361456,115.0
689,0.21506601578082074,116.0
801,0.21437517180941706,117.0
362,0.21368731202869848,118.0
137,0.21318724451913643,119.0
395,0.21262228269523134,120.0
721,0.21082667676959366,121.0
380,0.21058136182217277,122.0
261,0.2097801989370612,123.0
130,0.20853043095615148,124.0
467,0.20842718326520446,125.0
531,0.20801288248908506,126.0
714,0.20800917645231384,127.0
539,0.20669747790939444,128.0
691,0.2061158285679649,129.0
715,0.20416953666845816,130.0
12,0.2034934456810348,131.0
708,0.20296122541361986,132.0
428,0.2020722835506166,133.0
169,0.20017067241514008,134.0
49,0.1991970965440815,135.0
324,0.1987659988917109,136.0
425,0.1971177863906903,137.0
254,0.19707833095009175,138.0
143,0.19549103733051892,139.0
24,0.19535503917473887,140.0
69,0.19532282292044023,141.0
618,0.19437651859778052,142.0
97,0.19402339108076286,143.0
805,0.1936545358389079,144.0
726,0.19351460195464504,145.0
884,0.1930669793590913,146.0
17,0.19232371747054303,147.0
124,0.19072094307316262,148.0
301,0.19015286040807233,149.0
211,0.18932338462263834,150.0
131,0.18897563879234902,151.0
158,0.1885141469506373,152.0
77,0.18843162758631998,153.0
450,0.18745361880342487,154.0
648,0.18637723182368143,155.0
584,0.18617330708726068,156.0
645,0.18592183569487938,157.0
609,0.18496922216030723,158.0
547,0.1849093374640335,159.0
135,0.18471727857758677,160.0
565,0.18443890604094842,161.0
702,0.18316603280246116,162.0
20,0.1826910605777327,163.0
866,0.1808222329384521,164.0
138,0.17994282270966144,165.0
313,0.1792399407672828,166.0
360,0.17853600044547305,167.0
10,0.17721069290026165,168.0
472,0.17685548022135192,169.0
719,0.1764484145311692,170.0
623,0.17547459912400648,171.0
339,0.17523889759657066,172.0
201,0.1748835181343573,173.0
505,0.17361379103969032,174.0
31,0.17298672972923324,175.0
871,0.1715122540969199,176.0
778,0.17128077967748448,177.0
682,0.1709248461489571,178.0
511,0.17027272605720103,179.0
331,0.16992440048523846,180.0
549,0.16975209870358712,181.0
869,0.1696438388737367,182.0
469,0.16945138160315165,183.0
587,0.16890187226959955,184.0
588,0.16886499297344526,185.0
541,0.16877197751370993,186.0
637,0.1686925849427443,187.0
580,0.16851869903048486,188.0
350,0.16810219933430282,189.0
498,0.16775188420842957,190.0
433,0.1677256649897603,191.0
564,0.1673909445069164,192.0
542,0.167304960082893,193.0
11,0.16480786879640433,194.0
633,0.1644781373507919,195.0
409,0.1644062340059573,196.0
435,0.16434604000871392,197.0
558,0.16417195530676,198.0
568,0.16411270096514746,199.0
29,0.16398858019842524,200.0
16,0.1638874955868908,201.0
532,0.16333238260431682,202.0
229,0.16288035106734103,203.0
173,0.16281819657474794,204.0
320,0.16250954212856622,205.0
706,0.16220923221122893,206.0
47,0.161715058486086,207.0
527,0.16131340933105776,208.0
101,0.16109484401849977,209.0
326,0.1609959540120033,210.0
186,0.16092498224443288,211.0
19,0.16064302777894504,212.0
837,0.16013811360239746,213.0
57,0.1593953631213687,214.0
330,0.15921516013143444,215.0
247,0.1590962988102128,216.0
329,0.15888099707647962,217.0
725,0.15887715871327293,218.0
431,0.15884289756271172,219.0
718,0.15856842556465564,220.0
192,0.15793102552357058,221.0
617,0.15786111726400753,222.0
263,0.15762873097794614,223.0
106,0.15753517080782892,224.0
141,0.15745651083704562,225.0
86,0.15737175751626992,226.0
114,0.15734549954820232,227.0
268,0.15714563283693217,228.0
332,0.15713853447656181,229.0
344,0.1567818535915527,230.0
663,0.15656339720840798,231.0
144,0.1563859977084738,232.0
171,0.15631486135855702,233.0
105,0.15617435620430065,234.0
152,0.15610497137757404,235.0
589,0.15597065290485876,236.0
867,0.1556229691115161,237.0
569,0.1551111793873999,238.0
90,0.15506361761767748,239.0
508,0.15495429384849801,240.0
92,0.15457538925435502,241.0
667,0.1545297942312742,242.0
81,0.15431103983344452,243.0
278,0.15296798683219837,244.0
766,0.1527347575187832,245.0
595,0.1526269542914525,246.0
631,0.1522731408091823,247.0
219,0.15224611169128444,248.0
681,0.1521454166488115,249.0
745,0.15181820952804034,250.0
639,0.15162197969770286,251.0
599,0.15135987086310335,252.0
647,0.1511550793259492,253.0
875,0.15035359351034264,254.0
713,0.1497910788285816,255.0
109,0.14945140228303952,256.0
592,0.1493249223346905,257.0
102,0.1487993544080359,258.0
654,0.14853016875658145,259.0
756,0.14829597591059696,260.0
513,0.14808399876246794,261.0
701,0.14742386365745322,262.0
849,0.14682322647867435,263.0
626,0.14609845580833025,264.0
235,0.14561576819807087,265.0
299,0.14510170011334939,266.0
695,0.14391128383488358,267.0
394,0.14382274667024955,268.0
735,0.14232679712543975,269.0
145,0.1418216769205058,270.0
5,0.14028454388752604,271.0
516,0.1402190616986495,272.0
683,0.14013646695674678,273.0
627,0.13973571032409915,274.0
346,0.13969135660999563,275.0
554,0.13962238037314148,276.0
656,0.1391056690849684,277.0
657,0.13879215015264335,278.0
378,0.13822794914862255,279.0
28,0.137008211234538,280.0
817,0.13642803192506095,281.0
804,0.13640377785424396,282.0
195,0.13623831972479872,283.0
238,0.13608147072321203,284.0
640,0.13604060092431908,285.0
575,0.13456249194094175,286.0
319,0.1343408832497568,287.0
66,0.1341147541631882,288.0
236,0.13384619717421042,289.0
397,0.1334885175560368,290.0
636,0.13313247862769453,291.0
614,0.13311629092840022,292.0
26,0.13274514139365667,293.0
388,0.13237313176912868,294.0
