Starting Node,Average Spreading Ability
1,12.28
2,22.16
3,12.64
4,18.14
5,17.58
6,20.26
7,28.02
8,19.11
9,25.47
10,11.78
11,16.93
12,16.97
13,13.43
14,7.9
15,15.39
16,13.08
17,16.31
18,10.83
19,13.95
20,13.96
21,9.53
22,5.86
23,24.61
24,11.36
25,18.32
26,12.73
27,10.04
28,13.35
29,11.3
30,10.76
31,11.4
32,7.24
33,7.6
34,5.91
35,11.2
36,10.82
37,8.01
38,7.07
39,8.05
40,6.39
41,4.0
42,5.01
43,10.13
44,6.4
45,3.62
46,4.72
47,5.59
48,7.54
49,7.41
50,3.74
51,5.39
52,3.75
53,8.3
54,6.08
55,5.3
56,3.61
57,5.84
58,5.77
59,3.75
60,3.01
61,2.49
62,3.86
63,2.88
64,9.8
65,5.62
66,8.14
67,6.94
68,11.01
69,16.27
70,7.51
71,3.63
72,2.93
73,2.1
74,5.48
75,7.01
76,4.14
77,12.74
78,3.65
79,6.59
80,11.64
81,13.54
82,9.64
83,8.66
84,20.06
85,9.02
86,14.12
87,7.4
88,4.96
89,11.4
90,14.24
91,13.26
92,15.31
93,9.96
94,6.6
95,11.92
96,4.12
97,18.17
98,7.11
99,15.13
100,11.13
101,17.79
102,15.48
103,9.31
104,12.76
105,15.33
106,8.42
107,11.48
108,8.0
109,12.91
110,7.15
111,15.29
112,12.38
113,6.42
114,8.24
115,9.31
116,7.95
117,7.67
118,9.91
119,6.15
120,6.94
121,5.74
122,5.52
123,7.0
124,16.84
125,9.91
126,8.46
127,8.11
128,9.27
129,7.56
130,11.72
131,8.7
132,11.72
133,6.62
134,10.25
135,9.58
136,4.85
137,6.83
138,8.13
139,4.7
140,5.91
141,6.62
142,5.02
143,12.46
144,10.37
145,14.96
146,7.63
147,6.77
148,7.39
149,17.26
150,6.82
151,18.45
152,11.35
153,14.97
154,14.4
155,6.92
156,11.63
157,8.05
158,12.32
159,8.01
160,11.03
161,14.13
162,7.83
163,6.54
164,11.24
165,6.08
166,6.66
167,7.73
168,8.0
169,15.43
170,5.23
171,13.86
172,10.89
173,15.61
174,5.09
175,3.93
176,4.28
177,3.32
178,3.88
179,2.81
180,6.45
181,6.51
182,6.12
183,6.09
184,8.41
185,5.22
186,6.46
187,2.86
188,5.47
189,3.18
190,5.47
191,6.45
192,4.72
193,2.21
194,3.76
195,4.29
196,1.99
197,2.34
198,3.44
199,4.9
200,3.75
201,5.07
202,4.33
203,3.64
204,4.41
205,3.35
206,2.75
207,4.4
208,3.37
209,5.95
210,4.76
211,5.8
212,5.64
213,4.44
214,4.89
215,3.97
216,3.43
217,3.43
218,3.22
219,4.52
220,3.66
221,1.69
222,2.86
223,2.29
224,2.37
225,2.57
226,2.12
227,3.08
228,5.16
229,11.67
230,12.58
231,10.45
232,8.33
233,7.75
234,8.48
235,11.13
236,8.7
237,13.22
238,9.12
239,10.65
240,6.14
241,6.38
242,5.39
243,7.82
244,18.93
245,19.52
246,10.75
247,11.17
248,8.09
249,12.9
250,16.35
251,8.1
252,10.76
253,11.7
254,11.73
255,8.95
256,5.96
257,7.67
258,9.59
259,8.74
260,11.89
261,14.23
262,10.67
263,12.79
264,7.64
265,12.87
266,10.41
267,6.38
268,12.55
269,7.77
270,5.26
271,5.09
272,4.58
273,6.89
274,7.17
275,5.9
276,4.89
277,5.26
278,7.59
279,4.16
280,4.88
281,7.61
282,7.75
283,5.0
284,3.24
285,3.53
286,3.2
287,4.62
288,3.83
289,3.87
290,3.69
291,3.73
292,3.64
293,3.14
294,3.14
295,1.9
296,2.28
297,3.73
298,2.58
299,3.83
300,2.71
301,4.6
302,2.1
303,2.67
304,2.23
305,2.8
306,3.08
307,2.73
308,2.17
309,2.05
310,1.74
311,5.06
312,4.77
313,10.39
314,7.18
315,6.13
316,7.12
317,8.03
318,17.39
319,9.71
320,8.81
321,11.07
322,7.1
323,8.19
324,11.7
325,16.72
326,7.91
327,11.49
328,8.03
329,15.8
330,12.64
331,11.68
332,10.12
333,18.01
334,20.98
335,10.29
336,9.54
337,10.03
338,7.34
339,13.9
340,11.54
341,10.46
342,8.3
343,7.9
344,12.56
345,3.97
346,9.65
347,15.94
348,8.78
349,10.67
350,8.53
351,7.43
352,10.37
353,2.38
354,2.57
355,3.43
356,3.08
357,3.13
358,3.7
359,3.28
360,5.85
361,2.97
362,6.43
363,4.56
364,3.21
365,2.99
366,2.99
367,2.72
368,3.05
369,2.94
370,3.68
371,2.38
372,2.96
373,3.27
374,1.91
375,4.12
376,3.7
377,3.46
378,9.53
379,16.13
380,12.18
381,5.35
382,4.79
383,15.67
384,9.59
385,7.8
386,4.08
387,17.42
388,9.8
389,8.15
390,10.23
391,10.68
392,10.69
393,12.5
394,13.97
395,15.35
396,9.96
397,7.89
398,5.77
399,12.57
400,5.8
401,18.31
402,14.47
403,8.28
404,11.4
405,7.24
406,6.03
407,4.63
408,6.4
409,10.26
410,9.03
411,13.49
412,10.57
413,5.02
414,7.61
415,8.55
416,14.6
417,4.62
418,10.7
419,8.46
420,5.04
421,5.06
422,5.59
423,3.07
424,5.88
425,9.45
426,6.02
427,6.97
428,8.66
429,5.8
430,6.34
431,7.5
432,8.96
433,4.99
434,5.96
435,9.06
436,3.69
437,8.63
438,4.67
439,9.41
440,9.98
441,2.16
442,6.33
443,3.55
444,3.05
445,3.04
446,4.08
447,6.89
448,6.87
449,4.88
450,5.71
451,5.88
452,3.73
453,4.46
454,4.81
455,4.97
456,3.7
457,2.91
458,2.93
459,2.52
460,2.49
461,1.86
462,2.31
463,1.76
464,1.94
465,1.94
466,2.57
467,4.77
468,2.79
469,3.34
470,2.68
471,2.53
472,3.48
473,2.84
474,2.85
475,3.67
476,3.07
477,2.59
478,4.18
479,2.32
480,4.31
481,3.32
482,4.98
483,3.47
484,3.52
485,2.98
486,3.81
487,3.98
488,5.51
489,4.0
490,4.14
491,2.5
492,3.14
493,3.0
494,4.06
495,2.35
496,3.83
497,3.6
498,10.43
499,8.36
500,9.67
501,4.22
502,7.6
503,6.54
504,8.03
