Node,Relative Closeness,Rank
2,0.6861450665557551,1.0
608,0.625287205095133,2.0
23,0.5851897872067876,3.0
84,0.560583583856782,4.0
379,0.5590062806063386,5.0
245,0.5380320751916963,6.0
230,0.5318076512728944,7.0
334,0.5135940254622733,8.0
9,0.5107759022618709,9.0
387,0.5083257615783577,10.0
6,0.5040031397870445,11.0
402,0.4990477082659694,12.0
8,0.4951201059918415,13.0
540,0.4938634573379923,14.0
7,0.4935926110200686,15.0
4,0.4838264901289147,16.0
333,0.4812444798690851,17.0
621,0.4770639139098021,18.0
325,0.4761878442567305,19.0
347,0.4632015091455824,20.0
250,0.4629091394890581,21.0
15,0.4618643086665036,22.0
151,0.4611634764558515,23.0
506,0.4609934792264853,24.0
244,0.4466339974829637,25.0
12,0.4465860039064016,26.0
607,0.4464388728312673,27.0
411,0.4432261295685786,28.0
97,0.4385323064268838,29.0
153,0.4342187300755644,30.0
507,0.4300285956781962,31.0
525,0.4280338656078674,32.0
69,0.4277670447937336,33.0
149,0.425951270816579,34.0
352,0.4258290768208622,35.0
164,0.4252476584088662,36.0
404,0.4251064307394896,37.0
574,0.4217780068897912,38.0
30,0.4197715851703967,39.0
101,0.4181198504459292,40.0
401,0.4180080967610593,41.0
539,0.4178306396719933,42.0
544,0.4167403030193942,43.0
132,0.4157865076066459,44.0
432,0.4155590586386595,45.0
17,0.411994752917993,46.0
380,0.4115308731313536,47.0
11,0.4115286610319295,48.0
261,0.4108517142547194,49.0
416,0.4100645104593327,50.0
383,0.4089807518945592,51.0
318,0.4081778491064967,52.0
13,0.4081047088854548,53.0
634,0.4069861075052739,54.0
625,0.4045690581842519,55.0
130,0.4045599982274894,56.0
447,0.4016133716638413,57.0
111,0.4015421965395565,58.0
563,0.4012725282456696,59.0
169,0.3990617967141032,60.0
395,0.3970953353497882,61.0
254,0.3964381917770339,62.0
173,0.395103745071715,63.0
24,0.3943015158999697,64.0
801,0.3932775555091692,65.0
616,0.3931743376725461,66.0
425,0.3920516017915638,67.0
262,0.3904717789461556,68.0
628,0.3888340764607482,69.0
505,0.3883186535851601,70.0
43,0.3881776052130221,71.0
418,0.3880180598661197,72.0
237,0.3869985817307199,73.0
324,0.3864676473184157,74.0
90,0.386015579634885,75.0
428,0.3850833623085078,76.0
19,0.3840717237940096,77.0
92,0.3829345559639542,78.0
158,0.382574235249464,79.0
584,0.3823162731989742,80.0
546,0.3822451709824744,81.0
349,0.3820553419316686,82.0
131,0.3820389588889168,83.0
20,0.3817790156084411,84.0
339,0.3811276848950384,85.0
549,0.3809258608485384,86.0
494,0.3806166212377614,87.0
143,0.3803073339610224,88.0
531,0.3800131405044816,89.0
508,0.3796250624777673,90.0
622,0.3790246943449184,91.0
