Starting Node,Average Spreading Ability
6,2.89
1,2.95
8,3.14
45,3.8
54,5.05
89,3.54
76,1.56
85,1.66
28,2.76
38,2.43
39,1.9
42,1.45
72,4.37
9,2.28
10,1.68
19,2.14
29,2.2
36,1.35
37,1.95
47,1.81
51,3.04
61,2.6
67,1.95
92,1.9
93,3.07
56,3.17
2,1.37
11,1.89
52,1.45
80,1.18
90,1.38
75,2.08
3,1.29
13,1.58
66,1.44
4,1.42
16,1.61
5,2.06
17,1.11
20,1.44
40,1.67
59,1.23
15,1.77
34,1.47
48,2.13
31,1.92
35,1.23
43,2.26
58,1.68
74,2.24
79,1.6
83,1.53
26,1.35
46,1.64
64,1.92
82,1.37
84,1.46
86,1.74
7,1.32
95,1.85
25,1.18
32,1.14
78,1.34
50,1.44
44,1.27
62,1.6
69,1.53
63,1.35
94,1.23
12,1.32
21,1.56
33,1.13
24,1.15
41,1.68
14,1.34
81,1.5
88,1.19
77,1.18
96,1.09
18,1.26
53,1.99
22,1.64
27,1.17
57,1.22
70,1.49
65,1.46
68,1.37
91,1.16
23,1.36
30,1.34
55,1.37
60,1.27
71,1.2
73,1.43
87,1.16
49,1.25
