Node,Relative Closeness,Rank
54,0.9904852394981511,1.0
8,0.6078503682920341,2.0
72,0.5787846291350031,3.0
93,0.5641605280663895,4.0
6,0.5563325018701212,5.0
89,0.540821111216418,6.0
45,0.5386360047320395,7.0
51,0.4860176754343144,8.0
56,0.4808274438411677,9.0
1,0.4683906552369388,10.0
61,0.4184919954919841,11.0
29,0.3894380921562793,12.0
9,0.3841973165069366,13.0
38,0.3493507258846951,14.0
28,0.3490880627173841,15.0
74,0.3305338327718757,16.0
19,0.3037025780291844,17.0
64,0.3013954317654113,18.0
11,0.3006126633684833,19.0
5,0.2966293316317515,20.0
75,0.2921721086320535,21.0
92,0.27442004376876,22.0
37,0.27442004376876,22.0
67,0.27442004376876,22.0
47,0.27442004376876,22.0
36,0.27442004376876,22.0
10,0.27442004376876,22.0
15,0.2715620018575288,23.0
53,0.2576574092689147,24.0
31,0.2575674350121465,25.0
40,0.2564599751851318,26.0
95,0.2460440697077362,27.0
48,0.2447764330388041,28.0
43,0.2416354613517213,29.0
39,0.238460070365685,30.0
41,0.232250149842855,31.0
58,0.2277902434535507,32.0
79,0.2253245609900456,33.0
84,0.2184606926119322,34.0
50,0.2082776723335164,35.0
22,0.2064210515397743,36.0
68,0.206238076421351,37.0
83,0.1891660275811514,38.0
35,0.1891660275811514,38.0
81,0.1884800574147575,39.0
62,0.187836087820745,40.0
44,0.187836087820745,40.0
69,0.187836087820745,40.0
42,0.1834313919244357,41.0
86,0.1805650302686117,42.0
26,0.1805650302686117,42.0
46,0.1805650302686117,42.0
82,0.1805650302686117,42.0
66,0.179163593945436,43.0
34,0.1770378234700061,44.0
14,0.1622475505552983,45.0
52,0.1593148679473843,46.0
80,0.1593148679473843,46.0
2,0.1593148679473843,46.0
90,0.1593148679473843,46.0
13,0.1543762602962048,47.0
21,0.1495782285496243,48.0
23,0.1483797477521387,49.0
70,0.1445435592185456,50.0
65,0.1419383822687658,51.0
85,0.1408424408244833,52.0
76,0.1408424408244833,52.0
7,0.1276891661513411,53.0
32,0.1119611274343552,54.0
78,0.1119611274343552,54.0
25,0.1119611274343552,54.0
60,0.1070200184814123,55.0
4,0.1063874557734262,56.0
30,0.1038238644894704,57.0
94,0.1009142468973223,58.0
16,0.0912553072990045,59.0
17,0.0912553072990045,59.0
20,0.0912553072990045,59.0
3,0.090256967513505,60.0
59,0.0890591435637981,61.0
18,0.087578588525865,62.0
63,0.0852417837651248,63.0
71,0.0843903575119135,64.0
55,0.0835034919817964,65.0
33,0.081608196135866,66.0
12,0.081608196135866,66.0
87,0.0801840822300873,67.0
73,0.0801840822300873,67.0
27,0.0742551202649549,68.0
57,0.0742551202649549,68.0
88,0.067138495653147,69.0
77,0.0649274876793313,70.0
24,0.0642494017597066,71.0
96,0.0630767862750949,72.0
49,0.0604766042478264,73.0
91,0.0594920139878217,74.0
