Top_Nodes,Degree_Centrality,Betweenness_Centrality,PageRank_Centrality,Closeness_Centrality,Eigenvector_Centrality
5,0.42857142857142855,0.25,0.42857142857142855,0.2,0.6666666666666666
10,0.3888888888888889,0.25,0.25,0.375,0.6666666666666666
15,0.4666666666666667,0.36363636363636365,0.30434782608695654,0.5714285714285714,0.875
20,0.3064516129032258,0.48148148148148145,0.42857142857142855,0.6538461538461539,0.6666666666666666
25,0.07183908045977011,0.5151515151515151,0.5151515151515151,0.5882352941176471,0.6666666666666666
30,0.040735873850197106,0.4878048780487805,0.5641025641025641,0.5853658536585366,0.6486486486486487
35,0.04862023653088042,0.5,0.5319148936170213,0.5510204081632653,0.7142857142857143
40,0.05781865965834428,0.4482758620689655,0.5272727272727272,0.5172413793103449,0.6470588235294118
45,0.06438896189224705,0.4461538461538462,0.5161290322580645,0.6610169491525424,0.7090909090909091
50,0.07227332457293036,0.4788732394366197,0.5217391304347826,0.6666666666666666,0.7213114754098361
55,0.07884362680683311,0.4375,0.47435897435897434,0.5476190476190477,0.7424242424242424
60,0.08541392904073587,0.4367816091954023,0.45348837209302323,0.5842696629213483,0.726027397260274
65,0.09198423127463863,0.43617021276595747,0.45161290322580644,0.5670103092783505,0.6111111111111112
70,0.09855453350854139,0.43564356435643564,0.45,0.5728155339805825,0.631578947368421
75,0.10512483574244415,0.41818181818181815,0.4351851851851852,0.5636363636363636,0.6176470588235294
80,0.11300919842312747,0.39166666666666666,0.43103448275862066,0.591304347826087,0.6698113207547169
