feature,PC1,PC2,PC3,PC4,PC5
Degree Centrality,0.1520164246454524,0.09285320029736624,-0.1406434631426446,0.1182427163812279,0.05759152403255095
Betweenness Centrality,0.14563410430300855,0.12347611137639736,-0.015515206946099556,0.11668851229282878,0.0830141682518855
Leverage Centrality,0.08093374374785194,0.12125005069935514,-0.4217427169311432,0.2353664897050478,-0.1893278266268857
Isolating Centrality,0.11952273042980675,0.18159561282684508,0.02426099192520348,0.1724010571501986,0.3946775300335488
GSM,0.1244266597074649,-0.27227780623671366,0.02853500803804844,0.0794113269742101,0.11473138764045704
H-GSM_1,0.13472408978697542,-0.23279550838617433,0.024732509214018348,0.08906984594870768,0.12894229309900263
Local-Global Centrality,0.15687930473752834,0.0936349534870093,-0.05877469819497961,0.08367175273361703,0.06764276825017677
PageRank Centrality,0.14406732404179895,0.11445164960733696,-0.1751215009311325,0.1764912187138941,0.09198941670173753
Coreness Centrality,0.15956918297848355,0.035103067114342565,-0.07080995083653974,0.00912315330139543,-0.04734084769535038
Extended Coreness,0.1589906880620573,-0.04434023727236834,0.03924044473503044,-0.08278545679702985,-0.13040580870888652
Global Relative Change in Avg Degree,0.15196493132450348,0.1028281564160177,-0.10527535513852818,0.11950689084738887,0.07471286778336117
Global Relative Change in Avg Clustering,0.04200520086112156,0.041046287923751604,-0.36988225949508,-0.4058664466745181,0.36602954961640377
Clustering Coefficient,0.010536182472212823,-0.040596400645851585,-0.28915919754780256,-0.6223924108241486,0.2500581691587489
DIL Centrality,0.13964567667219713,0.17065376674112756,0.09583395615157081,0.059618836529814805,0.20618200140149087
I-GSM Values,0.14133477486335494,-0.21697949161530306,0.03795902231240219,0.023670563924648388,0.02259544090979489
Clustered Local Degree,0.15456327888156723,-0.07037206114250875,-0.010283221824318794,-0.1582689341912256,-0.10764935272440089
Gravity Index Centrality,0.1585796388543599,0.008248167856944736,-0.0034086342368412283,-0.06812479896255905,-0.1632197643708195
Gravity Model Centrality,0.157523507426701,0.10642198923185384,0.02182213931957089,0.028480674678612795,0.05109946559395927
Local Gravity Model Centrality,0.15066850056329092,0.14423175494686644,0.10262127166925278,-0.03438375218789472,0.05148850364229191
Laplacian Centrality,0.15771616786124706,0.08912901214973577,0.038404905454875356,0.021294914162447602,0.10541251429970296
Closeness Centrality,0.11578984206188803,-0.29112627744675174,0.04038629137561146,0.09894262409388448,0.14827555088267047
Semi local centrality,0.15769796983588033,-0.04613373816346148,0.08232075822001723,-0.08561822177677571,-0.12210537913588304
Eccentricity Centrality,0.08922657970603085,-0.28292068060472086,0.056421127678363006,0.14236555026668046,0.2502244300971742
Density Centrality,0.1501747872559029,0.1511690567288758,0.07315753927436625,0.023564909251218968,0.13147458968336356
MDD Value,0.1533561167662326,0.07505352854068481,-0.1533281016121665,0.09750215907140988,0.02390195401219675
EHCC Value,0.1607063071409609,0.032829700815182425,0.029898648764341684,0.008012015564586385,0.07098988170903126
HCC Value,0.12423305066785291,-0.24100972666100848,0.04157772167586801,-0.050717339642199155,0.01768124630918347
P Value,0.10225052982374151,-0.29129536819304813,0.04950538252836202,-0.04688557819152961,0.05388215516768391
Extended Degree,0.16035260436867266,-0.033336381384319255,0.0010812940389929063,-0.041509491907712484,-0.08391115608143786
Eigenvector Centrality,0.15262446100544913,-0.02328312738058111,0.10876980249961553,-0.12667189962726264,-0.16914936144643733
CLC Values,0.15776112992588337,-0.033561469334747164,0.10444850038689932,-0.03529983587462838,-0.10136953795157616
Centrality Values,0.16164427449265184,0.008820910727449078,0.05150133461737129,-0.026749413565638404,-0.017527649279634
Constraint Coefficients,0.09812930521444427,-0.06144556616627836,-0.3883889810923709,0.21310539857017785,-0.23900409289616237
HVGc Index,0.1459217461789263,0.12721476238354398,0.14695859389869836,-0.11393113814328508,-0.0795347635724443
PE Values,0.16180651748138958,0.021959124237704675,0.037421764816165756,0.0033987924184505506,0.010432356205551017
H Values,0.14102372532279442,0.13759330004377993,0.16079274693878512,-0.12807707836676516,-0.07096886380272517
Volume Centrality,0.1443119933351557,-0.18106536905235832,0.04307041318304871,-0.020415162258918908,-0.0867856272465411
GIN Values,0.12617408502682398,-0.26928137798143076,0.036595944986246444,0.0675113947809605,0.10039703131998198
LGC Scores,0.14603836889820185,0.14508432477601482,0.1487656672221173,-0.06079411717414038,0.0611293983417665
DNC Scores,0.15072881775783092,0.09343654018009405,-0.16060927946206585,0.0799104953531038,0.07644785117736291
EIGSM Values,0.16172776267453343,0.039819162186844906,-0.005207042960354937,0.020189797855155404,0.005010360782432333
Societal Capital Scores,0.15984485778972554,-0.04029727093244893,0.009121587149023343,-0.05032601043732982,-0.09143207523060105
Improved Gravity Index Values,0.1562717096962673,-0.029145595037297575,0.003761139283234975,-0.08446698630456115,-0.20049872873961036
Extended Improved Gravity Index Values,0.15813264481120118,-0.026542771253376916,0.07673629494061265,-0.08347117978689537,-0.12985044059357448
Node H-Index,0.14767928872524383,-0.004095260434141192,-0.168000085760991,-0.06835391454688608,-0.18979464933975382
MCGM Values,0.15163079311913563,0.10582562782447978,0.12447653558268706,-0.09847823955109786,-0.07043783663693742
GGC Values,0.1520708693978991,0.13391866808981653,0.09101696698921562,0.017333296427547922,0.07808514799120912
Subgraph centrality,0.14309480842918973,0.13141607623461674,0.1526378408141071,-0.12500984376248978,-0.04937306040601064
Second order centrality,0.11323344822892177,-0.2572024229785126,-0.11918112726023411,0.07287149440485666,0.10491379924724098
K-Shell Value,0.12265933194268275,-0.07605510085891869,-0.29568833837025355,-0.10388216156545366,-0.20682348860011926
