feature,score,rank
Eccentricity Centrality,0.17461382875319018,1
Leverage Centrality,0.14539014116307108,2
Second order centrality,0.11834980326711997,3
Global Relative Change in Avg Clustering,0.08837692732510172,4
P Value,0.08030109421149154,5
HCC Value,0.07696268602839079,6
Closeness Centrality,0.07260900235596067,7
GSM,0.066064234628227,8
Eigenvector Centrality,0.0655319253839416,9
GIN Values,0.062480448635605056,10
H-GSM_1,0.06195427315695759,11
Volume Centrality,0.04743936676907644,12
I-GSM Values,0.04738622344302964,13
Societal Capital Scores,0.041212379720880564,14
Clustered Local Degree,0.041107411603542886,15
Coreness Centrality,0.04099743944429543,16
Extended Improved Gravity Index Values,0.04063474463109837,17
Extended Degree,0.03911737920845377,18
Extended Coreness,0.030760951411966782,19
EHCC Value,0.02984655801000115,20
Constraint Coefficients,0.025561564161123724,21
Centrality Values,0.025389651246794983,22
CLC Values,0.024968831617720004,23
Node H-Index,0.024850931237116385,24
Semi local centrality,0.023179393381259298,25
K-Shell Value,0.02306744121659504,26
PE Values,0.022771843445461883,27
Betweenness Centrality,0.022215683617229857,28
PageRank Centrality,0.016892576638911257,29
Laplacian Centrality,0.014546032108771112,30
EIGSM Values,0.011419312841052647,31
Improved Gravity Index Values,0.009433958576850794,32
DNC Scores,0.007838672344754338,33
Gravity Index Centrality,0.0077661027080159544,34
Degree Centrality,0.005861858404207546,35
MDD Value,0.00555192812747373,36
Global Relative Change in Avg Degree,0.004934858915405657,37
Local-Global Centrality,0.0033454513966807275,38
MCGM Values,0.003224378029238056,39
Clustering Coefficient,0.002407722733675085,40
Gravity Model Centrality,0.0016945128142669631,41
Isolating Centrality,0.0016137986154506614,42
Subgraph centrality,0.0015670732764476683,43
LGC Scores,0.0009352417705720997,44
GGC Values,0.0008469753290035024,45
H Values,0.00081618312598263,46
Density Centrality,0.00047000320223112636,47
Local Gravity Model Centrality,0.0004311878952745566,48
HVGc Index,0.00026162878404269483,49
DIL Centrality,0.00018049503897161876,50
