Node,Relative Closeness,Rank
25,0.047073309587470295,1.0
30,0.04286884170385646,2.0
15,0.03701264965791109,3.0
9,0.03438694105314906,4.0
29,0.030110822674421063,5.0
27,0.030041070398794348,6.0
7,0.02785227590283037,7.0
49,0.027748962466628134,8.0
24,0.027185637966533577,9.0
42,0.02620924145559002,10.0
38,0.026096590418396286,11.0
13,0.024828396319137355,12.0
4,0.024054947471988275,13.0
21,0.02347626371048722,14.0
17,0.021752197188843265,15.0
28,0.020549632312870807,16.0
16,0.020473959295001995,17.0
33,0.02040811664079344,18.0
18,0.018198660143139332,19.0
8,0.01797764635942707,20.0
45,0.017195367167057038,21.0
5,0.01618051570189573,22.0
43,0.01589231320364741,23.0
6,0.015573948621046671,24.0
20,0.015568111084275013,25.0
26,0.015456427346598458,26.0
14,0.015292831890388537,27.0
2,0.015178597494068078,28.0
31,0.015113550346102187,29.0
32,0.014851262388285068,30.0
36,0.014847107293184364,31.0
44,0.014613863619592033,32.0
23,0.014168200704567337,33.0
52,0.014122596819420262,34.0
41,0.013749938434248772,35.0
1,0.013095671339597572,36.0
12,0.013076077852359029,37.0
19,0.01292361564979571,38.0
11,0.01284802318421969,39.0
39,0.011691698479761495,40.0
46,0.011441990858321222,41.0
54,0.011342862532144882,42.0
3,0.010552549909424253,43.0
47,0.010454332048548294,44.0
53,0.009170952854614571,45.0
10,0.009037962681120917,46.0
40,0.008752005972801931,47.0
35,0.008013602550303034,48.0
62,0.007105348640897709,49.0
22,0.007091329520453561,50.0
48,0.006928938217183388,51.0
60,0.0066729104331644746,52.0
55,0.005977979379734393,53.0
59,0.005833180389798068,54.0
61,0.0054856574279409966,55.0
50,0.0054856574279409966,55.0
51,0.0054856574279409966,55.0
58,0.005415252602136798,56.0
34,0.005281019679745724,57.0
37,0.005281019679745724,57.0
56,0.00520128609909416,58.0
57,0.0042426223195637805,59.0
