Starting Node,Average Spreading Ability
1,2.01
2,1.22
3,1.36
4,1.38
5,1.27
6,1.57
7,1.1
8,1.1
9,1.17
10,1.12
11,1.42
12,1.59
13,1.22
14,1.17
15,1.11
16,1.08
17,1.25
18,1.22
19,1.25
20,1.19
21,1.28
22,1.07
23,1.05
24,1.04
25,1.25
26,1.09
27,1.12
28,1.98
29,1.15
30,1.22
31,1.28
32,1.22
33,1.13
34,1.13
35,1.06
36,1.31
37,1.23
38,1.88
39,1.42
40,1.1
41,1.38
42,1.04
43,1.21
44,8.37
45,1.06
46,1.39
47,1.1
48,1.38
49,1.75
50,1.38
51,1.53
52,1.63
53,1.08
54,1.64
55,1.3
56,1.03
57,1.19
58,1.25
59,1.06
60,2.05
61,1.67
62,2.02
63,1.53
64,1.33
65,5.41
66,1.24
67,1.49
68,1.22
69,1.78
70,1.59
71,1.97
72,5.08
73,1.49
74,1.88
75,1.37
76,2.83
77,2.51
78,1.48
79,3.31
80,1.19
81,4.42
82,2.46
83,6.96
84,3.16
85,2.77
86,1.41
87,1.07
88,5.37
89,1.37
90,2.37
91,1.15
92,3.38
93,4.25
94,3.31
95,4.34
96,1.83
97,3.15
98,2.02
99,1.29
100,2.74
101,3.4
102,3.47
103,8.98
104,3.29
105,3.22
106,3.45
107,1.41
108,3.08
109,3.75
110,2.36
111,2.26
112,4.06
113,1.78
114,1.51
115,2.44
116,3.68
117,2.94
118,2.42
119,1.45
120,1.69
121,3.85
122,1.37
123,2.71
124,1.16
125,1.03
126,1.17
127,1.98
128,1.08
129,1.2
130,2.26
131,1.07
132,1.07
133,1.03
134,1.05
135,1.6
136,1.18
137,1.58
138,1.22
139,1.17
140,1.11
141,1.27
142,1.28
143,1.87
144,1.43
145,1.72
146,2.01
147,1.33
148,1.33
149,1.24
150,1.38
151,1.64
152,1.09
153,1.09
154,1.87
155,1.04
156,1.04
157,1.06
158,1.06
159,1.06
160,1.06
161,1.06
162,1.03
163,1.47
164,1.06
165,1.56
166,1.58
167,1.56
168,1.14
169,1.18
170,1.73
171,1.71
172,1.72
173,2.2
174,1.43
175,1.23
176,1.05
177,1.36
178,2.16
179,1.29
180,1.19
181,1.07
182,3.19
183,2.58
184,1.33
185,2.09
186,1.4
187,1.19
188,1.72
189,1.28
190,1.57
191,1.34
192,1.64
193,1.35
194,1.46
195,3.17
196,1.31
197,2.77
198,3.65
199,2.9
200,2.32
201,1.5
202,1.93
203,1.3
204,1.26
205,1.06
206,1.06
207,1.05
208,1.18
209,1.26
210,1.5
211,1.3
212,1.11
213,1.74
214,1.9
215,1.3
216,1.79
217,1.7
218,1.08
219,1.27
220,1.07
221,1.11
222,1.88
223,2.0
224,1.24
225,2.33
226,1.4
227,3.22
228,1.28
229,1.52
230,2.18
231,2.42
232,1.67
233,1.41
234,1.78
235,3.59
236,2.4
237,1.3
238,1.74
239,1.38
240,2.48
241,3.18
242,1.91
243,1.69
244,2.16
245,2.56
246,1.9
247,1.82
248,1.68
249,2.0
250,1.77
251,5.46
252,1.97
253,1.99
254,1.36
255,2.74
256,1.52
257,2.18
258,3.59
259,1.67
260,1.28
261,2.69
262,1.93
263,1.44
264,2.56
265,1.27
266,2.26
267,2.15
268,6.87
269,4.11
270,2.9
271,2.39
272,2.66
273,4.26
274,2.23
275,2.36
276,3.25
277,2.05
278,1.9
279,3.81
280,3.72
281,1.61
282,1.34
283,1.73
284,1.77
285,1.03
286,1.07
287,2.13
288,1.87
289,1.35
290,1.07
291,1.58
292,1.18
293,1.23
294,1.07
295,1.14
296,1.44
297,1.3
298,1.78
299,1.46
300,1.67
301,1.62
302,1.21
303,1.53
304,2.08
305,2.2
306,1.67
307,2.45
308,1.35
309,2.35
310,1.59
311,2.03
312,2.44
313,2.08
314,1.93
315,2.61
316,1.74
317,2.37
318,2.55
319,2.84
320,4.81
321,1.89
322,1.82
323,1.81
324,1.43
325,1.23
326,1.4
327,1.7
328,1.74
329,1.67
330,1.63
331,1.89
332,1.34
333,1.69
334,1.31
335,1.63
336,2.64
337,1.71
338,1.5
339,1.47
340,2.64
341,1.09
342,1.67
343,1.23
344,1.64
345,1.9
346,2.21
347,2.28
348,1.88
349,2.86
350,1.02
351,1.55
352,1.8
353,1.09
354,1.07
355,1.04
356,1.36
357,1.4
358,1.05
359,1.18
360,1.62
361,1.11
362,1.39
363,2.69
364,3.1
365,1.06
366,1.02
367,1.02
368,1.36
369,1.22
370,1.16
371,1.05
372,1.1
373,1.12
374,1.59
375,3.36
376,1.32
377,2.07
378,1.16
379,2.06
380,1.88
381,1.15
382,1.03
383,1.11
384,1.15
385,1.26
386,1.35
387,1.81
388,1.22
389,1.49
390,1.02
391,1.03
392,1.27
393,1.7
394,1.07
395,1.46
396,1.13
397,1.11
398,3.69
399,1.29
400,1.48
401,1.52
402,1.25
403,1.25
404,1.15
405,1.48
406,2.1
407,1.84
408,1.63
409,1.06
410,2.4
411,3.23
412,1.92
413,1.53
414,1.87
415,1.48
416,1.97
417,1.28
418,1.23
419,1.93
420,1.81
421,1.03
422,1.1
423,1.06
424,1.39
425,1.25
426,1.09
427,1.08
428,1.13
429,1.59
430,1.1
431,1.3
432,1.07
433,1.08
434,1.51
435,1.29
436,1.11
437,1.1
438,1.25
439,1.41
440,1.36
441,1.36
442,1.27
443,1.74
444,1.26
445,1.57
446,2.39
447,1.21
448,2.08
449,1.74
450,1.53
451,1.24
452,1.18
453,1.09
454,1.11
455,1.24
456,1.67
457,1.38
458,1.35
459,1.55
460,2.43
461,2.65
462,2.71
463,1.86
464,1.35
465,1.28
466,1.11
467,1.29
468,1.91
