Starting Node,Average Spreading Ability
1,67.41
2,77.09
3,44.74
4,71.26
5,59.74
6,51.28
7,73.37
8,34.56
9,82.84
10,54.67
11,53.41
12,51.75
13,61.35
14,33.72
15,65.85
16,30.98
17,44.72
18,60.06
19,59.53
20,34.86
21,47.99
22,40.09
23,37.0
24,40.17
25,68.45
26,36.39
27,50.96
28,82.02
29,23.64
30,42.02
31,42.46
32,11.91
33,20.52
34,31.24
35,45.07
36,76.79
37,50.42
38,60.69
39,52.66
40,68.49
41,78.33
42,40.37
43,44.4
44,61.32
45,80.5
46,70.44
47,70.01
48,69.34
49,60.51
50,21.92
51,78.18
52,54.38
53,87.44
54,17.74
55,70.23
56,69.01
57,38.41
58,71.04
59,24.68
60,51.21
61,48.67
62,42.38
63,62.62
64,60.65
65,24.78
66,50.11
67,71.61
68,81.15
69,87.67
70,45.15
71,50.77
72,21.26
73,65.31
74,49.87
75,88.0
76,32.2
77,36.59
78,81.48
79,99.75
80,48.27
81,43.27
82,72.08
83,58.76
84,28.52
85,40.71
86,23.69
87,32.52
88,54.7
89,46.14
90,79.6
91,25.88
92,67.15
93,65.76
94,72.69
95,72.91
96,38.54
97,29.28
98,63.48
99,51.62
100,52.91
101,44.05
102,41.45
103,93.65
104,34.46
105,27.82
106,34.41
107,38.46
108,55.6
109,56.48
110,45.03
111,45.85
112,35.32
113,74.74
114,58.33
115,57.78
116,32.7
117,42.12
118,30.24
119,54.0
120,10.47
121,39.18
122,49.07
123,17.83
124,24.13
125,66.7
126,60.05
127,53.61
128,65.41
129,10.07
130,40.58
131,63.65
132,62.38
133,47.77
134,31.05
135,34.68
136,15.85
137,49.1
138,78.16
139,61.96
140,38.97
141,41.95
142,73.99
143,9.44
144,68.66
145,80.69
146,51.64
147,33.19
148,32.49
149,25.94
150,61.58
151,29.3
152,29.45
153,66.81
154,61.06
155,46.18
156,33.38
157,17.1
158,55.62
159,38.58
160,47.01
161,62.11
162,57.82
163,41.87
164,41.16
165,29.59
166,38.84
167,80.6
168,55.33
169,20.72
170,50.52
171,35.37
172,39.89
173,29.42
174,45.17
175,21.31
176,48.45
177,33.11
178,42.33
179,65.25
180,41.79
181,32.6
182,38.36
183,57.02
184,33.83
185,38.38
186,37.26
187,24.36
188,39.06
189,49.3
190,45.85
191,43.5
192,31.69
193,67.64
194,56.3
195,58.47
196,53.51
197,46.19
198,56.27
199,56.31
200,29.82
201,51.35
202,23.68
203,35.02
204,27.6
205,45.68
206,73.9
207,23.82
208,28.82
209,60.79
210,43.61
211,43.71
212,56.03
213,37.63
214,42.47
215,26.43
216,38.89
217,14.92
218,32.13
219,17.85
220,37.07
221,41.83
222,51.49
223,35.46
224,59.19
225,34.73
226,26.07
227,37.24
228,36.33
229,55.67
230,40.32
231,29.08
232,13.29
233,42.96
234,39.15
235,39.03
236,45.82
237,17.97
238,48.03
239,32.55
240,33.21
241,40.15
242,51.75
243,5.43
244,26.07
245,59.84
246,30.27
247,10.35
248,14.69
249,47.98
250,20.02
251,31.37
252,52.73
253,30.62
254,54.01
255,44.18
256,29.89
257,56.06
258,64.27
259,64.66
260,5.45
261,12.72
262,41.74
263,37.27
264,61.77
265,30.63
266,40.38
267,39.22
268,39.71
269,8.36
270,32.52
271,8.35
272,36.55
273,37.47
274,3.26
275,9.86
276,2.97
277,24.27
278,44.99
279,14.63
280,18.0
281,21.26
282,21.23
283,35.87
284,20.9
285,23.84
286,18.27
287,11.37
288,30.36
289,7.43
290,12.39
291,31.72
292,39.01
293,53.93
294,32.81
295,48.57
296,38.99
297,37.96
298,42.68
299,38.56
300,40.95
301,23.05
302,43.01
303,46.44
304,30.09
305,50.28
306,35.21
307,38.62
308,39.84
309,56.41
310,44.92
311,46.5
312,63.84
313,44.79
314,44.18
315,53.26
316,27.45
317,74.74
318,22.81
319,31.74
320,35.51
321,43.85
322,41.1
323,84.76
324,19.27
325,26.76
326,24.87
327,30.95
328,42.95
329,22.03
330,52.82
331,46.72
332,25.08
333,48.49
334,25.37
335,21.05
336,27.95
337,38.1
338,58.3
339,34.12
340,33.56
341,23.43
342,26.34
343,7.53
344,32.62
345,25.56
346,4.53
347,27.55
348,40.45
349,4.6
350,35.38
351,43.93
352,27.42
353,13.94
354,31.26
355,14.26
356,11.67
357,16.2
358,41.39
359,7.78
360,40.01
361,61.94
362,26.6
363,51.0
364,45.91
365,81.71
366,12.16
367,32.78
368,42.29
369,21.95
370,57.21
371,22.7
372,48.85
373,21.36
374,56.27
375,21.54
376,37.75
377,10.52
378,33.36
379,44.64
380,63.3
381,57.29
382,48.42
383,12.52
384,21.65
385,29.2
386,27.48
387,38.51
388,36.0
389,50.46
390,7.58
391,12.07
392,20.12
393,6.0
394,9.72
395,4.33
396,31.52
397,43.96
398,42.07
399,34.88
400,50.32
401,31.48
402,19.48
403,30.68
404,29.65
405,9.11
406,47.89
407,47.65
408,46.21
409,23.26
410,34.16
411,30.63
412,8.44
413,27.15
414,48.64
415,21.12
416,50.44
417,80.96
418,10.6
419,26.54
420,14.98
421,34.76
422,26.91
423,51.66
424,55.08
425,37.24
426,31.05
427,53.83
428,50.01
429,61.46
430,5.58
431,10.62
432,20.15
433,31.15
434,18.23
435,53.02
436,15.62
437,32.64
438,2.29
439,17.59
440,49.59
441,36.33
442,14.27
443,18.27
444,18.48
445,21.96
446,13.92
447,31.9
448,40.45
449,43.46
450,40.4
451,68.88
452,36.58
453,8.57
454,22.66
455,15.52
456,16.98
457,3.47
458,12.3
459,10.56
460,38.89
461,37.04
462,37.85
463,31.53
464,13.89
465,17.95
466,14.07
467,16.48
468,14.74
469,20.86
470,59.7
471,35.51
472,25.63
473,13.49
474,11.11
475,6.61
476,23.9
477,25.16
478,7.83
479,4.83
480,33.25
481,6.03
482,4.72
483,37.96
484,8.98
485,11.2
486,19.08
487,7.69
488,21.26
489,31.35
490,18.93
491,46.7
492,10.09
493,39.27
494,25.08
495,17.02
496,9.32
497,12.76
498,29.97
499,12.95
500,3.11
501,1.06
502,8.85
503,8.2
504,32.77
505,7.47
506,29.13
507,21.25
508,39.21
509,30.34
510,37.34
511,35.26
512,32.54
513,21.72
514,35.47
515,30.37
516,13.12
517,12.69
518,4.7
519,46.57
520,7.08
521,13.96
522,5.02
523,18.69
524,13.9
525,24.46
526,30.99
527,31.76
528,11.63
529,29.74
530,24.64
531,21.96
532,27.17
533,25.25
534,38.63
535,15.53
536,5.76
537,24.58
538,25.47
539,45.74
540,19.17
541,11.14
542,22.26
543,28.32
544,23.96
545,27.61
546,35.99
547,12.16
548,12.41
549,34.27
550,27.3
551,15.58
552,26.46
553,20.23
554,24.99
555,15.23
556,15.65
557,1.06
558,10.91
559,8.45
560,5.2
561,4.11
562,10.81
563,4.66
564,4.92
565,12.22
566,16.04
567,8.15
568,26.21
569,11.31
570,1.72
571,1.42
572,31.7
573,2.8
574,12.9
575,37.07
576,13.28
577,9.58
578,18.67
579,1.0
580,26.21
581,9.57
582,37.77
583,10.46
584,27.45
585,26.52
586,9.31
587,4.29
588,3.45
589,5.42
590,29.7
591,24.21
592,2.62
593,8.99
594,20.47
595,4.03
596,5.44
597,17.09
598,2.11
599,7.95
600,16.45
601,6.28
602,14.56
603,11.38
604,34.57
605,24.32
606,34.04
607,25.95
608,19.69
609,25.03
610,29.1
611,21.07
612,5.79
613,10.86
614,20.67
615,29.65
616,14.89
617,5.41
618,15.85
619,9.93
620,2.98
621,23.96
622,22.58
623,12.45
624,6.31
625,4.2
626,3.23
627,10.6
628,8.21
629,13.48
630,1.1
631,22.09
632,11.13
633,15.86
634,7.74
635,2.68
636,13.8
637,23.64
638,4.53
639,14.39
640,12.83
641,10.88
642,13.73
643,7.33
644,13.78
645,30.95
646,1.0
647,5.59
648,11.52
649,22.82
650,6.07
651,10.78
652,1.11
653,4.05
654,8.18
655,9.95
656,14.08
657,7.17
658,4.72
659,7.1
660,1.06
661,17.66
662,9.53
663,8.78
664,4.56
665,1.2
666,4.25
667,6.44
668,1.0
669,6.86
670,6.23
671,18.32
672,10.42
673,15.64
674,13.44
675,4.47
676,3.22
677,1.0
678,2.76
679,1.02
680,2.88
681,1.2
682,2.53
683,8.57
684,1.01
685,2.71
686,1.01
687,1.09
688,2.94
689,20.31
690,1.38
691,2.77
692,1.18
693,1.08
694,6.16
695,1.02
696,7.23
697,3.84
698,9.47
699,5.1
700,1.72
701,5.17
702,1.11
703,1.01
704,1.04
705,5.31
706,13.25
707,1.08
708,1.15
709,1.03
710,4.72
711,2.7
712,7.28
713,12.28
714,2.91
715,1.03
716,1.45
717,3.94
718,1.08
719,4.39
720,2.74
721,1.01
722,4.83
723,1.26
724,4.03
725,11.28
726,2.35
727,1.02
728,2.57
729,6.3
730,1.03
731,1.13
732,1.0
733,3.07
734,1.46
735,4.42
736,1.07
737,1.31
738,4.39
739,2.21
740,1.01
741,1.08
742,1.01
743,1.0
744,1.03
745,4.75
746,1.02
747,1.08
748,1.01
749,1.21
750,2.85
751,1.04
752,1.0
753,1.01
754,1.03
755,1.01
756,1.03
757,1.05
758,1.02
759,1.05
760,2.53
761,1.79
762,1.01
