feature,rank
Extended Improved Gravity Index Values,1
EIGSM Values,2
DNC Scores,3
Local Gravity Model Centrality,4
EHCC Value,5
CLC Values,6
Density Centrality,7
K-Shell Value,8
LGC Scores,9
Gravity Index Centrality,10
H Values,11
Improved Gravity Index Values,12
Volume Centrality,13
Second order centrality,14
Subgraph centrality,15
HCC Value,16
HVGc Index,17
GGC Values,18
Global Relative Change in Avg Degree,19
Closeness Centrality,20
DIL Centrality,21
Constraint Coefficients,22
Extended Coreness,23
PE Values,24
Leverage Centrality,25
PageRank Centrality,26
MDD Value,27
H-GSM_1,28
Laplacian Centrality,29
Betweenness Centrality,30
Node H-Index,31
Clustering Coefficient,32
Isolating Centrality,33
P Value,34
Global Relative Change in Avg Clustering,35
Eccentricity Centrality,36
Clustered Local Degree,37
Centrality Values,38
Semi local centrality,39
GIN Values,40
Societal Capital Scores,41
Coreness Centrality,42
I-GSM Values,43
Local-Global Centrality,44
Eigenvector Centrality,45
GSM,46
Gravity Model Centrality,47
MCGM Values,48
Extended Degree,49
Degree Centrality,50
