Starting Node,Average Spreading Ability,Node,Rank
1,8.16,1,301.0
2,10.83,2,211.0
3,4.54,3,458.0
4,16.17,4,94.0
5,2.37,5,583.0
6,12.12,6,175.0
7,7.47,7,329.0
8,1.09,8,675.0
9,25.37,9,12.0
10,14.51,10,119.0
11,25.46,11,10.0
12,15.99,12,96.0
13,20.33,13,46.0
14,10.83,14,211.0
15,25.51,15,9.0
16,10.55,16,220.0
17,24.02,17,15.0
18,13.28,18,150.0
19,9.49,19,246.0
20,7.86,20,314.0
21,11.94,21,179.0
22,7.49,22,328.0
23,26.3,23,8.0
24,8.38,24,291.0
25,6.15,25,391.0
26,19.79,26,55.0
27,15.99,27,96.0
28,1.38,28,650.0
29,22.68,29,27.0
30,14.77,30,116.0
31,9.27,31,256.0
32,14.45,32,120.0
33,4.1,33,480.0
34,13.44,34,145.0
35,5.3,35,419.0
36,19.34,36,58.0
37,38.36,37,1.0
38,1.82,38,620.0
39,10.82,39,212.0
40,3.92,40,493.0
41,18.9,41,62.0
42,23.02,42,20.0
43,5.34,43,418.0
44,19.42,44,57.0
45,11.92,45,180.0
46,6.22,46,388.0
47,4.64,47,453.0
48,11.97,48,177.0
49,20.0,49,51.0
50,8.58,50,283.0
51,6.82,51,360.0
52,13.06,52,152.0
53,1.22,53,665.0
54,2.55,54,571.0
55,21.63,55,37.0
56,9.24,56,258.0
57,7.41,57,332.0
58,13.9,58,136.0
59,6.32,59,384.0
60,15.59,60,103.0
61,22.07,61,33.0
62,2.96,62,543.0
63,15.98,63,97.0
64,18.27,64,67.0
65,20.68,65,45.0
66,25.42,66,11.0
67,9.2,67,259.0
68,7.33,68,337.0
69,22.73,69,26.0
70,11.14,70,201.0
71,8.93,71,268.0
72,6.38,72,378.0
73,8.26,73,297.0
74,6.68,74,365.0
75,19.98,75,53.0
76,7.32,76,338.0
77,15.17,77,107.0
78,6.62,78,369.0
79,13.46,79,143.0
80,17.9,80,69.0
81,31.27,81,4.0
82,17.52,82,74.0
83,11.35,83,198.0
84,19.82,84,54.0
85,15.7,85,100.0
86,14.19,86,127.0
87,8.91,87,269.0
88,22.65,88,28.0
89,17.1,89,82.0
90,14.67,90,117.0
91,17.42,91,78.0
92,13.6,92,139.0
93,17.47,93,76.0
94,10.53,94,222.0
95,5.71,95,406.0
96,8.31,96,293.0
97,8.83,97,274.0
98,6.35,98,381.0
99,8.25,99,298.0
100,28.99,100,7.0
101,22.99,101,21.0
102,8.06,102,306.0
103,15.39,103,106.0
104,17.78,104,70.0
105,21.08,105,40.0
106,10.61,106,219.0
107,13.77,107,138.0
108,12.76,108,159.0
109,12.88,109,157.0
110,21.38,110,38.0
111,8.06,111,306.0
112,18.98,112,61.0
113,10.54,113,221.0
114,18.5,114,66.0
115,11.42,115,195.0
116,31.45,116,3.0
117,12.2,117,172.0
118,17.63,118,71.0
119,16.99,119,84.0
120,13.82,120,137.0
121,32.03,121,2.0
122,6.51,122,374.0
123,11.64,123,189.0
124,18.5,124,66.0
125,13.99,125,134.0
126,6.89,126,356.0
127,11.78,127,185.0
128,18.53,128,65.0
129,1.93,129,612.0
130,22.93,130,23.0
131,21.67,131,36.0
132,20.99,132,43.0
133,12.81,133,158.0
134,21.99,134,35.0
135,7.5,135,327.0
136,10.12,136,232.0
137,20.19,137,48.0
138,5.8,138,404.0
139,7.96,139,310.0
140,22.94,140,22.0
141,22.53,141,29.0
142,6.97,142,352.0
143,11.72,143,186.0
144,6.15,144,391.0
145,11.92,145,180.0
146,16.09,146,95.0
147,10.94,147,206.0
148,11.1,148,203.0
149,9.11,149,262.0
150,13.25,150,151.0
151,9.59,151,243.0
152,9.76,152,239.0
153,14.63,153,118.0
154,8.14,154,303.0
155,6.51,155,374.0
156,20.11,156,50.0
157,4.1,157,480.0
158,10.38,158,226.0
159,12.93,159,155.0
160,23.67,160,17.0
161,5.95,161,398.0
162,6.82,162,360.0
163,13.45,163,144.0
164,9.55,164,245.0
165,25.46,165,10.0
166,7.66,166,322.0
167,11.78,167,185.0
168,19.78,168,56.0
169,11.61,169,191.0
170,10.07,170,234.0
171,21.25,171,39.0
172,9.34,172,252.0
173,17.1,173,82.0
174,21.07,174,41.0
175,7.38,175,334.0
176,4.47,176,461.0
177,10.78,177,216.0
178,8.03,178,307.0
179,10.32,179,229.0
180,16.8,180,87.0
181,10.68,181,217.0
182,8.64,182,282.0
183,13.57,183,140.0
184,24.29,184,14.0
185,1.91,185,614.0
186,5.62,186,412.0
187,10.44,187,224.0
188,4.41,188,464.0
189,8.28,189,296.0
190,7.26,190,341.0
191,6.7,191,364.0
192,7.52,192,326.0
193,15.0,193,113.0
194,6.31,194,385.0
195,7.09,195,348.0
196,3.35,196,522.0
197,4.54,197,458.0
198,3.16,198,531.0
