Node,Relative Closeness,Rank
8,0.0489280322093505,1.0
9,0.046298893662235,2.0
31,0.0454854810134988,3.0
21,0.0453936383230558,4.0
6,0.0448050752480142,5.0
30,0.0415285939857134,6.0
29,0.0397163612830075,7.0
3,0.0373221757961665,8.0
12,0.0368220079350509,9.0
7,0.0346679023811052,10.0
32,0.0346679023811052,10.0
13,0.0337982519980716,11.0
24,0.0333656748915024,12.0
5,0.0330071447618716,13.0
28,0.0330071447618716,13.0
15,0.03223274498725,14.0
16,0.0294023637799029,15.0
4,0.0286657247638638,16.0
25,0.0286657247638638,16.0
11,0.0275389189008531,17.0
14,0.0259143239866362,18.0
17,0.0250261832367885,19.0
18,0.0250261832367885,19.0
27,0.0244991558416178,20.0
2,0.0244991558416178,20.0
22,0.0243446287164924,21.0
10,0.0235605250965688,22.0
1,0.0183724992580643,23.0
26,0.0183724992580643,23.0
23,0.0183724992580643,23.0
19,0.0183462942209709,24.0
20,0.0183462942209709,24.0
