Node,Relative Closeness,Rank
8,0.9540493384930165,1.0
18,0.8950059554171131,2.0
19,0.8124964485068334,3.0
38,0.6628526028559009,4.0
7,0.5716122138206884,5.0
22,0.5402445815335679,6.0
24,0.5212291819934562,7.0
39,0.5044069771995267,8.0
41,0.496695142549006,9.0
33,0.496695142549006,9.0
30,0.45737710849752794,10.0
10,0.435864496459214,11.0
17,0.4116127273630107,12.0
4,0.4116127273630107,12.0
34,0.37839610566688076,13.0
42,0.37839610566688076,13.0
15,0.3142985778005347,14.0
16,0.30223426699187866,15.0
3,0.30223426699187866,15.0
36,0.2732253871414841,16.0
21,0.27012330326212736,17.0
6,0.2683648208628178,18.0
40,0.22797506010639979,19.0
5,0.20797526232494948,20.0
31,0.2078540311649385,21.0
37,0.2009399817125254,22.0
28,0.1958640271708055,23.0
11,0.1896507921823592,24.0
32,0.18712930662809327,25.0
20,0.182535416604004,26.0
2,0.1820737963890121,27.0
29,0.1626363716241827,28.0
25,0.1526941599785378,29.0
9,0.13727338641920284,30.0
23,0.1151347673267498,31.0
12,0.11064240507117212,32.0
27,0.10218260538682689,33.0
13,0.03709285340094726,34.0
26,0.03709285340094726,34.0
1,0.0028751834623807764,35.0
35,0.0019906804519107084,36.0
14,0.00022122414801292313,37.0
