Starting Node,Average Spreading Ability,Node,Rank
8,6.95,8,7.0
39,6.71,39,9.0
19,7.82,19,1.0
7,7.16,7,5.0
18,7.09,18,6.0
14,4.05,14,40.0
15,5.5,15,25.0
3,5.58,3,22.0
9,5.62,9,19.0
10,7.64,10,3.0
12,5.38,12,29.0
36,6.53,36,10.0
42,5.66,42,18.0
4,5.08,4,32.0
41,5.46,41,26.0
16,4.98,16,33.0
29,6.19,29,15.0
13,5.16,13,31.0
28,6.36,28,13.0
21,5.81,21,16.0
1,3.76,1,41.0
35,4.48,35,39.0
38,7.7,38,2.0
11,5.6,11,20.0
37,5.59,37,21.0
24,7.45,24,4.0
25,6.47,25,11.0
22,6.8,22,8.0
30,6.36,30,13.0
5,5.41,5,28.0
32,4.84,32,34.0
34,5.3,34,30.0
2,4.49,2,38.0
27,4.63,27,37.0
23,5.53,23,24.0
20,6.46,20,12.0
17,4.79,17,35.0
6,5.56,6,23.0
31,6.2,31,14.0
40,5.71,40,17.0
26,4.75,26,36.0
33,5.43,33,27.0
