Starting Node,Average Spreading Ability
1,4.08
2,3.77
3,6.4
4,3.51
5,3.15
6,7.63
7,6.76
8,7.78
9,7.7
10,9.36
11,5.17
12,5.64
13,5.13
14,6.1
15,4.27
16,4.68
17,5.59
18,5.87
19,4.64
20,5.55
21,4.3
22,4.29
23,4.37
24,8.16
25,6.65
26,7.22
27,6.38
28,7.87
29,4.56
30,6.35
31,4.22
32,7.94
33,3.45
34,3.0
35,3.39
36,2.96
37,2.77
38,4.57
39,3.72
40,5.95
41,3.3
42,2.91
43,8.15
44,5.65
45,7.38
46,6.27
47,7.3
48,4.79
49,5.06
50,3.66
51,4.54
52,5.64
53,3.7
54,9.21
55,3.02
56,2.66
57,2.69
58,3.05
59,2.9
60,3.18
61,4.22
62,3.26
63,6.34
64,4.16
65,3.18
66,6.88
67,3.3
68,8.98
69,2.91
70,3.13
71,3.26
72,2.61
73,3.11
74,4.43
75,3.68
76,3.25
77,4.37
78,3.58
79,3.35
80,3.12
81,3.24
82,3.26
83,9.36
84,3.6
85,4.28
86,3.14
87,4.24
88,4.75
89,4.34
90,3.76
91,4.7
92,6.37
93,3.83
94,4.07
95,3.31
96,2.86
97,3.0
98,2.85
99,2.84
100,2.92
101,6.32
102,5.22
103,4.4
104,3.72
105,4.49
106,2.56
107,2.84
108,3.1
109,3.12
110,4.83
111,1.86
112,4.72
113,3.93
114,3.42
115,3.2
116,2.77
117,2.8
118,2.59
119,4.9
120,3.31
121,3.98
122,2.65
123,2.92
124,3.08
125,2.81
