feature,PC1,PC2,PC3,PC4,PC5
Degree Centrality,0.15679498884392262,0.037197019087655415,-0.17996563244623628,0.027344325310419578,0.00750424608287993
Betweenness Centrality,0.05331890027655806,-0.28132296276711116,-0.14076503619767267,0.3689797503730127,-0.16374380495982732
Leverage Centrality,0.07231713705566006,0.019893567092065745,-0.45825456654388996,-0.03641082943215443,-0.20113463008684704
Isolating Centrality,0.038924984618901384,0.10278432865200904,-0.18692463969326395,-0.20199574160804326,0.47254675720275363
GSM,0.12114125015915293,-0.26245233255139433,0.1308067552838046,-0.06106157457181555,-0.04986905704984464
H-GSM_1,0.12977907319395707,-0.2404467176568914,0.10847428224512398,0.03579883878893275,-0.008971036709393393
Local-Global Centrality,0.1625332026491723,-0.05947170596243853,-0.058588051726669414,0.0882370541251968,0.014208304058216291
PageRank Centrality,0.13253613230898748,0.08797045140275637,-0.31126847544536895,0.028665372471817552,-0.01724530021788565
Coreness Centrality,0.15539323287341122,-0.028287636725290756,-0.09507065525120349,-0.1665444485334658,-0.0783893822649685
Extended Coreness,0.1631275410518905,0.00011796835571618247,0.06761650318044567,-0.07841110710668862,0.010600362107126178
Global Relative Change in Avg Degree,0.15745096273791337,0.04500741646020597,-0.16359056560409083,0.043398202069278316,0.03126780578234456
Global Relative Change in Avg Clustering,0.10302551277875822,0.2102504388626623,0.20345052420831553,0.028076463803288404,-0.31851842363493665
Clustering Coefficient,0.107776065739314,0.21519689896037839,0.12267295807344136,0.09549057002543507,-0.36232508277743436
DIL Centrality,0.14980078301022506,0.01097081211687589,-0.16522079316957394,0.10320566430546493,0.14763403936153252
I-GSM Values,0.1544512128658719,-0.0853720659165978,0.15041234069369788,0.020895828037505115,0.10288473139106973
Clustered Local Degree,0.16237303705086847,0.06650704189665661,0.06394706115330474,0.04281113876055754,0.00036287011500508656
Gravity Index Centrality,0.15510512314781574,-0.05949609760109336,-0.022396809806981013,-0.22953126392173015,-0.04334851318718921
Gravity Model Centrality,0.16551407485980868,0.012892164208473804,-0.004806790056025838,0.08373348866806707,0.030608353586870043
Local Gravity Model Centrality,0.16204570721625836,0.08229049339598091,-0.03132262736363205,0.08605895421305791,-0.0033887299238716632
Laplacian Centrality,0.16433803803304756,0.05337700453501355,-0.04472204106643239,0.050369068781392384,0.04753652030609534
Closeness Centrality,0.06085775152025837,-0.3698336945112191,0.045249153812161914,0.151239387423661,-0.13667452673899896
Semi local centrality,0.16039055085924867,0.041746970416589424,0.12303603508354097,0.037801437887888305,0.07757265903177071
Eccentricity Centrality,0.039965181034115005,-0.36302361069835754,-0.02903103191096012,0.28231363534820636,-0.12833958657763497
Density Centrality,0.15959543400598822,0.06480621238904187,-0.10206946743746315,0.07814551871949353,0.04947701186533826
MDD Value,0.15280270670031548,0.00699818589936322,-0.14513125941285743,-0.1096409366026859,-0.1410279657726333
EHCC Value,0.16491431680830265,-0.01604755422699982,0.031533980705804696,-0.030476026532158453,0.05709066357949914
HCC Value,0.15764488253366343,-0.06895501016060332,0.05789807541389298,-0.12662589754941225,0.07441805686405593
P Value,0.13327448695412644,-0.15343837907656352,0.09961457376082603,-0.24984805489794515,0.08090382751753455
Extended Degree,0.16500354515201807,0.03637067226819057,-0.014358596396815821,0.02985592539104722,0.052964629611280345
Eigenvector Centrality,0.11148157512659358,0.23198824054152706,0.21671794605731132,-0.07101348191072712,-0.12664369080864293
CLC Values,0.15934477227848204,0.010662529989904,0.11603231247175119,0.02545878888508239,0.146115985776485
Centrality Values,0.16422751007979575,0.03391481094647851,0.053162904060259426,0.046792827866960277,0.08955121423150761
Constraint Coefficients,0.11678466926693946,-0.07772355548261874,-0.297826257979624,-0.13188712718316375,-0.10601456690093237
HVGc Index,0.16097937405322224,0.07435043285416594,0.028178134430944836,0.11896820838403478,-0.03816499891979555
PE Values,0.16467342099971302,0.010693874988484718,-0.0022331031459780853,0.050023265943193486,0.11403384455232442
H Values,0.1181396004505242,0.236924416706034,0.1408876631540278,0.005004146101306894,-0.23443986578454054
Volume Centrality,0.14822048154287937,-0.028397798943957997,0.17146152330677403,-0.009138686513381677,0.19698930947491325
GIN Values,0.12657000117758577,-0.22590870369254312,0.1739151077806017,0.03469314747724013,0.02190635332987437
LGC Scores,0.1596491965268936,0.09900548440563942,0.05234026969746055,0.09193410585884695,-0.020419182160005038
DNC Scores,0.1594878879627822,0.06017688228423366,-0.13874412690300048,0.024374006860525016,-0.026156593344531326
EIGSM Values,0.16482078948945722,-0.01071693393249383,0.0568135960136012,0.059903261698835336,0.0537381239728389
Societal Capital Scores,0.1648202345661224,0.03605639055605549,0.002939806613927665,0.029929403872129782,0.057355787226477654
Improved Gravity Index Values,0.15963560829787388,-0.026097012595009485,0.0889663026367641,-0.11561107516125853,0.07130841947114931
Extended Improved Gravity Index Values,0.16384792583487512,0.02473404247906081,0.0897274500929434,-0.0021251908734671457,0.0409666593276512
Node H-Index,0.10891176284048029,-0.07509498704890304,-0.1937493460994907,-0.04973606513018313,-0.1980866203279504
MCGM Values,0.14787402233207259,0.1631655026376859,0.10586687184881174,-0.01666842271019276,-0.12081395080241196
GGC Values,0.1563210271091205,-0.029542013905106218,-0.09043214371153495,0.0741884900921046,0.21008735944694668
Subgraph centrality,0.16030311486795923,0.09471127744517371,-0.05825854294346602,0.06270146931450533,-0.06900718964550723
Second order centrality,0.0976979389498034,-0.2952567984011175,0.1408324584729531,-0.15386499679439766,-0.05743043427734821
K-Shell Value,0.06236148842547538,-0.165698856555177,-0.0418513473175146,-0.6088604393497504,-0.2485803064031935
