Node,Score,Rank
29,0.32715673,1.0
36,0.302304535,2.0
80,0.291762433,3.0
34,0.28812968,4.0
82,0.268873852,5.0
4,0.261966104,6.0
1,0.245145242,7.0
3,0.237691825,8.0
64,0.220904347,9.0
81,0.217870214,10.0
79,0.205752722,11.0
39,0.180293579,12.0
37,0.172973548,13.0
40,0.171707309,14.0
16,0.160743228,15.0
2,0.131162302,16.0
35,0.111970758,17.0
18,0.102362367,18.0
28,0.101803425,19.0
38,0.093104817,20.0
5,0.09236699,21.0
65,0.085846111,22.0
17,0.073578817,23.0
83,0.070064275,24.0
41,0.06660898,25.0
61,0.062881709,26.0
7,0.054003201,27.0
6,0.052514807,28.0
11,0.046593148,29.0
8,0.042764042,30.0
9,0.040904963,31.0
60,0.039779359,32.0
43,0.039700462,33.0
42,0.038596201,34.0
55,0.035549859,35.0
63,0.035011552,36.0
53,0.032859142,37.0
52,0.032708412,38.0
19,0.028593695,39.0
12,0.024981886,40.0
62,0.024436655,41.0
56,0.018918298,42.0
13,0.017685502,43.0
10,0.016619252,44.0
69,0.016295758,45.0
33,0.015896948,46.0
73,0.013605946,47.0
74,0.013605946,47.0
57,0.013130981,48.0
54,0.012711027,49.0
15,0.010427231,50.0
14,0.010091179,51.0
20,0.009137582,52.0
70,0.009073468,53.0
26,0.008274512,54.0
22,0.007975735,55.0
58,0.007435093,56.0
59,0.007435093,56.0
66,0.00600074,57.0
76,0.00600074,57.0
67,0.005673537,58.0
21,0.005097673,59.0
23,0.003968112,60.0
72,0.003526122,61.0
71,0.003526122,61.0
27,0.003216939,62.0
44,0.003101118,63.0
45,0.002890749,64.0
25,0.002671443,65.0
75,0.002597215,66.0
31,0.002492324,67.0
24,0.002425291,68.0
68,0.002332082,69.0
78,0.002332082,69.0
30,0.002259498,70.0
48,0.00124359,71.0
46,0.001126762,72.0
47,0.001126762,72.0
77,0.001009373,73.0
32,0.000880609,74.0
49,0.00069715,75.0
50,0.000271945,76.0
51,0.000271945,76.0
