Starting Node,Average Spreading Ability
1,16.59
2,14.66
3,16.62
4,19.65
5,19.26
6,14.96
7,18.18
8,17.22
9,17.43
10,12.79
11,16.72
12,18.84
13,16.11
14,14.64
15,18.46
16,20.65
17,13.03
18,12.71
19,12.85
20,14.7
21,12.15
22,12.15
23,19.95
24,19.04
25,22.5
26,13.77
27,17.05
28,14.95
29,18.46
30,19.98
31,19.91
32,21.92
33,17.02
34,19.21
35,14.58
36,17.65
37,17.42
38,17.52
39,20.84
40,23.29
41,15.13
42,18.28
43,15.4
44,11.07
45,16.5
46,17.84
47,16.64
48,12.0
49,16.37
50,15.62
51,26.12
52,25.3
53,25.65
54,23.25
55,24.1
56,26.2
57,22.05
58,24.56
59,21.17
60,21.58
61,26.37
62,25.5
63,19.98
64,20.25
65,26.91
66,24.89
67,17.73
68,22.33
69,19.1
70,15.65
71,15.97
72,16.66
73,17.84
74,14.64
75,15.64
76,12.83
77,15.94
78,13.28
79,13.09
80,14.36
81,25.36
82,19.42
83,12.19
84,12.8
85,11.43
86,9.73
87,22.44
88,20.97
89,17.84
90,19.0
