Node,Relative Closeness,Rank
186,0.1157990843783823,1.0
147,0.0337193681371692,2.0
408,0.0288237851022129,3.0
145,0.0252284142828762,4.0
153,0.021114884813991,5.0
426,0.0178483348171833,6.0
228,0.0146372408061929,7.0
227,0.0146372408061929,7.0
155,0.0144373549884486,8.0
205,0.0140086101786191,9.0
231,0.0124839786038389,10.0
230,0.0115344809983782,11.0
229,0.0115344809983782,11.0
352,0.0094544958360406,12.0
427,0.0089772549221806,13.0
176,0.007674995409411,14.0
89,0.0074962865601705,15.0
298,0.0070346594499369,16.0
154,0.0068057560189149,17.0
149,0.00633231887758,18.0
173,0.0063258038413446,19.0
238,0.0060274748557705,20.0
146,0.0059810278814647,21.0
233,0.005779180902395,22.0
174,0.0047807788913755,23.0
56,0.0045564444314916,24.0
6,0.0044794532601572,25.0
128,0.0042940592263826,26.0
243,0.0041337463519071,27.0
285,0.003856051513179,28.0
220,0.0038443610096957,29.0
208,0.0037369048920438,30.0
390,0.0037060790738997,31.0
376,0.0037022077900655,32.0
198,0.0034086020106879,33.0
295,0.0033467109580817,34.0
135,0.0031243583401404,35.0
182,0.0029248769268607,36.0
218,0.002915946630791,37.0
217,0.0028865599077344,38.0
34,0.0028515429931521,39.0
185,0.0028493706677883,40.0
184,0.0026669962037331,41.0
159,0.0025682650758849,42.0
273,0.0025289851894632,43.0
435,0.0025275942779941,44.0
392,0.0024565640665032,45.0
157,0.0024313916166949,46.0
382,0.0024149030563289,47.0
183,0.0024042323239641,48.0
365,0.0023881753659404,49.0
202,0.002384199201183,50.0
409,0.0023307014473837,51.0
187,0.0023146586250292,52.0
18,0.0022842222340666,53.0
188,0.0022556377158102,54.0
414,0.0022350254997465,55.0
300,0.0022096032096691,56.0
244,0.0022092568847163,57.0
293,0.0021442513488584,58.0
239,0.0020830915221536,59.0
412,0.0020650452863497,60.0
246,0.0020497840046269,61.0
245,0.0020375671359984,62.0
422,0.0020094648494976,63.0
371,0.0020055210720172,64.0
335,0.0019812586351718,65.0
417,0.0019595930436318,66.0
383,0.0019454363949768,67.0
311,0.001936764931984,68.0
345,0.0019325109553959,69.0
449,0.0019293650678529,70.0
211,0.0019211588570216,71.0
127,0.0019062683408486,72.0
334,0.0018753118805292,73.0
437,0.001859079125502,74.0
439,0.0018348855634162,75.0
207,0.0018219530660915,76.0
143,0.0018196880860399,77.0
216,0.0018177605309457,78.0
379,0.0018155377154872,79.0
306,0.0018099435265001,80.0
68,0.0017836617741073,81.0
272,0.0017766728692907,82.0
431,0.001775470638639,83.0
193,0.0017670132380564,84.0
7,0.0017622963361757,85.0
167,0.0017588109939795,86.0
164,0.0017411174596127,87.0
389,0.001734489073224,88.0
136,0.0017262051205496,89.0
451,0.0017243404540301,90.0
125,0.001722095387556,91.0
342,0.00171832496401,92.0
80,0.0017152775460322,93.0
413,0.0017144362347273,94.0
443,0.0017132333212345,95.0
299,0.0017011175430354,96.0
399,0.001694254803289,97.0
108,0.0016799758443467,98.0
88,0.0016799251153214,99.0
62,0.0016720704504361,100.0
166,0.0016673005637482,101.0
436,0.0016614134737608,102.0
158,0.0016369088909155,103.0
282,0.0016354974299855,104.0
374,0.0016295283208869,105.0
316,0.001614724350219,106.0
323,0.0016135031210191,107.0
210,0.0015967545118798,108.0
372,0.001593730922487,109.0
370,0.0015934338510847,110.0
93,0.0015796657711028,111.0
349,0.001570396232296,112.0
381,0.0015425558683021,113.0
232,0.0015361508163153,114.0
70,0.0015299037241675,115.0
1,0.0015285683446984,116.0
373,0.0015219781598639,117.0
440,0.0015087224997823,118.0
197,0.0015048029150589,119.0
85,0.0015028248913497,120.0
286,0.0014882047635393,121.0
215,0.0014846896537989,122.0
302,0.0014748721840945,123.0
45,0.0014726815485037,124.0
438,0.0014668480293091,125.0
82,0.0014660706347012,126.0
81,0.001462254218146,127.0
83,0.001462254218146,127.0
84,0.001462254218146,127.0
395,0.0014612749200836,128.0
304,0.0014607267833524,129.0
116,0.0014596084842057,130.0
28,0.001450312506902,131.0
94,0.0014420893882478,132.0
425,0.0014376217680322,133.0
13,0.0014345868670614,134.0
200,0.0014344723474569,135.0
387,0.0014243643868202,136.0
27,0.0014238627063993,137.0
343,0.0014164082274116,138.0
61,0.0014156085040864,139.0
141,0.0014115231897974,140.0
259,0.0014090928205,141.0
404,0.0013987822744575,142.0
124,0.0013983465606441,143.0
221,0.0013976690008639,144.0
297,0.0013969099058543,145.0
109,0.0013952408212684,146.0
248,0.0013948889488899,147.0
444,0.0013943173277594,148.0
4,0.0013884403113449,149.0
122,0.0013793828713869,150.0
204,0.0013772149708325,151.0
206,0.0013765303795828,152.0
140,0.0013702646478079,153.0
60,0.0013682068023157,154.0
162,0.0013663974201205,155.0
348,0.0013617677709758,156.0
318,0.0013610804150028,157.0
269,0.0013538492995302,158.0
3,0.001351127161697,159.0
96,0.0013496482158124,160.0
42,0.0013495403776891,161.0
152,0.0013441726437075,162.0
196,0.0013435525717302,163.0
58,0.0013421734934078,164.0
199,0.0013406453485843,165.0
168,0.0013345707687627,166.0
14,0.0013313476857272,167.0
416,0.0013312102411712,168.0
115,0.0013294312486157,169.0
336,0.0013281248948393,170.0
39,0.0013253303502563,171.0
324,0.0013165385752064,172.0
36,0.0013099717246581,173.0
432,0.0013000257626242,174.0
64,0.0012959975322923,175.0
332,0.0012958961568658,176.0
429,0.0012911079019224,177.0
150,0.0012806425633882,178.0
33,0.0012800350684435,179.0
74,0.0012795583039993,180.0
355,0.0012787993307281,181.0
201,0.0012777315829583,182.0
442,0.001277624301766,183.0
29,0.0012755722714507,184.0
79,0.0012724495766905,185.0
86,0.0012717903676995,186.0
10,0.0012710744356121,187.0
31,0.0012676463629314,188.0
396,0.0012672409697262,189.0
100,0.0012666409634474,190.0
25,0.0012653482799793,191.0
24,0.0012653009928441,192.0
46,0.0012653009928441,192.0
47,0.0012653009928441,192.0
26,0.0012653009928441,192.0
48,0.0012652397977278,193.0
41,0.0012641422953248,194.0
132,0.0012639133595805,195.0
312,0.0012618444487743,196.0
57,0.0012615706348049,197.0
277,0.0012610989481565,198.0
445,0.0012586546397262,199.0
406,0.0012581002610764,200.0
110,0.0012578224995987,201.0
384,0.0012575247452181,202.0
50,0.0012563824366895,203.0
73,0.001254518910127,204.0
291,0.001253202452428,205.0
287,0.001253202452428,205.0
289,0.001253202452428,205.0
292,0.001253202452428,205.0
288,0.001253202452428,205.0
129,0.0012531980246611,206.0
53,0.0012523134648287,207.0
59,0.0012483215540921,208.0
346,0.0012438668888253,209.0
386,0.0012436304735511,210.0
98,0.0012436049651113,211.0
452,0.0012353603250153,212.0
271,0.0012343031916573,213.0
270,0.0012338090056627,214.0
63,0.001233093270209,215.0
195,0.0012297961914648,216.0
172,0.0012252028578509,217.0
222,0.0012232591120252,218.0
111,0.0012223281250114,219.0
112,0.001221950622671,220.0
44,0.0012214815683539,221.0
347,0.0012212453947089,222.0
261,0.0012191603513611,223.0
90,0.0012187750975556,224.0
32,0.0012183816243252,225.0
160,0.0012176194921664,226.0
117,0.0012174694954398,227.0
276,0.0012171844149,228.0
317,0.0012141793156608,229.0
290,0.0012135898091444,230.0
137,0.0012116081944471,231.0
144,0.0012106704512341,232.0
106,0.0012105822858224,233.0
107,0.0012105272499549,234.0
102,0.0012105272499549,234.0
105,0.0012105272499549,234.0
104,0.0012105272499549,234.0
103,0.0012100561667712,235.0
75,0.0012098968018417,236.0
191,0.0012093613052438,237.0
249,0.0012079468461195,238.0
49,0.0012057428261497,239.0
130,0.0012030647204272,240.0
99,0.0012028624035567,241.0
101,0.0012022124561346,242.0
40,0.001193709440749,243.0
161,0.0011913702200732,244.0
391,0.0011851659625347,245.0
226,0.0011835617877384,246.0
363,0.0011835617877384,246.0
314,0.0011814410021823,247.0
255,0.0011799944480572,248.0
77,0.0011791278836988,249.0
71,0.0011773996161805,250.0
69,0.0011765869927214,251.0
52,0.0011765869927214,251.0
212,0.0011756215100627,252.0
78,0.001170353300226,253.0
434,0.0011697834706807,254.0
267,0.0011689878810652,255.0
388,0.0011671554145664,256.0
280,0.0011607418950187,257.0
337,0.0011607418950187,257.0
402,0.0011607418950187,257.0
394,0.0011607418950187,257.0
401,0.00116070652901,258.0
309,0.0011572748340502,259.0
368,0.0011558253688105,260.0
66,0.0011537904618761,261.0
175,0.0011529904820916,262.0
441,0.0011526557658068,263.0
92,0.0011516000567608,264.0
364,0.0011482628683142,265.0
407,0.0011481709656428,266.0
179,0.0011415515344254,267.0
170,0.001139172923176,268.0
119,0.0011372837630881,269.0
303,0.0011350153605988,270.0
97,0.0011326736754346,271.0
354,0.0011257782727954,272.0
190,0.0011252661632355,273.0
310,0.001123846528965,274.0
30,0.0011227377640553,275.0
87,0.001122299662655,276.0
43,0.0011201124850513,277.0
330,0.0011189991364737,278.0
421,0.0011181802749302,279.0
123,0.0011092353239204,280.0
433,0.0011092353239204,280.0
274,0.0011092353239204,280.0
203,0.0011088604442574,281.0
118,0.0011026239045016,282.0
369,0.0010998841076697,283.0
410,0.0010998841076697,283.0
11,0.0010984218467535,284.0
375,0.0010971353821288,285.0
51,0.0010937674070458,286.0
359,0.0010937674070458,286.0
446,0.0010931177056494,287.0
171,0.0010903613223849,288.0
224,0.0010811965693048,289.0
385,0.0010618615133484,290.0
419,0.0010593070748862,291.0
240,0.001052035835813,292.0
257,0.001052035835813,292.0
133,0.0010506800015299,293.0
126,0.0010506800015299,293.0
95,0.0010415014406643,294.0
2,0.0010407766865325,295.0
67,0.0010407766865325,295.0
420,0.0010400528024537,296.0
283,0.0010400528024537,296.0
418,0.0010400528024537,296.0
284,0.0010400528024537,296.0
91,0.0010370770889407,297.0
169,0.0010280441687684,298.0
213,0.00102724910281,299.0
37,0.0010232778453301,300.0
