Starting Node,Average Spreading Ability
186,7.01
1,1.18
2,1.2
3,1.26
5,1.2
13,1.18
24,1.28
25,1.2
26,1.42
27,1.15
28,1.42
29,1.35
31,1.24
32,1.24
34,1.07
40,1.15
41,1.16
42,1.11
43,1.29
45,1.29
46,1.48
47,1.22
48,1.49
50,1.07
51,1.05
52,1.22
57,1.39
61,1.54
64,1.28
66,1.51
67,1.37
69,1.06
70,1.45
71,1.15
72,1.07
75,1.19
76,1.41
79,1.27
80,1.14
81,1.33
82,1.31
83,1.49
84,1.21
85,1.5
88,1.21
89,2.38
91,1.24
92,1.92
94,1.09
95,1.24
97,1.1
98,1.36
100,1.38
111,1.29
112,1.19
113,1.1
115,1.28
116,1.41
117,1.49
118,1.17
125,1.46
127,1.26
128,1.47
129,1.14
130,1.25
132,1.13
135,1.83
136,1.54
137,1.41
140,1.19
141,1.17
144,1.34
145,4.14
146,2.5
147,4.02
148,1.06
149,1.48
153,3.18
155,3.71
157,1.5
159,1.7
160,1.57
161,1.49
162,1.29
166,1.55
173,2.16
174,1.91
176,2.34
179,1.31
182,1.51
183,1.52
184,1.34
185,1.28
187,1.39
188,1.62
190,1.16
191,1.24
194,1.32
195,1.21
197,1.4
198,1.99
201,1.33
202,1.67
203,1.29
204,1.35
205,3.31
207,1.29
208,2.14
210,1.3
211,1.92
213,1.11
215,1.53
216,1.44
217,1.22
219,1.35
220,1.74
221,1.35
226,1.16
227,3.06
228,2.88
229,2.57
230,2.82
231,2.96
233,1.99
238,1.95
239,1.18
243,1.41
246,1.52
247,1.07
251,1.05
252,1.1
253,1.16
254,1.21
255,1.13
256,1.2
259,1.13
260,1.05
261,1.09
262,1.16
269,1.4
272,1.45
273,1.55
279,1.18
283,1.28
284,1.22
285,1.99
286,1.26
287,1.11
288,1.3
289,1.2
290,1.46
291,1.21
292,1.18
293,1.36
294,1.27
295,1.86
296,1.02
297,1.33
298,2.35
299,1.36
300,1.7
302,1.55
305,1.19
306,1.39
307,1.09
308,1.14
310,1.28
311,1.9
312,1.23
313,1.24
314,1.18
315,1.28
317,1.43
318,1.23
319,1.16
323,1.66
324,1.35
330,1.15
331,1.03
334,1.46
335,1.46
336,1.48
338,1.39
339,1.12
341,1.11
342,1.35
345,1.23
346,1.35
347,1.27
359,1.06
363,1.44
365,1.53
369,1.12
371,1.38
373,1.11
375,1.26
376,2.1
381,1.63
382,1.54
383,1.68
384,1.23
386,1.23
387,1.92
389,1.43
392,1.48
393,1.12
396,1.14
400,1.27
404,1.12
408,4.8
409,1.64
410,1.1
411,1.27
412,1.22
413,1.54
416,1.59
417,1.54
418,1.04
419,1.19
420,1.41
426,2.8
427,2.07
429,1.22
431,1.5
435,2.3
436,1.18
438,1.27
439,1.48
440,1.29
442,1.37
443,1.25
446,1.41
447,1.02
448,1.07
449,1.68
450,1.32
451,1.73
452,1.15
218,1.13
206,1.24
232,1.06
6,1.69
7,1.97
30,1.08
39,1.25
44,1.18
49,1.27
65,1.1
68,1.69
77,1.43
86,1.08
87,1.16
99,1.25
102,1.25
103,1.26
104,1.26
105,1.18
106,1.24
107,1.44
108,1.34
109,1.23
121,1.25
199,1.29
282,1.33
357,1.15
374,1.44
406,1.25
421,1.13
422,1.44
36,1.19
96,1.17
122,1.36
139,1.11
142,1.35
143,1.37
164,1.21
168,1.28
172,1.23
177,1.38
178,1.15
180,1.04
181,1.1
432,1.22
445,1.12
10,1.26
11,1.17
14,1.5
33,1.3
58,1.56
59,1.34
60,1.29
62,1.51
63,1.35
74,1.09
110,1.15
126,1.21
133,1.19
154,1.95
200,1.36
245,1.64
248,1.38
266,1.11
316,1.28
340,1.22
349,1.53
360,1.17
364,1.26
368,1.38
370,1.35
390,1.24
399,1.24
428,1.04
437,1.35
441,1.42
444,1.32
163,1.18
240,1.04
244,1.24
249,1.21
257,1.21
378,1.08
379,1.13
4,1.19
241,1.02
158,1.1
167,1.36
169,1.12
170,1.36
222,1.23
350,1.01
37,1.2
53,1.11
54,1.13
93,1.17
152,1.34
175,1.15
235,1.19
236,1.18
237,1.08
258,1.11
303,1.4
320,1.16
321,1.13
322,1.25
325,1.2
326,1.05
327,1.09
328,1.09
329,1.06
332,1.12
333,1.09
405,1.24
424,1.22
425,1.41
430,1.18
73,1.24
196,1.33
348,1.28
414,1.44
193,1.37
267,1.2
55,1.1
101,1.1
119,1.27
124,1.16
131,1.03
150,1.23
151,1.47
250,1.06
278,1.03
281,1.15
304,1.16
351,1.12
358,1.02
366,1.05
407,1.16
15,1.14
8,1.05
352,1.32
353,1.1
356,1.13
23,1.09
22,1.06
354,1.09
18,1.12
19,1.08
20,1.14
21,1.14
355,1.07
12,1.2
9,1.08
16,1.11
17,1.13
90,1.13
114,1.14
165,1.07
171,1.16
212,1.23
214,1.31
223,1.07
224,1.13
268,1.11
277,1.15
395,1.34
38,1.13
56,1.1
265,1.05
270,1.15
271,1.19
276,1.12
385,1.14
391,1.15
415,1.07
263,1.19
397,1.23
209,1.08
275,1.09
344,1.15
192,1.13
402,1.2
337,1.25
309,1.28
280,1.24
78,1.18
264,1.1
343,1.18
388,1.18
394,1.25
401,1.35
434,1.2
367,1.04
403,1.02
361,1.05
362,1.1
372,1.02
398,1.01
35,1.02
189,1.0
123,1.05
225,1.06
274,1.13
433,1.07
134,1.03
380,1.05
156,1.01
120,1.15
234,1.08
423,1.06
301,1.1
138,1.01
453,1.01
242,1.05
377,1.06
