Starting Node,Average Spreading Ability,Rank
26,33.56,1.0
150,32.38,2.0
1141,32.14,3.0
1174,31.52,4.0
1145,31.37,5.0
1138,31.09,6.0
96,30.44,7.0
541,30.11,8.0
1175,29.96,9.0
18,29.42,10.0
542,29.25,11.0
518,29.1,12.0
25,29.1,12.0
517,28.66,13.0
20,28.49,14.0
149,28.41,15.0
288,28.4,16.0
137,28.31,17.0
23,28.3,18.0
153,28.23,19.0
114,28.18,20.0
1162,28.04,21.0
747,27.97,22.0
1148,27.51,23.0
1200,27.13,24.0
649,27.08,25.0
24,27.07,26.0
1131,27.05,27.0
158,26.8,28.0
848,26.71,29.0
143,26.7,30.0
1199,26.63,31.0
117,26.63,31.0
28,26.62,32.0
1143,26.54,33.0
147,26.15,34.0
599,25.76,35.0
682,25.73,36.0
110,25.69,37.0
632,25.68,38.0
1136,25.62,39.0
21,25.48,40.0
657,25.43,41.0
612,25.37,42.0
119,25.25,43.0
151,25.16,44.0
115,24.96,45.0
125,24.86,46.0
121,24.73,47.0
130,24.73,47.0
140,24.56,48.0
128,24.44,49.0
1139,24.28,50.0
109,24.24,51.0
142,24.04,52.0
101,23.92,53.0
776,23.76,54.0
123,23.22,55.0
22,23.15,56.0
127,23.1,57.0
139,23.06,58.0
135,22.98,59.0
113,22.96,60.0
122,22.84,61.0
155,22.55,62.0
138,22.45,63.0
145,22.31,64.0
124,22.26,65.0
152,21.99,66.0
132,21.96,67.0
134,21.87,68.0
1134,21.75,69.0
146,21.69,70.0
89,21.65,71.0
611,21.64,72.0
148,21.55,73.0
133,21.37,74.0
141,21.21,75.0
154,21.18,76.0
131,20.91,77.0
144,20.77,78.0
136,20.66,79.0
1151,20.66,79.0
118,20.56,80.0
112,20.47,81.0
106,20.28,82.0
111,20.08,83.0
126,20.08,83.0
129,19.85,84.0
120,19.62,85.0
156,19.39,86.0
116,19.08,87.0
37,18.4,88.0
157,17.11,89.0
81,15.08,90.0
84,14.94,91.0
27,13.76,92.0
47,13.68,93.0
83,13.59,94.0
48,13.49,95.0
29,13.35,96.0
1,12.86,97.0
86,12.77,98.0
82,12.14,99.0
1104,12.08,100.0
85,12.01,101.0
53,11.85,102.0
44,11.53,103.0
87,11.43,104.0
167,11.21,105.0
52,10.91,106.0
50,10.83,107.0
195,10.78,108.0
1101,10.71,109.0
51,10.55,110.0
176,9.93,111.0
161,9.84,112.0
46,9.69,113.0
97,9.42,114.0
175,8.48,115.0
183,8.33,116.0
45,8.29,117.0
174,8.29,117.0
172,8.16,118.0
160,8.06,119.0
49,7.9,120.0
19,7.83,121.0
56,7.76,122.0
520,7.7,123.0
257,7.7,123.0
194,7.64,124.0
171,7.6,125.0
206,7.6,125.0
166,7.6,125.0
192,7.35,126.0
537,7.32,127.0
34,7.32,127.0
245,7.23,128.0
10,7.21,129.0
232,7.09,130.0
608,7.08,131.0
214,7.02,132.0
196,6.92,133.0
607,6.88,134.0
459,6.78,135.0
30,6.67,136.0
7,6.6,137.0
271,6.59,138.0
255,6.52,139.0
646,6.51,140.0
205,6.47,141.0
231,6.45,142.0
203,6.44,143.0
309,6.4,144.0
561,6.31,145.0
325,6.28,146.0
1158,6.26,147.0
374,6.25,148.0
88,6.23,149.0
199,6.2,150.0
207,6.11,151.0
1111,6.1,152.0
260,5.93,153.0
182,5.92,154.0
318,5.91,155.0
376,5.88,156.0
43,5.83,157.0
36,5.81,158.0
222,5.81,158.0
865,5.74,159.0
224,5.72,160.0
663,5.72,160.0
35,5.68,161.0
321,5.67,162.0
4,5.57,163.0
220,5.56,164.0
740,5.45,165.0
345,5.44,166.0
333,5.41,167.0
