Starting Node,Average Spreading Ability
1,2.12
2,1.31
3,1.1
4,1.66
5,1.48
6,1.57
7,2.14
8,1.19
9,1.78
10,1.68
11,2.14
12,1.52
13,1.34
14,1.58
15,1.77
16,1.64
17,1.58
18,5.02
19,1.39
20,5.91
21,5.22
22,3.99
23,5.05
24,5.6
25,4.76
26,5.66
27,3.08
28,6.96
29,2.85
30,1.32
31,1.41
32,1.67
33,1.48
34,1.62
35,2.03
36,1.44
37,5.53
38,1.16
39,1.09
40,2.06
41,1.2
42,1.0
43,2.33
44,3.86
45,3.43
46,3.67
47,4.06
48,3.64
49,3.59
50,4.16
51,3.77
52,4.08
53,3.53
54,1.16
55,1.04
56,2.08
57,1.18
58,1.03
59,1.89
60,1.29
61,1.06
62,1.51
63,1.15
64,1.09
65,1.75
66,1.11
67,1.08
68,1.79
69,1.11
70,1.21
71,1.3
72,1.14
73,1.06
74,1.35
75,1.16
76,1.1
77,2.01
78,1.1
79,1.16
80,1.41
81,2.51
82,2.34
83,3.0
84,2.62
85,2.66
86,2.74
87,2.7
88,1.84
89,5.39
90,1.05
91,1.16
92,1.32
93,1.03
94,1.23
95,1.05
96,3.77
97,1.89
98,1.09
99,1.46
100,1.22
101,4.48
102,1.17
103,1.07
104,1.54
105,1.09
106,4.01
107,1.23
108,1.17
109,4.45
110,4.68
111,3.96
112,3.39
113,4.19
114,5.11
115,4.13
116,3.54
117,3.95
118,3.24
119,4.21
120,3.68
121,5.02
122,3.98
123,3.59
124,4.92
125,3.71
126,4.1
127,3.62
128,4.09
129,3.6
130,3.85
131,3.46
132,4.45
133,4.09
134,4.65
135,3.36
136,3.65
137,4.74
138,4.43
139,4.33
140,3.88
141,4.14
142,3.8
143,3.61
144,3.36
145,4.59
146,4.05
147,2.72
148,3.97
149,4.56
150,5.28
151,5.65
152,4.06
153,4.97
154,4.52
155,4.78
156,4.09
157,3.08
158,3.9
159,1.93
160,2.3
161,1.52
162,1.11
163,1.0
164,1.18
165,1.25
166,2.03
167,2.46
168,1.36
169,1.21
170,1.33
171,1.74
172,1.6
173,2.22
174,1.67
175,2.46
176,2.2
177,1.78
178,1.06
179,1.83
180,1.1
181,1.11
182,1.66
183,1.6
184,1.26
185,1.1
186,1.06
187,1.08
188,1.6
189,1.37
190,1.15
191,1.83
192,1.84
193,1.71
194,2.09
195,2.04
196,1.76
197,1.33
198,1.12
199,1.91
200,1.88
201,1.1
202,1.57
203,2.05
204,1.6
205,1.82
206,1.65
207,1.36
208,1.79
209,1.64
210,1.55
211,1.06
212,1.08
213,1.1
214,2.67
215,1.23
216,1.18
217,1.07
218,1.06
219,2.03
220,1.73
221,1.07
222,2.04
223,1.43
224,1.32
225,2.17
226,1.34
227,1.48
228,1.12
229,1.15
230,1.03
231,2.51
232,2.15
233,1.17
234,1.62
235,1.98
236,1.65
237,1.24
238,1.49
239,1.33
240,1.02
241,1.07
242,1.84
243,1.9
244,1.26
245,1.65
246,1.09
247,1.17
248,1.04
249,1.29
250,1.07
251,1.37
252,1.08
253,1.02
254,1.11
255,2.35
256,1.08
257,2.28
258,1.08
259,1.03
260,2.34
261,1.06
262,1.15
263,1.15
264,1.51
265,1.22
266,1.08
267,1.62
268,1.24
269,1.38
270,1.54
271,1.82
272,1.3
273,1.26
274,1.11
275,1.65
276,1.23
277,1.14
278,1.63
279,1.85
280,2.13
281,1.8
282,1.7
283,1.82
284,1.57
285,1.68
286,1.35
287,1.41
288,5.57
289,1.19
290,1.19
291,1.76
292,1.12
293,1.1
294,1.72
295,1.22
296,1.03
297,1.77
298,1.36
299,1.07
300,1.59
301,1.16
302,1.01
303,1.99
304,1.14
305,1.13
306,1.7
307,1.31
308,1.1
309,2.01
310,1.15
311,1.01
312,1.52
313,1.24
314,1.02
315,1.77
316,1.17
317,1.03
318,1.58
319,1.22
320,1.02
321,1.63
322,1.28
323,1.09
324,1.37
325,1.19
326,1.08
327,1.58
328,1.43
329,1.46
330,1.48
331,1.57
332,1.32
333,1.82
334,1.51
335,1.51
336,1.64
337,1.27
338,1.56
339,1.16
340,1.2
341,1.11
342,1.74
343,1.1
344,1.05
345,1.64
346,1.18
347,1.03
348,1.59
349,1.16
350,1.03
351,1.74
352,1.33
353,1.08
354,1.52
355,1.18
356,1.21
357,1.38
358,1.05
359,1.03
360,1.83
361,1.18
362,1.04
363,2.14
364,1.17
365,1.08
366,1.11
367,1.23
368,1.04
369,1.07
370,1.18
371,1.66
372,1.49
373,1.77
374,2.07
375,2.76
376,1.69
377,1.74
378,1.71
379,1.67
380,1.91
381,1.51
382,1.12
383,1.21
384,1.19
385,1.06
386,1.04
387,1.37
388,1.08
389,1.1
390,1.12
391,1.05
392,1.08
393,1.19
394,1.07
395,1.06
396,1.08
397,1.04
