Starting Node,Average Spreading Ability,Node,Rank
1,1.95,1,208.0
2,1.66,2,236.0
3,8.67,3,50.0
4,1.85,4,218.0
5,13.1,5,23.0
6,1.56,6,244.0
7,3.88,7,121.0
8,1.68,8,234.0
9,1.33,9,266.0
10,1.1,10,288.0
11,1.29,11,269.0
12,1.9,12,213.0
13,1.44,13,256.0
14,7.27,14,59.0
15,15.21,15,13.0
16,16.56,16,11.0
17,18.63,17,6.0
18,26.89,18,1.0
19,13.9,19,21.0
20,13.11,20,22.0
21,2.19,21,192.0
22,10.08,22,38.0
23,19.66,23,4.0
24,8.93,24,49.0
25,4.14,25,114.0
26,14.29,26,17.0
27,15.12,27,14.0
28,19.41,28,5.0
29,20.85,29,3.0
30,10.99,30,32.0
31,4.29,31,107.0
32,17.16,32,9.0
33,12.63,33,26.0
34,10.87,34,33.0
35,9.39,35,45.0
36,2.75,36,162.0
37,17.49,37,8.0
38,7.23,38,60.0
39,21.38,39,2.0
40,5.47,40,85.0
41,8.51,41,52.0
42,2.79,42,160.0
43,12.32,43,27.0
44,9.45,44,43.0
45,8.57,45,51.0
46,10.44,46,36.0
47,14.86,47,15.0
48,1.28,48,270.0
49,1.57,49,243.0
50,1.27,50,271.0
51,1.96,51,207.0
52,3.2,52,145.0
53,1.21,53,277.0
54,1.27,54,271.0
55,1.5,55,250.0
56,4.98,56,95.0
57,1.48,57,252.0
58,1.19,58,279.0
59,5.12,59,92.0
60,3.37,60,134.0
61,1.76,61,227.0
62,4.09,62,116.0
63,13.93,63,20.0
64,6.65,64,67.0
65,2.43,65,177.0
66,3.05,66,154.0
67,4.12,67,115.0
68,5.35,68,88.0
69,4.28,69,108.0
70,6.85,70,65.0
71,1.52,71,248.0
72,4.93,72,96.0
73,3.34,73,136.0
74,5.32,74,90.0
75,4.44,75,105.0
76,18.47,76,7.0
77,2.8,77,159.0
78,5.98,78,78.0
79,5.92,79,80.0
80,2.69,80,164.0
81,2.42,81,178.0
82,9.67,82,41.0
83,3.19,83,146.0
84,2.57,84,170.0
85,12.07,85,28.0
86,2.44,86,176.0
87,3.16,87,148.0
88,11.16,88,31.0
89,14.26,89,18.0
90,9.44,90,44.0
91,3.07,91,153.0
92,5.83,92,81.0
93,3.2,93,145.0
94,6.18,94,74.0
95,3.23,95,142.0
96,1.1,96,288.0
97,5.36,97,87.0
98,4.53,98,102.0
99,4.34,99,106.0
100,3.2,100,145.0
101,4.64,101,100.0
102,4.83,102,98.0
103,14.5,103,16.0
104,1.52,104,248.0
105,7.87,105,55.0
106,5.16,106,91.0
107,8.67,107,50.0
108,2.52,108,172.0
109,10.65,109,34.0
110,5.66,110,84.0
111,2.52,111,172.0
112,3.3,112,139.0
113,3.32,113,137.0
114,7.33,114,58.0
115,3.7,115,126.0
116,8.67,116,50.0
117,3.85,117,123.0
118,7.68,118,57.0
119,1.67,119,235.0
120,4.23,120,112.0
121,6.3,121,72.0
122,3.15,122,149.0
123,6.51,123,70.0
124,1.57,124,243.0
125,9.3,125,47.0
126,16.65,126,10.0
127,4.8,127,99.0
128,3.22,128,143.0
129,3.65,129,128.0
130,14.07,130,19.0
131,3.97,131,119.0
132,9.09,132,48.0
133,3.45,133,132.0
134,5.97,134,79.0
135,2.15,135,194.0
136,3.13,136,151.0
137,6.03,137,77.0
138,3.39,138,133.0
139,4.54,139,101.0
140,5.39,140,86.0
141,4.26,141,110.0
142,9.38,142,46.0
143,10.37,143,37.0
144,2.64,144,167.0
145,9.59,145,42.0
146,7.04,146,63.0
147,12.65,147,25.0
148,2.3,148,184.0
149,3.55,149,129.0
150,9.68,150,40.0
151,2.42,151,178.0
152,7.19,152,61.0
153,2.48,153,174.0
154,5.72,154,83.0
155,6.05,155,76.0
156,5.0,156,94.0
157,11.37,157,30.0
158,3.51,158,130.0
159,2.77,159,161.0
160,1.93,160,210.0
161,3.16,161,148.0
162,11.58,162,29.0
163,2.68,163,165.0
164,4.51,164,103.0
165,6.57,165,69.0
166,7.09,166,62.0
167,15.48,167,12.0
168,12.9,168,24.0
169,1.75,169,228.0
170,8.5,170,53.0
171,3.1,171,152.0
172,1.89,172,214.0
173,1.41,173,259.0
174,1.75,174,228.0
175,6.3,175,72.0
176,2.22,176,189.0
177,1.58,177,242.0
178,2.05,178,200.0
179,2.02,179,201.0
180,1.42,180,258.0
181,1.18,181,280.0
182,2.68,182,165.0
183,2.06,183,199.0
184,2.05,184,200.0
185,1.14,185,284.0
186,1.73,186,230.0
187,1.88,187,215.0
188,1.48,188,252.0
189,1.06,189,292.0
190,1.26,190,272.0
191,3.31,191,138.0
192,1.45,192,255.0
193,1.48,193,252.0
194,7.02,194,64.0
195,2.82,195,157.0
196,6.07,196,75.0
197,3.46,197,131.0
198,3.74,198,124.0
199,2.71,199,163.0
200,1.83,200,220.0
201,7.9,201,54.0
202,1.52,202,248.0
203,1.16,203,282.0
204,1.05,204,293.0
205,1.57,205,243.0
206,5.34,206,89.0
207,1.27,207,271.0
208,1.56,208,244.0
209,6.27,209,73.0
210,1.06,210,292.0
211,1.59,211,241.0
212,2.07,212,198.0
213,5.75,213,82.0
214,3.7,214,126.0
215,10.52,215,35.0
216,7.33,216,58.0
217,3.28,217,140.0
218,6.64,218,68.0
219,3.19,219,146.0
220,3.24,220,141.0
221,1.13,221,285.0
222,1.14,222,284.0
223,1.34,223,265.0
224,1.1,224,288.0
225,1.08,225,290.0
226,2.18,226,193.0
227,1.69,227,233.0
228,1.44,228,256.0
229,1.41,229,259.0
230,1.18,230,280.0
231,1.69,231,233.0
232,6.3,232,72.0
233,1.45,233,255.0
234,1.91,234,212.0
235,1.27,235,271.0
236,1.49,236,251.0
237,1.03,237,295.0
238,1.75,238,228.0
239,1.29,239,269.0
240,4.27,240,109.0
241,4.48,241,104.0
242,1.41,242,259.0
243,2.01,243,202.0
244,1.94,244,209.0
245,1.83,245,220.0
246,1.5,246,250.0
247,1.26,247,272.0
248,1.99,248,204.0
249,1.64,249,238.0
250,1.54,250,246.0
251,1.8,251,223.0
252,1.9,252,213.0
253,3.86,253,122.0
254,2.11,254,196.0
255,2.8,255,159.0
256,1.77,256,226.0
257,1.43,257,257.0
258,1.4,258,260.0
259,1.37,259,263.0
260,1.6,260,240.0
261,1.92,261,211.0
262,1.49,262,251.0
263,1.77,263,226.0
264,1.51,264,249.0
265,1.43,265,257.0
266,1.24,266,274.0
267,2.11,267,196.0
268,1.83,268,220.0
269,1.93,269,210.0
270,1.95,270,208.0
271,1.29,271,269.0
272,1.85,272,218.0
273,2.41,273,179.0
274,1.86,274,217.0
275,1.82,275,221.0
276,1.31,276,268.0
277,1.75,277,228.0
278,2.12,278,195.0
279,1.47,279,253.0
280,1.58,280,242.0
281,1.44,281,256.0
282,2.05,282,200.0
283,2.0,283,203.0
284,2.01,284,202.0
285,1.65,285,237.0
286,1.95,286,208.0
287,2.2,287,191.0
288,2.24,288,187.0
289,1.58,289,242.0
290,4.21,290,113.0
291,1.59,291,241.0
292,1.35,292,264.0
293,1.4,293,260.0
294,1.6,294,240.0
295,1.46,295,254.0
296,1.78,296,225.0
297,2.1,297,197.0
298,1.57,298,243.0
299,1.42,299,258.0
300,1.21,300,277.0
301,1.26,301,272.0
302,1.32,302,267.0
303,1.17,303,281.0
304,6.46,304,71.0
305,2.21,305,190.0
306,1.94,306,209.0
307,1.11,307,287.0
308,1.11,308,287.0
309,2.23,309,188.0
310,1.29,310,269.0
311,1.22,311,276.0
312,4.54,312,101.0
313,1.72,313,231.0
314,1.06,314,292.0
315,1.34,315,265.0
316,1.44,316,256.0
317,1.34,317,265.0
318,1.33,318,266.0
319,1.03,319,295.0
320,1.05,320,293.0
321,7.79,321,56.0
322,10.05,322,39.0
323,4.89,323,97.0
324,3.96,324,120.0
325,3.45,325,132.0
326,2.23,326,188.0
327,1.21,327,277.0
328,1.81,328,222.0
329,4.03,329,118.0
330,2.35,330,181.0
331,1.44,331,256.0
332,4.25,332,111.0
333,3.71,333,125.0
334,3.45,334,132.0
335,3.21,335,144.0
336,2.96,336,156.0
337,3.14,337,150.0
338,3.96,338,120.0
339,1.94,339,209.0
340,4.08,340,117.0
341,1.72,341,231.0
342,2.5,342,173.0
343,1.8,343,223.0
344,2.5,344,173.0
345,4.03,345,118.0
346,4.08,346,117.0
347,6.83,347,66.0
348,3.02,348,155.0
349,5.11,349,93.0
350,1.03,350,295.0
351,1.35,351,264.0
352,2.96,352,156.0
353,1.24,353,274.0
354,2.44,354,176.0
355,1.91,355,212.0
356,1.45,356,255.0
357,1.74,357,229.0
358,2.01,358,202.0
359,2.05,359,200.0
360,1.29,360,269.0
361,1.67,361,235.0
362,1.43,362,257.0
363,1.2,363,278.0
364,1.32,364,267.0
365,3.17,365,147.0
366,1.03,366,295.0
367,1.02,367,296.0
368,2.79,368,160.0
369,1.79,369,224.0
370,1.53,370,247.0
371,1.32,371,267.0
372,1.62,372,239.0
373,1.56,373,244.0
374,1.5,374,250.0
