Node,Degree Centrality,Betweenness Centrality,Leverage Centrality,Isolating Centrality,GSM,H-GSM_1,Local-Global Centrality,PageRank Centrality,Coreness Centrality,Extended Coreness,Global Relative Change in Avg Degree,Global Relative Change in Avg Clustering,Clustering Coefficient,DIL Centrality,I-GSM Values,Clustered Local Degree,Gravity Index Centrality,Gravity Model Centrality,Local Gravity Model Centrality,Laplacian Centrality,Closeness Centrality,Semi local centrality,Eccentricity Centrality,Density Centrality,MDD Value,EHCC Value,HCC Value,P Value,Extended Degree,Eigenvector Centrality,CLC Values,Centrality Values,Constraint Coefficients,HVGc Index,PE Values,H Values,Volume Centrality,GIN Values,LGC Scores,DNC Scores,EIGSM Values,Societal Capital Scores,Improved Gravity Index Values,Extended Improved Gravity Index Values,Node H-Index,MCGM Values,GGC Values,Subgraph centrality,Second order centrality,K-Shell Value
1,0.016129032,0.168905977,-0.1,0,33.72613223,18.75254828,0.471388467,0.006962645,4,10,0.006234271,0.008064516,0,3.166666667,12.46151427,5,11,24.52743328,10,16,0.000790514,32,0.055555556,1.75,2,3.055194805,0.88961039,16,3.2,2.67E-05,32,7.7,-0.5,36.39183958,0.078551261,0.000106831,13,42.10202631,984,2,27.16975278,7,14,33,2,2.000347006,14,2.341248947,-537.1966337,2
2,0.016129032,0.15824071,0,0,31.13570318,17.25996796,0.429517716,0.007420839,4,8,0.006234271,0.008064516,0,3,9.96010729,4,10,19.60402739,8,14,0.000742942,19,0.052631579,1.590909091,2,2.506493506,0.808441558,15,2.8,1.05E-05,19,6.3,-0.5,21.83510375,0.067403917,4.22E-05,9,37.72323319,567,2,21.4216175,6,10.5,24,2,1.64012672,10.5,2.281367104,-611.2843801,2
3,0.024193548,0.179899071,0.066666667,0,38.11166752,21.56668784,0.802858019,0.009206641,6,16,0.013383665,0.008064516,0,8.333333333,17.20964549,8,16,50.40459289,24,28,0.000846024,63,0.058823529,3.818181818,2.7,5.321428571,1.357142857,24,5,6.78E-05,63,16.1,-0.333333333,143.3062621,0.152791499,0.000407058,21,48.47093621,3164,3,52.95807741,11,22.5,70,2,3.851136459,33.75,3.346458604,-438.8337659,2
4,0.016129032,0.147837702,0,0,29.32979239,16.21687606,0.401451059,0.007675264,4,8,0.006234271,0.008064516,0,3,8.960103229,4,10,17.63576476,8,14,0.000701754,17,0.05,1.590909091,2,2.425324675,0.808441558,15,2.8,4.17E-06,17,5.6,-0.5,19.40898111,0.061402536,1.67E-05,8,34.9429765,497,2,18.36553051,6,10,20.5,2,1.600049607,10,2.279614935,-669.2086256,2
5,0.016129032,0.137696956,0,0,27.98756025,15.43845518,0.380872484,0.007814557,4,8,0.006234271,0.008064516,0,3,8.405423225,4,10,16.54401326,8,14,0.000665779,16,0.047619048,1.590909091,2,2.425324675,0.808441558,15,2.8,1.65E-06,16,5.6,-0.5,19.40898111,0.061402536,6.61E-06,8,32.95403916,490,2,17.02021169,6,10,20,2,1.600019636,10,2.279585618,-714.9090828,2
6,0.024193548,0.069101216,0,0,38.58499607,22.0648602,0.824189401,0.008982722,6,17,0.013383665,0.008064516,0,9,18.5088093,9,16.5,54.20965807,27,30,0.000859107,73,0.058823529,4.056818182,2.1,5.743506494,1.474025974,26,5.4,7.71E-05,73,16.8,-0.333333333,167.6683267,0.15870585,0.000462414,23,50.006922,3690,3,55.61821064,12,25,74.5,3,4.151331875,37.5,3.42505109,-421.6370261,2
7,0.024193548,0.202006294,0.066666667,0,36.64047495,21.50085814,0.80113262,0.009207438,5,15,0.013383665,0.008064516,0,8.333333333,17.19483796,8,13.5,50.36122374,24,28,0.000838926,63,0.055555556,3.818181818,2.7,5.25,1.357142857,24,5,6.78E-05,63,16.1,-0.333333333,143.3062621,0.152791499,0.000339215,21,48.35522811,3164,3,52.92462556,11,22.5,63,2,3.601100766,33.75,3.346458604,-447.3993824,2
8,0.024193548,0.07912176,-0.016666667,0,41.90016243,23.63478053,0.885744146,0.009053685,6,20,0.013383665,0.008064516,0,9,21.21372719,10,19,62.13197612,30,32,0.000900901,85,0.058823529,4.534090909,2.7,5.782467532,1.555194805,27,5.8,9.14E-05,85,18.9,-0.333333333,186.2981407,0.170926413,0.00054847,29,54.24354504,4832,3,59.39969935,13,29.5,79.5,2,4.851785472,44.25,3.378299408,-398.0039192,2
9,0.024193548,0.294030655,-0.083333333,0,41.62780721,23.71865649,0.891427304,0.008833333,6,21,0.013383665,0.008064516,0,9.666666667,21.98775384,11,18.5,64.39898959,33,34,0.000905797,93,0.058823529,4.534090909,2.4,6.178571429,1.600649351,27,6.2,9.58E-05,93,19.6,-0.333333333,220.6916437,0.176840764,0.000574786,29,54.78957814,5389,3,61.10405981,14,31,84.5,3,4.951841495,46.5,3.55166793,-402.1918238,2
10,0.040322581,0.392097107,0.285714286,0,47.68526482,27.58184375,1.655959397,0.014211096,10,28,0.027682453,0.008064516,0,29.53333333,26.69957636,14,29,128.263355,70,58,0.000954198,127,0.058823529,11.53409091,3.5,9.217532468,1.863636364,28,8.6,0.000147073,127,32.9,-0.2,471.5889138,0.299873445,0.001470729,37,60.63186392,11716,5,104.6788375,19,39.5,140.5,3,9.593828177,98.75,5.368700836,-328.9860841,2
