Node,Score,Rank
26,0.20830587,1.0
4,0.170069739,2.0
75,0.153195541,3.0
28,0.094228636,4.0
6,0.092818381,5.0
63,0.081546516,6.0
73,0.071499679,7.0
57,0.069304864,8.0
30,0.068126673,9.0
11,0.065299521,10.0
24,0.065155305,11.0
68,0.054287953,12.0
27,0.048750288,13.0
58,0.045710158,14.0
23,0.04360847,15.0
29,0.035130453,16.0
25,0.0321,17.0
74,0.025772376,18.0
238,0.023958619,19.0
77,0.016858486,20.0
5,0.015600271,21.0
55,0.015026416,22.0
62,0.013035643,23.0
125,0.012634379,24.0
153,0.011858445,25.0
127,0.011554233,26.0
69,0.008739048,27.0
38,0.008147586,28.0
61,0.007696425,29.0
54,0.0075227,30.0
78,0.007349296,31.0
48,0.007291475,32.0
208,0.007209817,33.0
214,0.007199366,34.0
56,0.007148386,35.0
135,0.006146269,36.0
175,0.006072178,37.0
329,0.006051451,38.0
183,0.006049095,39.0
187,0.006042296,40.0
126,0.005911981,41.0
35,0.005796942,42.0
130,0.005175563,43.0
51,0.004329377,44.0
67,0.004123677,45.0
52,0.004051439,46.0
50,0.003156705,47.0
131,0.003153147,48.0
79,0.003064376,49.0
182,0.00297153,50.0
124,0.002964976,51.0
121,0.002684611,52.0
64,0.002541583,53.0
134,0.002518792,54.0
33,0.002404431,55.0
76,0.002389167,56.0
53,0.002259516,57.0
138,0.001986134,58.0
180,0.001903095,59.0
136,0.001856891,60.0
206,0.001778569,61.0
211,0.001450616,62.0
60,0.001404811,63.0
194,0.001365177,64.0
204,0.001306564,65.0
47,0.001298478,66.0
133,0.001263178,67.0
201,0.00124154,68.0
181,0.001180415,69.0
207,0.001052169,70.0
149,0.00104232,71.0
203,0.001005817,72.0
105,0.000999579,73.0
101,0.000999579,73.0
12,0.000960784,74.0
151,0.000894838,75.0
205,0.000872133,76.0
71,0.000870091,77.0
106,0.000856609,78.0
128,0.000841342,79.0
66,0.00081607,80.0
3,0.000759644,81.0
193,0.000688827,82.0
108,0.000674503,83.0
173,0.000584813,84.0
229,0.000583123,85.0
44,0.000526141,86.0
111,0.000506561,87.0
196,0.000503575,88.0
72,0.000486869,89.0
65,0.000481971,90.0
137,0.000463111,91.0
191,0.000429435,92.0
197,0.000388421,93.0
244,0.000385389,94.0
145,0.000363808,95.0
119,0.000332413,96.0
265,0.000327196,97.0
96,0.000324295,98.0
107,0.00031792,99.0
112,0.000301522,100.0
213,0.000253175,101.0
34,0.000227044,102.0
46,0.000219841,103.0
70,0.000215571,104.0
199,0.000213031,105.0
147,0.000211683,106.0
118,0.000208684,107.0
116,0.00020491,108.0
45,0.000201765,109.0
320,0.000191704,110.0
291,0.000187128,111.0
190,0.0001847,112.0
120,0.000165909,113.0
59,0.000164927,114.0
163,0.000163209,115.0
117,0.000163167,116.0
132,0.000163071,117.0
210,0.000161627,118.0
177,0.000161117,119.0
209,0.000159011,120.0
100,0.000137103,121.0
294,0.000130004,122.0
287,0.000126921,123.0
129,0.000122732,124.0
94,0.000112875,125.0
155,0.000106049,126.0
167,0.000104082,127.0
144,9.4e-05,128.0
179,8.88e-05,129.0
162,7.16e-05,130.0
115,7.12e-05,131.0
43,6.86e-05,132.0
288,6.61e-05,133.0
123,6.58e-05,134.0
227,6.37e-05,135.0
113,6.26e-05,136.0
142,5.93e-05,137.0
195,5.9e-05,138.0
286,5.11e-05,139.0
166,4.88e-05,140.0
302,4.83e-05,141.0
31,4.7e-05,142.0
266,4.6e-05,143.0
307,4e-05,144.0
200,3.8e-05,145.0
95,3.66e-05,146.0
251,3.52e-05,147.0
42,3.42e-05,148.0
104,3.22e-05,149.0
146,3e-05,150.0
41,2.98e-05,151.0
192,2.98e-05,151.0
160,2.9e-05,152.0
325,2.44e-05,153.0
39,2.2e-05,154.0
202,2.15e-05,155.0
228,1.93e-05,156.0
143,1.74e-05,157.0
156,1.53e-05,158.0
152,1.42e-05,159.0
157,1.34e-05,160.0
295,1.24e-05,161.0
92,1.22e-05,162.0
40,1.22e-05,162.0
185,1.11e-05,163.0
216,9.15e-06,164.0
252,9.15e-06,164.0
22,9.15e-06,164.0
20,9.15e-06,164.0
19,9.15e-06,164.0
139,9.07e-06,165.0
188,8.34e-06,166.0
249,8.08e-06,167.0
168,7.63e-06,168.0
176,7.63e-06,168.0
150,7.6e-06,169.0
198,7.29e-06,170.0
81,6.1e-06,171.0
80,6.1e-06,171.0
158,6.1e-06,171.0
245,6.1e-06,171.0
235,6.1e-06,171.0
239,6.1e-06,171.0
253,5.53e-06,172.0
141,5.45e-06,173.0
93,4.58e-06,174.0
159,4.06e-06,175.0
161,3.05e-06,176.0
224,3.05e-06,176.0
122,2.91e-06,177.0
154,2.86e-06,178.0
241,2.62e-06,179.0
114,2.44e-06,180.0
285,2.29e-06,181.0
248,2.29e-06,181.0
282,3.98e-07,182.0
272,0.0,183.0
271,0.0,183.0
277,0.0,183.0
260,0.0,183.0
276,0.0,183.0
261,0.0,183.0
275,0.0,183.0
262,0.0,183.0
263,0.0,183.0
264,0.0,183.0
327,0.0,183.0
331,0.0,183.0
330,0.0,183.0
274,0.0,183.0
279,0.0,183.0
273,0.0,183.0
267,0.0,183.0
328,0.0,183.0
268,0.0,183.0
269,0.0,183.0
270,0.0,183.0
278,0.0,183.0
258,0.0,183.0
280,0.0,183.0
281,0.0,183.0
290,0.0,183.0
309,0.0,183.0
308,0.0,183.0
292,0.0,183.0
293,0.0,183.0
296,0.0,183.0
297,0.0,183.0
306,0.0,183.0
305,0.0,183.0
298,0.0,183.0
304,0.0,183.0
303,0.0,183.0
299,0.0,183.0
301,0.0,183.0
300,0.0,183.0
310,0.0,183.0
311,0.0,183.0
289,0.0,183.0
321,0.0,183.0
283,0.0,183.0
284,0.0,183.0
326,0.0,183.0
324,0.0,183.0
323,0.0,183.0
322,0.0,183.0
319,0.0,183.0
312,0.0,183.0
318,0.0,183.0
317,0.0,183.0
316,0.0,183.0
315,0.0,183.0
314,0.0,183.0
313,0.0,183.0
259,0.0,183.0
1,0.0,183.0
257,0.0,183.0
84,0.0,183.0
86,0.0,183.0
87,0.0,183.0
88,0.0,183.0
89,0.0,183.0
90,0.0,183.0
91,0.0,183.0
97,0.0,183.0
98,0.0,183.0
99,0.0,183.0
102,0.0,183.0
103,0.0,183.0
109,0.0,183.0
110,0.0,183.0
140,0.0,183.0
148,0.0,183.0
85,0.0,183.0
83,0.0,183.0
165,0.0,183.0
82,0.0,183.0
7,0.0,183.0
8,0.0,183.0
9,0.0,183.0
10,0.0,183.0
13,0.0,183.0
14,0.0,183.0
15,0.0,183.0
16,0.0,183.0
17,0.0,183.0
18,0.0,183.0
21,0.0,183.0
32,0.0,183.0
36,0.0,183.0
37,0.0,183.0
49,0.0,183.0
164,0.0,183.0
2,0.0,183.0
256,0.0,183.0
225,0.0,183.0
230,0.0,183.0
231,0.0,183.0
232,0.0,183.0
233,0.0,183.0
234,0.0,183.0
236,0.0,183.0
237,0.0,183.0
240,0.0,183.0
242,0.0,183.0
243,0.0,183.0
246,0.0,183.0
247,0.0,183.0
250,0.0,183.0
254,0.0,183.0
255,0.0,183.0
226,0.0,183.0
223,0.0,183.0
169,0.0,183.0
222,0.0,183.0
170,0.0,183.0
171,0.0,183.0
172,0.0,183.0
174,0.0,183.0
178,0.0,183.0
184,0.0,183.0
186,0.0,183.0
189,0.0,183.0
212,0.0,183.0
215,0.0,183.0
217,0.0,183.0
218,0.0,183.0
219,0.0,183.0
220,0.0,183.0
221,0.0,183.0
332,0.0,183.0
