Node,Relative Closeness,Rank
504,0.7799341304384765,1.0
363,0.7082270056988895,2.0
219,0.6765666576636868,3.0
1155,0.6646639986831366,4.0
419,0.6644062726060324,5.0
1343,0.637652436929668,6.0
658,0.600171144009001,7.0
433,0.5979992738556666,8.0
412,0.5840519456305389,9.0
1167,0.5736267218806101,10.0
537,0.5687689382681859,11.0
431,0.5535802984255267,12.0
1292,0.5416299058495875,13.0
561,0.5328750144814196,14.0
610,0.5184700153062466,15.0
512,0.5148172400249644,16.0
541,0.5131925169782192,17.0
189,0.5037953837150405,18.0
1151,0.4993662548332162,19.0
754,0.49281285389805823,20.0
327,0.49178909223264566,21.0
1234,0.48862720467643794,22.0
1360,0.4854420548307387,23.0
470,0.4828958503074006,24.0
109,0.46711113536742455,25.0
666,0.4667250841815935,26.0
82,0.4664059879419149,27.0
545,0.4553009244122843,28.0
534,0.4530185112472784,29.0
1312,0.45114817181531053,30.0
729,0.4444513852100291,31.0
1131,0.44438862218724035,32.0
62,0.4378289470199503,33.0
435,0.4341220938192244,34.0
346,0.4337599010159073,35.0
121,0.43280144337642745,36.0
357,0.43182761597698965,37.0
244,0.4304436162456975,38.0
1340,0.42523468883690185,39.0
1174,0.4244912406320764,40.0
104,0.41804185120577897,41.0
1173,0.4133200830112471,42.0
608,0.41142317570451703,43.0
311,0.40974814221333145,44.0
359,0.4097265898771884,45.0
574,0.40778405995797523,46.0
1105,0.4069313292282734,47.0
689,0.4057684542534092,48.0
502,0.4014899463313259,49.0
106,0.4005340637660941,50.0
1192,0.3996115701083005,51.0
161,0.39820892681371556,52.0
498,0.39741907655077235,53.0
748,0.39732371791626203,54.0
675,0.3968596377541061,55.0
544,0.395803904275964,56.0
462,0.3945425318483888,57.0
232,0.39282432020886426,58.0
615,0.3918828920004134,59.0
230,0.39188224707011793,60.0
456,0.3918454437333446,61.0
86,0.39161523891153927,62.0
719,0.3883854369167939,63.0
681,0.38378109976616576,64.0
55,0.38090949558615683,65.0
188,0.37753347826936495,66.0
746,0.3735518326227677,67.0
100,0.3731309083130291,68.0
236,0.3708117846103659,69.0
540,0.36921364116299205,70.0
425,0.3668144582050875,71.0
235,0.36668110098758133,72.0
1121,0.36297177913377787,73.0
1331,0.3614296943184773,74.0
1289,0.3614231446754364,75.0
718,0.36119454928993844,76.0
240,0.36063421916260807,77.0
677,0.3601999154415271,78.0
260,0.358556158762516,79.0
505,0.35831885208600633,80.0
616,0.3536148569894544,81.0
356,0.35233579826648365,82.0
506,0.3512298641159225,83.0
197,0.35081000590838385,84.0
678,0.34686675616827095,85.0
107,0.3467140737668497,86.0
1150,0.3462994037945335,87.0
251,0.3446047266490514,88.0
92,0.34147294768474346,89.0
626,0.33723203343480457,90.0
1185,0.3359136047433385,91.0
501,0.33413575291924,92.0
243,0.3331588043395881,93.0
499,0.3329504841459389,94.0
1290,0.33280568464741683,95.0
1339,0.3325836008863517,96.0
138,0.3310611146987186,97.0
151,0.33095622079505016,98.0
518,0.3293573594963986,99.0
659,0.32935157693877803,100.0
1293,0.32745913093713824,101.0
1200,0.3269569827113861,102.0
252,0.3264625145311819,103.0
716,0.32637032339847655,104.0
625,0.32627382963148194,105.0
1095,0.32520665957355466,106.0
1166,0.3246412782383168,107.0
871,0.32454483137655393,108.0
1198,0.3245274792466488,109.0
482,0.32234842933750674,110.0
1186,0.3220062153506882,111.0
1135,0.3219668000279611,112.0
624,0.3217977428055599,113.0
134,0.32179593286967445,114.0
674,0.3200463064683976,115.0
684,0.31961270538492587,116.0
