feature,score,rank
LGC Scores,0.0016626036212966655,1
Local Gravity Model Centrality,0.002227701007067484,2
HVGc Index,0.002545972551505904,3
H Values,0.0025755125542040735,4
Subgraph centrality,0.002665786380324775,5
Density Centrality,0.0028906998938410533,6
MCGM Values,0.003295971465885783,7
Gravity Model Centrality,0.0036791180514982313,8
GGC Values,0.004188539662416169,9
Laplacian Centrality,0.004525360751816976,10
Local-Global Centrality,0.005485006126618064,11
EIGSM Values,0.005514247407527484,12
DIL Centrality,0.00597498048943268,13
MDD Value,0.0069293053397989635,14
Degree Centrality,0.007577127004395168,15
Extended Coreness,0.007752341211114788,16
Extended Degree,0.008052440813145822,17
Improved Gravity Index Values,0.008080326557024842,18
Gravity Index Centrality,0.008177138053269806,19
Societal Capital Scores,0.008437730192916715,20
CLC Values,0.008678953802913503,21
Semi local centrality,0.009099110697827761,22
Centrality Values,0.00914527275178778,23
Coreness Centrality,0.009519567349489999,24
Constraint Coefficients,0.009625235711930635,25
Extended Improved Gravity Index Values,0.009868078762426236,26
EHCC Value,0.010268917317132531,27
PE Values,0.010282589010244592,28
Global Relative Change in Avg Degree,0.010855802217403565,29
I-GSM Values,0.011623807337725167,30
Betweenness Centrality,0.012761098049024366,31
DNC Scores,0.012872332945002452,32
Second order centrality,0.014174775194259026,33
Clustered Local Degree,0.014446186895630264,34
HCC Value,0.014880924433531617,35
PageRank Centrality,0.01618074293780447,36
Clustering Coefficient,0.016941774868893367,37
H-GSM_1,0.01710804625271589,38
K-Shell Value,0.017941041479366482,39
GIN Values,0.019286388269022403,40
Node H-Index,0.019319483645861668,41
GSM,0.019522279198961545,42
P Value,0.020621609944001307,43
Volume Centrality,0.023614231483076842,44
Isolating Centrality,0.02437987477756509,45
Eigenvector Centrality,0.029416246054241424,46
Closeness Centrality,0.03162168177966307,47
Leverage Centrality,0.03289052726245745,48
Eccentricity Centrality,0.04397878428421176,49
Global Relative Change in Avg Clustering,0.07022722820710159,50
