Top_Nodes,Degree_Centrality,Betweenness_Centrality,PageRank_Centrality,Closeness_Centrality,Eigenvector_Centrality
5,0.3333333333333333,0.1111111111111111,0.25,0.1111111111111111,0.2222222222222222
10,0.07518796992481203,0.17647058823529413,0.25,0.3333333333333333,0.16666666666666666
15,0.013181019332161687,0.1111111111111111,0.15384615384615385,0.36363636363636365,0.10344827586206896
20,0.01757469244288225,0.14285714285714285,0.1111111111111111,0.3793103448275862,0.07692307692307693
25,0.021968365553602813,0.19047619047619047,0.16279069767441862,0.3888888888888889,0.06
30,0.027240773286467488,0.17307692307692307,0.17307692307692307,0.3333333333333333,0.06666666666666667
35,0.03163444639718805,0.18333333333333332,0.18333333333333332,0.36363636363636365,0.05714285714285714
40,0.03602811950790861,0.19117647058823528,0.208955223880597,0.35384615384615387,0.09090909090909091
45,0.04130052724077329,0.21052631578947367,0.21052631578947367,0.3561643835616438,0.09090909090909091
50,0.04657293497363796,0.25609756097560976,0.24096385542168675,0.36585365853658536,0.09183673469387756
55,0.050966608084358524,0.24175824175824176,0.25555555555555554,0.35789473684210527,0.102803738317757
60,0.05536028119507909,0.24242424242424243,0.28125,0.35398230088495575,0.09401709401709402
65,0.05975395430579965,0.25471698113207547,0.27884615384615385,0.36363636363636365,0.09448818897637795
70,0.06502636203866433,0.2631578947368421,0.2631578947368421,0.3533834586466165,0.10294117647058823
75,0.06942003514938488,0.26229508196721313,0.26229508196721313,0.3402777777777778,0.09523809523809523
80,0.07381370826010544,0.30158730158730157,0.28125,0.34210526315789475,0.09615384615384616
