Starting Node,Average Spreading Ability,Rank
422,24.51,1.0
372,21.53,2.0
452,20.73,3.0
176,20.15,4.0
367,20.13,5.0
449,20.02,6.0
371,19.79,7.0
148,19.76,8.0
398,19.75,9.0
604,19.63,10.0
450,18.98,11.0
467,18.92,12.0
150,18.8,13.0
628,18.72,14.0
78,18.62,15.0
240,18.11,16.0
273,18.08,17.0
660,18.04,18.0
289,17.48,19.0
330,17.42,20.0
287,17.22,21.0
603,16.89,22.0
534,16.87,23.0
326,16.82,24.0
443,16.8,25.0
315,16.7,26.0
262,16.7,26.0
602,16.64,27.0
662,16.4,28.0
470,16.28,29.0
145,16.16,30.0
186,16.04,31.0
243,16.03,32.0
241,15.98,33.0
629,15.69,34.0
630,15.52,35.0
427,15.51,36.0
431,15.26,37.0
453,15.12,38.0
531,15.09,39.0
366,15.01,40.0
178,14.94,41.0
344,14.65,42.0
174,14.59,43.0
325,14.55,44.0
275,14.47,45.0
69,14.41,46.0
244,14.33,47.0
272,14.28,48.0
535,14.18,49.0
451,14.14,50.0
114,14.07,51.0
290,13.77,52.0
322,13.65,53.0
500,13.62,54.0
448,13.61,55.0
454,13.47,56.0
552,13.4,57.0
426,13.39,58.0
395,13.37,59.0
496,13.29,60.0
442,13.24,61.0
15,13.21,62.0
342,13.17,63.0
425,13.15,64.0
515,13.01,65.0
597,12.92,66.0
73,12.84,67.0
260,12.79,68.0
185,12.78,69.0
536,12.76,70.0
601,12.68,71.0
607,12.49,72.0
433,12.48,73.0
370,12.45,74.0
361,12.45,74.0
532,12.39,75.0
261,12.28,76.0
149,12.24,77.0
379,12.22,78.0
249,12.18,79.0
606,12.17,80.0
510,12.13,81.0
106,12.11,82.0
20,11.99,83.0
162,11.96,84.0
349,11.94,85.0
360,11.92,86.0
463,11.9,87.0
475,11.85,88.0
394,11.82,89.0
393,11.75,90.0
307,11.66,91.0
324,11.64,92.0
177,11.63,93.0
400,11.6,94.0
382,11.51,95.0
583,11.49,96.0
274,11.48,97.0
466,11.46,98.0
424,11.42,99.0
503,11.38,100.0
430,11.37,101.0
612,11.34,102.0
384,11.23,103.0
622,11.21,104.0
439,11.17,105.0
327,11.16,106.0
610,11.16,106.0
501,11.12,107.0
528,11.06,108.0
614,11.02,109.0
474,10.98,110.0
619,10.88,111.0
582,10.85,112.0
465,10.85,112.0
418,10.84,113.0
134,10.84,113.0
187,10.75,114.0
566,10.71,115.0
397,10.69,116.0
460,10.61,117.0
128,10.6,118.0
529,10.53,119.0
329,10.51,120.0
184,10.51,120.0
331,10.5,121.0
151,10.5,121.0
343,10.48,122.0
211,10.45,123.0
611,10.45,123.0
435,10.39,124.0
608,10.32,125.0
319,10.2,126.0
444,10.17,127.0
445,10.17,127.0
623,10.13,128.0
194,10.08,129.0
254,9.98,130.0
281,9.98,130.0
526,9.95,131.0
340,9.93,132.0
