Starting Node,Average Spreading Ability
1,2.2
2,2.33
3,1.47
4,2.16
5,2.97
6,2.82
7,2.49
8,1.92
9,2.07
10,2.33
11,1.99
12,1.46
13,2.25
14,3.24
15,2.81
16,3.17
17,2.17
18,2.55
19,2.82
20,2.25
21,2.22
22,2.05
23,2.92
24,2.31
25,4.28
26,4.02
27,4.03
28,4.08
29,3.9
30,4.2
31,3.96
32,2.17
33,2.35
34,1.74
35,2.28
36,2.01
37,2.86
38,2.59
39,2.2
40,2.82
41,3.07
42,1.73
43,2.83
44,2.68
45,1.94
46,4.39
47,6.49
48,9.13
49,2.08
50,2.61
51,4.12
52,7.23
53,4.74
54,2.16
55,2.47
56,2.32
57,2.13
58,2.93
59,3.03
60,2.88
61,2.99
62,3.81
63,3.29
64,3.72
65,3.66
66,3.84
67,2.14
68,1.8
69,2.33
70,2.85
71,2.49
72,4.04
73,3.4
74,2.45
75,2.88
76,2.02
77,3.12
78,2.13
79,2.16
80,2.12
81,1.92
82,2.15
83,1.61
84,1.93
85,2.11
86,2.21
87,2.98
88,2.53
89,3.02
90,2.34
91,2.55
92,3.66
93,1.81
94,2.02
95,1.92
96,3.18
97,2.96
98,2.12
99,1.94
100,1.77
101,1.51
102,1.4
103,2.25
104,1.58
105,2.83
106,1.53
107,5.41
108,2.87
109,2.68
110,2.12
111,3.72
112,1.8
113,3.14
114,1.99
115,2.69
116,2.3
117,3.63
118,2.85
119,4.46
120,4.87
121,3.36
122,3.5
123,3.0
124,3.4
125,2.53
126,3.7
127,4.0
128,3.32
129,6.73
130,3.51
131,2.89
132,5.59
133,5.53
134,5.73
135,9.16
136,3.24
137,3.01
138,3.67
139,1.68
140,3.98
141,7.07
142,5.06
143,3.42
144,3.68
145,4.99
146,4.23
147,5.54
148,5.2
149,4.66
150,5.45
151,3.72
152,4.48
153,5.49
154,4.04
155,4.96
156,4.03
157,3.82
158,5.29
159,3.73
160,3.71
161,2.87
162,6.14
163,3.39
164,4.16
165,3.89
166,4.87
167,4.46
168,3.1
169,2.84
170,2.9
171,3.17
172,3.55
173,4.04
174,4.67
175,3.79
176,7.49
177,8.75
178,4.46
179,6.06
180,5.92
181,4.87
182,5.2
183,3.64
184,2.7
185,6.48
186,10.39
187,2.64
188,2.68
189,2.65
190,5.63
191,5.77
192,4.74
193,4.3
194,4.08
195,4.72
196,2.43
197,6.38
198,7.47
199,4.84
200,9.19
201,6.25
202,8.2
203,11.1
204,4.99
205,10.37
206,9.78
207,7.0
208,4.96
209,8.46
210,5.43
211,3.03
212,8.09
213,4.26
214,3.04
215,6.16
216,6.86
217,5.94
218,7.48
219,7.03
220,2.4
221,3.28
222,2.49
223,1.76
224,1.69
225,2.09
226,2.12
227,1.95
228,1.93
229,2.75
230,2.17
231,2.49
232,1.43
233,2.36
234,3.34
235,3.19
236,2.76
237,5.42
238,2.23
239,2.42
240,3.3
241,4.6
242,1.93
243,3.62
244,4.4
245,3.97
246,4.52
247,2.53
248,1.44
249,10.79
250,1.88
251,4.84
252,9.64
253,11.7
254,11.08
255,6.73
256,13.49
257,4.7
258,2.37
259,4.11
260,2.88
261,1.4
262,2.7
263,3.28
264,2.33
265,6.67
266,3.32
267,1.71
268,2.1
269,5.52
270,2.86
271,2.49
272,2.08
273,2.49
274,2.58
275,2.46
276,3.1
277,2.88
278,3.4
279,5.06
280,3.58
281,1.65
282,2.76
283,3.01
284,3.99
285,2.87
286,2.91
287,2.79
288,6.75
289,5.73
290,5.68
291,5.99
292,5.68
293,3.81
294,3.31
295,5.42
296,6.09
297,4.52
298,5.98
299,4.7
300,3.12
301,2.76
302,5.85
303,5.69
304,4.89
305,5.49
306,5.14
307,2.4
308,3.18
309,2.8
310,2.21
311,3.71
312,2.25
313,3.23
314,2.5
315,3.91
316,2.92
317,3.15
318,2.68
319,2.39
320,1.83
321,10.81
322,7.03
323,7.58
324,6.81
325,6.83
326,9.87
327,7.23
328,9.87
329,12.72
330,5.39
331,5.52
332,4.6
333,6.78
334,11.06
335,8.33
336,10.01
337,2.69
338,8.36
339,9.52
340,7.34
341,9.89
342,10.1
343,9.15
344,4.29
345,5.33
346,4.64
347,5.48
348,3.22
349,8.92
350,10.38
351,4.05
352,3.42
353,3.57
354,5.39
355,2.14
356,1.47
357,3.18
358,2.25
359,1.67
360,3.3
361,2.9
362,2.81
363,2.9
364,15.27
365,7.49
366,7.51
367,6.87
368,9.84
369,8.55
370,9.62
371,9.04
372,11.52
373,10.69
374,6.62
375,9.82
376,9.45
377,6.87
378,6.19
379,5.03
380,4.91
381,4.09
382,4.65
383,8.58
384,9.67
385,6.06
386,8.15
387,8.02
388,9.67
389,5.89
390,6.28
391,3.11
392,3.22
393,9.49
394,9.41
395,4.37
396,11.12
397,4.32
398,6.32
399,3.4
400,3.88
401,3.68
402,2.64
403,4.22
404,3.5
405,3.27
406,2.33
407,2.48
408,2.84
409,4.2
410,4.89
411,4.74
412,2.2
413,3.99
414,1.72
415,4.02
416,2.33
417,4.33
418,4.07
419,4.36
420,4.05
421,2.94
422,4.36
423,5.82
424,4.04
425,2.78
426,2.74
427,3.18
428,3.01
429,2.86
430,6.3
431,3.7
432,4.03
433,2.25
434,3.63
435,3.38
436,2.67
437,2.1
438,5.81
439,5.55
440,10.44
441,9.66
442,4.65
443,2.85
444,4.68
445,3.3
446,1.8
447,1.63
448,2.88
449,3.94
450,5.89
451,5.13
452,3.53
453,4.21
454,7.89
455,7.17
456,3.88
457,5.26
458,3.58
459,11.48
460,5.82
461,3.5
462,7.49
463,8.4
464,1.81
465,2.97
466,4.59
467,6.41
468,4.96
469,2.6
470,3.74
471,5.38
472,6.01
473,2.78
474,5.97
475,2.44
476,6.77
477,2.37
478,5.09
479,3.57
480,2.78
481,4.8
482,4.49
483,3.43
484,3.85
485,3.3
486,2.44
487,3.37
488,1.65
489,1.77
490,1.22
491,2.56
492,2.73
493,3.61
494,2.22
495,3.1
496,3.84
497,3.53
498,2.69
499,4.47
500,4.59
501,2.66
502,3.72
503,4.74
504,4.38
505,3.84
506,3.48
507,3.34
508,3.77
509,5.25
510,5.94
511,2.24
512,5.99
513,7.38
514,3.59
515,6.54
516,2.37
517,2.47
518,1.99
519,2.61
520,3.49
521,3.55
522,2.7
523,2.44
524,2.77
525,5.2
526,3.18
527,2.37
528,2.25
529,2.55
530,2.38
531,3.38
532,4.35
533,3.89
534,2.56
535,2.35
536,2.13
537,2.18
538,4.41
539,2.7
540,2.84
541,2.94
542,2.41
543,2.13
544,3.49
545,1.76
546,4.51
547,2.35
548,2.46
549,2.87
550,2.93
551,4.15
552,3.45
553,2.47
554,3.38
555,3.77
556,3.05
557,2.09
558,4.9
559,3.39
560,2.18
561,2.46
562,3.6
563,3.16
564,2.09
565,6.06
566,4.28
567,5.09
568,5.08
569,4.33
570,2.78
571,4.32
572,3.33
573,4.25
574,2.87
575,2.59
576,2.68
577,2.97
578,2.41
579,3.31
580,4.47
581,3.54
582,2.71
583,3.37
584,4.33
585,2.27
586,1.72
587,2.4
588,3.26
589,2.79
590,1.76
591,3.05
592,2.25
593,2.51
594,2.26
595,2.07
596,1.58
597,1.52
598,3.89
599,6.07
600,2.84
601,3.19
602,4.23
603,5.64
604,3.76
605,3.31
606,4.24
607,4.5
608,5.45
609,3.36
610,7.19
611,4.03
612,4.54
613,5.55
614,3.32
615,6.27
616,4.27
617,3.75
618,3.89
619,3.42
620,4.39
621,3.37
622,4.52
623,4.04
624,3.42
625,3.99
626,3.97
627,4.57
628,4.28
629,3.07
630,3.69
631,5.02
632,3.78
633,3.28
634,2.98
635,2.56
636,3.09
637,3.61
638,3.14
639,3.19
640,3.0
641,3.05
642,2.54
643,3.41
644,3.24
645,4.26
646,3.17
647,3.34
648,1.94
649,2.15
650,4.39
651,5.07
652,4.25
653,1.76
654,2.79
655,2.4
656,3.62
657,4.51
658,3.04
659,2.65
660,2.97
661,2.61
662,2.42
663,5.59
664,3.48
665,3.06
666,2.98
667,2.3
668,2.98
669,2.29
670,1.61
671,4.12
672,3.65
673,3.94
674,4.02
675,2.73
676,2.86
677,2.69
678,3.66
679,3.25
680,2.68
681,2.11
682,3.39
683,2.15
684,1.83
685,2.26
