Starting Node,Average Spreading Ability
6,18.73
1,14.31
8,18.89
45,16.61
54,20.38
89,15.01
76,6.52
85,5.92
28,12.19
38,13.68
39,7.4
42,7.02
72,18.72
9,13.42
10,8.0
19,10.17
29,11.26
36,8.99
37,7.61
47,8.61
51,15.48
61,13.67
67,8.81
92,8.34
93,17.09
56,15.36
2,5.09
11,8.52
52,6.38
80,7.25
90,6.86
75,7.6
3,3.4
13,4.19
66,4.81
4,3.36
16,4.8
5,9.12
17,4.04
20,5.54
40,8.87
59,4.47
15,7.56
34,7.44
48,8.4
31,8.12
35,5.98
43,9.73
58,8.72
74,11.75
79,6.03
83,7.09
26,5.93
46,6.47
64,8.65
82,5.5
84,6.56
86,5.77
7,7.89
95,10.04
25,6.41
32,5.09
78,6.41
50,4.55
44,7.8
62,8.64
69,7.98
63,3.89
94,3.31
12,4.14
21,4.27
33,5.03
24,2.11
41,4.01
14,2.93
81,4.71
88,2.46
77,2.05
96,1.9
18,3.24
53,7.55
22,4.72
27,3.48
57,2.52
70,3.02
65,4.12
68,6.25
91,1.97
23,6.86
30,2.87
55,3.59
60,4.81
71,3.9
73,3.68
87,3.34
49,1.91
