Starting Node,Average Spreading Ability,Rank
158,21.59,1.0
693,17.23,2.0
77,16.91,3.0
358,16.84,4.0
623,16.77,5.0
137,15.76,6.0
351,14.91,7.0
521,14.85,8.0
735,14.42,9.0
520,13.99,10.0
657,13.68,11.0
686,12.93,12.0
397,11.42,13.0
169,11.28,14.0
728,11.0,15.0
639,10.45,16.0
10,10.4,17.0
180,10.1,18.0
761,9.98,19.0
228,9.86,20.0
512,9.82,21.0
536,9.75,22.0
252,9.47,23.0
461,9.2,24.0
229,9.11,25.0
393,9.0,26.0
587,8.29,27.0
568,8.19,28.0
238,8.19,28.0
493,8.15,29.0
478,7.96,30.0
419,7.58,31.0
567,7.48,32.0
139,7.48,32.0
707,7.42,33.0
7,7.4,34.0
141,7.39,35.0
547,7.37,36.0
377,7.22,37.0
651,7.16,38.0
67,7.06,39.0
171,7.06,39.0
661,6.99,40.0
435,6.99,40.0
514,6.98,41.0
22,6.96,42.0
505,6.9,43.0
124,6.84,44.0
708,6.79,45.0
538,6.66,46.0
181,6.58,47.0
472,6.54,48.0
485,6.54,48.0
159,6.52,49.0
138,6.5,50.0
537,6.13,51.0
383,6.12,52.0
110,5.97,53.0
673,5.96,54.0
620,5.93,55.0
586,5.87,56.0
50,5.82,57.0
99,5.8,58.0
255,5.69,59.0
458,5.67,60.0
72,5.65,61.0
440,5.6,62.0
149,5.51,63.0
302,5.5,64.0
759,5.49,65.0
157,5.33,66.0
599,5.31,67.0
129,5.3,68.0
551,5.27,69.0
30,5.23,70.0
243,5.19,71.0
409,5.18,72.0
288,5.16,73.0
168,5.14,74.0
154,5.09,75.0
340,5.03,76.0
286,5.03,76.0
220,5.02,77.0
90,5.01,78.0
441,4.95,79.0
606,4.94,80.0
741,4.8,81.0
142,4.72,82.0
98,4.66,83.0
300,4.62,84.0
280,4.62,84.0
219,4.62,84.0
378,4.61,85.0
192,4.61,85.0
132,4.52,86.0
549,4.5,87.0
45,4.48,88.0
557,4.45,89.0
515,4.41,90.0
645,4.4,91.0
618,4.39,92.0
278,4.38,93.0
156,4.36,94.0
253,4.34,95.0
420,4.31,96.0
172,4.29,97.0
560,4.27,98.0
184,4.25,99.0
696,4.24,100.0
223,4.23,101.0
63,4.21,102.0
477,4.21,102.0
711,4.19,103.0
402,4.18,104.0
144,4.18,104.0
15,4.11,105.0
295,4.08,106.0
676,4.06,107.0
689,4.05,108.0
654,4.02,109.0
241,4.0,110.0
200,4.0,110.0
275,4.0,110.0
408,3.96,111.0
91,3.96,111.0
336,3.96,111.0
57,3.92,112.0
702,3.91,113.0
367,3.91,113.0
273,3.91,113.0
669,3.9,114.0
539,3.9,114.0
438,3.84,115.0
39,3.82,116.0
131,3.81,117.0
376,3.8,118.0
297,3.79,119.0
384,3.78,120.0
20,3.78,120.0
590,3.77,121.0
362,3.77,121.0
74,3.77,121.0
571,3.75,122.0
3,3.75,122.0
330,3.75,122.0
459,3.73,123.0
705,3.73,123.0
370,3.7,124.0
58,3.69,125.0
151,3.69,125.0
14,3.69,125.0
268,3.67,126.0
284,3.66,127.0
663,3.66,127.0
754,3.66,127.0
684,3.65,128.0
589,3.65,128.0
31,3.65,128.0
108,3.64,129.0
86,3.64,129.0
349,3.63,130.0
750,3.63,130.0
196,3.63,130.0
359,3.6,131.0
221,3.6,131.0
566,3.6,131.0
134,3.59,132.0
93,3.58,133.0
155,3.58,133.0
71,3.57,134.0
561,3.55,135.0
122,3.55,135.0
289,3.54,136.0
40,3.54,136.0
540,3.52,137.0
388,3.52,137.0
701,3.5,138.0
135,3.5,138.0
525,3.47,139.0
78,3.47,139.0
403,3.45,140.0
341,3.45,140.0
51,3.45,140.0
245,3.45,140.0
555,3.44,141.0
120,3.44,141.0
334,3.42,142.0
572,3.41,143.0
503,3.39,144.0
42,3.39,144.0
410,3.38,145.0
473,3.37,146.0
54,3.36,147.0
600,3.31,148.0
304,3.3,149.0
544,3.29,150.0
591,3.29,150.0
179,3.29,150.0
449,3.29,150.0
25,3.26,151.0
329,3.25,152.0
516,3.24,153.0
508,3.24,153.0
161,3.24,153.0
497,3.22,154.0
518,3.2,155.0
430,3.17,156.0
584,3.16,157.0
105,3.15,158.0
264,3.13,159.0
249,3.08,160.0
136,3.08,160.0
755,3.07,161.0
665,3.06,162.0
703,3.05,163.0
291,3.03,164.0
37,3.03,164.0
610,3.02,165.0
509,3.02,165.0
259,3.0,166.0
674,3.0,166.0
326,2.95,167.0
532,2.95,167.0
454,2.93,168.0
239,2.91,169.0
429,2.9,170.0
431,2.89,171.0
194,2.88,172.0
394,2.88,172.0
303,2.87,173.0
111,2.87,173.0
425,2.86,174.0
211,2.85,175.0
543,2.85,175.0
337,2.84,176.0
24,2.84,176.0
80,2.84,176.0
315,2.83,177.0
526,2.81,178.0
613,2.81,178.0
62,2.77,179.0
659,2.76,180.0
270,2.75,181.0
165,2.75,181.0
513,2.7,182.0
294,2.7,182.0
579,2.69,183.0
581,2.68,184.0
46,2.67,185.0
126,2.67,185.0
638,2.64,186.0
