Starting Node,Average Spreading Ability
1,3.45
2,3.41
3,2.77
4,5.07
5,3.01
6,3.04
7,6.89
8,3.77
9,4.81
10,2.93
11,4.17
12,3.87
13,5.94
14,3.52
15,5.89
16,4.67
17,4.55
18,5.27
19,4.38
20,4.76
21,6.19
22,2.31
23,3.24
24,2.97
25,4.13
26,2.9
27,4.84
28,3.33
29,4.06
30,4.06
31,3.26
32,2.99
33,3.36
34,1.53
35,1.96
36,2.45
37,1.73
38,4.13
39,2.81
40,2.08
41,3.32
42,4.06
43,4.14
44,2.24
45,2.32
46,2.93
47,2.2
48,2.64
49,4.97
50,1.55
51,1.81
52,3.88
53,2.59
54,1.97
55,1.95
56,1.28
57,1.22
58,1.54
59,1.7
60,1.79
61,2.07
62,1.68
