Starting Node,Average Spreading Ability
1,1.56
2,1.54
3,1.96
4,1.97
5,1.57
6,1.26
7,1.86
8,1.72
9,1.89
10,2.84
11,2.6
12,2.56
13,2.57
14,2.57
15,2.18
16,1.52
17,2.64
18,2.52
19,2.15
20,2.49
21,2.01
22,1.8
23,2.12
24,4.05
25,3.11
26,3.34
27,2.45
28,3.23
29,3.21
30,3.19
31,2.92
32,2.2
33,1.52
34,1.55
35,1.14
36,1.9
37,3.3
38,1.87
39,3.71
40,2.14
41,1.61
42,1.51
43,1.93
44,1.42
45,1.38
46,1.65
47,1.87
48,3.01
49,1.51
50,1.28
51,2.25
52,2.47
53,1.95
54,1.28
55,2.12
56,1.48
57,2.17
58,1.34
59,1.25
60,1.39
61,1.49
62,2.75
63,2.43
64,1.61
65,1.91
66,1.88
67,2.03
68,1.44
69,1.44
70,1.43
71,1.47
72,1.5
73,1.63
74,2.07
75,1.24
76,1.32
77,2.12
78,1.33
79,2.58
80,1.47
81,1.56
82,1.37
83,1.5
84,1.14
85,1.62
86,1.48
87,1.73
88,1.49
89,2.51
90,1.75
91,1.91
92,1.39
93,2.05
94,1.27
95,2.31
96,1.53
97,2.13
98,1.82
99,2.25
100,2.13
101,1.37
102,1.54
103,1.29
104,2.36
105,2.26
106,1.85
107,2.2
108,2.15
109,2.36
110,1.69
111,1.8
112,1.42
113,1.83
114,1.29
115,2.5
116,1.59
117,1.7
118,1.22
119,1.56
120,1.88
121,1.81
122,1.27
123,3.31
124,2.15
125,3.1
126,3.74
127,3.58
128,2.56
129,1.53
130,3.19
131,1.91
132,2.71
133,1.56
134,1.83
135,2.16
136,3.38
137,1.44
138,1.58
139,1.71
140,3.19
141,1.45
142,2.03
143,1.92
144,2.15
145,2.38
146,1.28
147,1.49
148,2.13
149,2.66
150,1.85
151,2.05
152,1.85
153,1.61
154,2.71
155,2.04
156,1.67
157,1.52
158,1.57
159,2.16
160,2.42
161,2.58
162,2.0
163,1.39
164,1.35
165,2.26
166,2.73
167,2.45
168,3.3
169,1.71
170,3.21
171,1.94
172,2.29
173,2.18
174,1.64
175,3.48
176,1.87
177,2.11
178,1.42
179,2.0
180,1.36
181,1.9
182,1.35
183,2.09
184,2.16
185,1.35
186,2.91
187,3.94
188,1.93
189,1.62
190,2.24
191,1.91
192,2.24
193,1.35
194,1.33
195,5.51
196,1.93
197,2.85
198,3.4
199,1.58
200,1.73
201,3.26
202,1.32
203,2.34
204,4.18
205,1.72
206,1.92
207,2.17
208,1.86
209,2.12
210,1.9
211,1.97
212,1.55
213,1.52
214,2.87
215,2.02
216,1.27
217,1.45
218,1.61
219,1.82
220,1.2
221,1.66
222,2.09
223,1.61
224,3.41
225,1.65
226,4.97
227,2.19
228,2.53
229,2.56
230,2.29
231,1.37
232,2.16
233,1.67
234,2.24
235,2.68
236,1.78
237,1.81
238,2.17
239,5.75
240,1.23
241,2.11
242,6.33
243,2.5
244,3.12
245,2.63
246,1.71
247,2.37
248,2.84
249,4.07
250,3.75
251,2.11
252,3.57
253,2.92
254,2.84
255,2.45
256,2.25
257,2.79
258,3.34
259,2.63
260,2.88
261,2.86
262,2.63
263,2.47
264,2.14
265,1.83
266,1.73
267,2.77
268,2.14
269,2.04
270,1.7
271,1.96
272,2.14
273,1.91
274,3.02
275,1.58
276,1.57
277,1.86
278,1.2
279,1.68
280,2.09
281,2.04
282,1.79
283,1.3
284,2.25
285,1.36
286,3.05
287,1.68
288,2.42
289,2.35
290,2.64
291,1.25
292,1.92
293,1.42
294,1.51
295,1.87
296,1.76
297,1.41
298,3.7
299,1.58
300,1.48
301,1.92
302,1.41
303,1.28
304,1.18
305,3.15
306,2.21
307,2.17
308,2.12
309,1.7
310,2.14
311,1.87
312,2.89
313,1.47
314,1.25
315,1.74
316,1.34
317,2.76
318,1.59
319,2.07
320,2.44
321,1.82
322,1.76
323,2.17
324,1.39
325,2.32
326,2.24
327,1.85
328,2.13
329,1.78
330,1.48
331,1.44
332,1.97
333,1.97
334,1.37
335,1.84
336,3.6
337,2.8
338,1.28
339,1.32
340,2.07
341,1.3
342,1.85
343,2.45
344,1.82
345,1.84
346,2.06
347,1.21
348,1.49
349,1.42
350,2.18
351,2.63
352,1.67
353,1.72
354,1.93
355,1.64
356,1.81
357,2.23
358,1.82
359,1.35
360,1.46
361,1.27
362,2.54
363,2.44
364,1.86
365,2.18
366,2.0
367,1.74
368,1.33
369,1.44
370,2.06
371,1.49
372,1.36
373,1.25
374,1.84
375,1.77
376,1.76
377,1.34
378,1.19
379,1.59
380,2.05
381,2.13
382,2.28
383,1.9
384,2.09
385,1.26
386,1.69
387,1.5
388,1.5
389,1.73
390,2.53
391,1.69
392,1.31
393,1.57
394,1.16
395,1.49
396,1.58
397,2.05
398,2.24
399,1.28
400,1.65
401,1.49
402,1.62
403,1.18
404,1.9
405,1.6
406,2.24
407,1.29
408,2.23
409,2.01
410,1.76
411,1.64
412,1.67
413,1.2
414,1.52
415,2.19
416,2.16
417,1.23
418,1.57
419,1.32
420,1.2
421,1.58
422,1.79
423,1.4
424,1.86
425,2.58
426,1.96
427,1.61
428,2.08
429,2.22
430,1.63
431,2.77
432,1.92
433,1.68
434,1.92
435,1.8
436,2.09
437,1.88
438,1.92
439,1.39
440,1.72
441,1.56
442,1.49
443,1.89
444,2.08
445,1.58
446,1.24
447,1.33
448,2.16
449,1.97
450,1.94
451,1.45
452,1.42
453,1.38
454,1.4
455,1.41
456,1.56
457,1.28
458,2.17
459,1.35
460,1.35
461,1.9
462,1.67
463,2.53
464,1.28
