Starting Node,Average Spreading Ability
1,3.48
2,3.48
3,5.71
4,5.56
5,3.67
6,2.57
7,5.17
8,4.53
9,6.66
10,9.07
11,9.79
12,9.04
13,9.25
14,8.63
15,10.37
16,5.46
17,7.66
18,8.95
19,6.62
20,11.8
21,10.25
22,4.47
23,8.61
24,11.54
25,10.46
26,10.41
27,7.37
28,9.44
29,10.29
30,9.71
31,9.58
32,8.57
33,4.73
34,3.05
35,3.57
36,7.3
37,10.4
38,7.17
39,12.83
40,6.18
41,5.08
42,5.55
43,5.49
44,5.19
45,4.92
46,5.39
47,6.45
48,11.93
49,4.12
50,3.86
51,8.26
52,9.2
53,7.42
54,3.52
55,6.34
56,4.45
57,4.24
58,2.47
59,2.75
60,2.41
61,3.12
62,8.65
63,7.4
64,4.31
65,5.4
66,5.63
67,4.13
68,2.42
69,2.21
70,2.81
71,2.43
72,2.46
73,3.46
74,4.99
75,3.17
76,2.5
77,13.22
78,4.95
79,11.72
80,3.19
81,3.03
82,2.16
83,3.68
84,2.12
85,3.02
86,2.26
87,4.49
88,2.13
89,5.8
90,4.57
91,5.0
92,2.72
93,6.11
94,2.53
95,6.72
96,3.18
97,9.06
98,6.3
99,10.04
100,5.9
101,2.71
102,4.4
103,2.4
104,8.99
105,7.91
106,4.37
107,7.77
108,4.92
109,8.79
110,6.71
111,5.78
112,4.21
113,4.84
114,3.13
115,10.3
116,5.32
117,8.87
118,3.02
119,4.36
120,9.39
121,4.31
122,5.33
123,15.51
124,12.19
125,13.2
126,16.76
127,15.09
128,11.31
129,3.82
130,12.56
131,5.85
132,12.81
133,5.86
134,8.94
135,6.96
136,12.25
137,4.44
138,6.49
139,6.56
140,13.22
141,3.68
142,7.4
143,5.31
144,8.56
145,8.41
146,3.1
147,5.11
148,5.89
149,7.12
150,5.18
151,5.92
152,5.05
153,4.74
154,7.26
155,4.28
156,4.59
157,2.61
158,4.51
159,12.21
160,11.35
161,11.09
162,9.08
163,5.53
164,6.68
165,10.9
166,9.04
167,11.14
168,10.69
169,6.59
170,11.05
171,6.16
172,8.68
173,7.3
174,5.57
175,17.46
176,13.71
177,5.16
178,4.88
179,5.1
180,1.79
181,6.66
182,4.43
183,6.9
184,10.31
185,4.16
186,7.58
187,19.6
188,11.61
189,6.81
190,7.81
191,7.74
192,7.07
193,2.94
194,5.01
195,25.07
196,9.42
197,18.09
198,18.77
199,8.68
200,6.21
201,12.98
202,3.04
203,6.68
204,16.36
205,8.42
206,7.15
207,6.06
208,7.61
209,10.09
210,7.03
211,7.76
212,3.3
213,3.58
214,6.87
215,6.35
216,2.88
217,3.37
218,5.01
219,6.78
220,2.12
221,3.44
222,6.46
223,5.92
224,14.25
225,4.3
226,20.66
227,9.36
228,9.72
229,11.24
230,10.45
231,2.95
232,5.01
233,4.28
234,6.74
235,8.91
236,3.73
237,6.1
238,7.73
239,22.01
240,4.5
241,6.64
242,21.89
243,10.43
244,12.26
245,10.52
246,10.0
247,10.33
248,13.3
249,15.72
250,14.24
251,9.25
252,11.52
253,9.14
254,13.65
255,12.84
256,10.01
257,10.99
258,11.97
259,10.02
260,13.14
261,11.8
262,10.7
263,9.21
264,9.15
265,6.97
266,8.68
267,9.49
268,9.43
269,5.61
270,4.82
271,6.77
272,9.05
273,7.86
274,10.17
275,4.06
276,2.83
277,6.1
278,1.93
279,3.54
280,6.81
281,10.63
282,4.75
283,3.73
284,5.83
285,3.9
286,10.48
287,8.19
288,8.78
289,9.43
290,8.3
291,4.77
292,7.46
293,3.9
294,5.61
295,6.81
296,6.24
297,4.01
298,14.45
299,4.16
300,3.97
301,3.71
302,2.63
303,2.45
304,2.37
305,9.72
306,7.86
307,4.96
308,5.07
309,3.35
310,5.42
311,5.34
312,6.76
313,3.31
314,3.13
315,4.6
316,2.46
317,6.05
318,3.33
319,5.99
320,7.37
321,4.69
322,3.77
323,4.65
324,2.36
325,6.01
326,5.74
327,3.66
328,4.73
329,3.5
330,3.34
331,3.59
332,4.95
333,5.02
334,2.81
335,3.91
336,19.78
337,16.74
338,2.81
339,3.82
340,5.16
341,4.43
342,4.83
343,6.24
344,4.96
345,3.9
346,6.02
347,2.2
348,3.29
349,3.06
350,5.45
351,7.47
352,4.14
353,3.69
354,4.08
355,3.62
356,3.61
357,5.37
358,3.67
359,2.09
360,2.67
361,2.14
362,6.52
363,4.7
364,4.98
365,5.93
366,5.57
367,4.24
368,2.93
369,3.23
370,4.07
371,3.19
372,2.61
373,1.84
374,2.83
375,2.96
376,3.09
377,1.94
378,1.99
379,3.85
380,6.32
381,4.82
382,6.62
383,5.32
384,5.86
385,2.68
386,4.11
387,3.58
388,2.78
389,5.01
390,8.97
391,5.22
392,3.09
393,4.37
394,1.41
395,3.93
396,3.67
397,6.74
398,8.83
399,2.16
400,4.92
401,4.81
402,3.96
403,2.24
404,4.23
405,2.87
406,5.8
407,2.4
408,5.96
409,4.68
410,3.29
411,4.28
412,3.59
413,1.69
414,3.39
415,5.2
416,6.28
417,2.7
418,2.2
419,4.99
420,1.85
421,5.29
422,4.35
423,3.63
424,5.09
425,6.55
426,4.48
427,4.14
428,4.82
429,8.57
430,5.27
431,7.77
432,4.2
433,4.06
434,6.26
435,4.77
436,7.57
437,6.33
438,5.01
439,3.32
440,4.68
441,5.25
442,3.74
443,3.59
444,4.89
445,2.88
446,1.75
447,4.98
448,4.65
449,4.86
450,6.05
451,3.4
452,3.8
453,4.53
454,3.02
455,2.54
456,3.24
457,4.01
458,5.77
459,1.97
460,2.7
461,6.23
462,4.34
463,9.58
464,2.18
465,4.94
466,5.0
467,6.31
468,5.06
469,7.02
470,5.71
471,5.96
472,6.76
473,8.58
474,3.31
475,5.11
476,3.26
477,3.25
478,4.74
479,2.27
480,3.24
481,1.35
482,2.23
483,8.6
484,5.39
485,6.83
486,5.72
487,4.07
488,4.79
489,4.37
490,7.11
491,2.75
492,4.99
493,4.27
494,2.71
495,5.72
496,5.98
497,2.68
498,5.32
499,1.98
500,2.87
501,5.02
502,1.84
503,3.28
504,2.54
505,3.06
506,4.38
507,5.54
508,2.08
509,3.09
510,2.19
511,3.95
512,4.22
513,4.07
514,4.6
515,5.79
516,2.76
517,3.67
518,4.02
519,5.42
520,2.62
521,3.07
522,9.64
523,3.69
524,3.53
525,4.56
526,4.86
527,4.73
528,3.65
529,10.27
530,11.34
531,7.93
532,9.25
533,4.52
534,5.48
535,4.19
536,2.25
537,2.72
538,3.0
539,2.95
540,5.77
541,2.89
542,5.07
543,3.1
544,2.99
545,2.59
546,2.92
547,2.83
548,2.87
549,6.19
550,5.49
551,4.64
552,7.0
553,4.4
554,6.8
555,10.53
556,4.51
557,8.62
558,4.72
559,6.18
560,4.23
561,9.2
562,6.19
563,4.11
564,4.52
565,2.95
566,5.61
567,4.39
568,2.6
569,7.21
570,3.08
571,2.99
572,3.41
573,4.18
574,3.77
575,2.69
576,1.84
577,3.47
578,7.03
579,5.16
580,7.08
581,6.72
582,4.41
583,3.16
584,4.39
585,3.46
586,3.4
587,3.31
588,3.03
589,9.29
590,4.1
591,4.2
592,3.13
593,3.94
594,4.44
595,7.31
596,6.55
597,3.95
598,2.07
599,3.87
600,2.84
601,3.54
602,1.91
603,1.75
604,3.92
605,9.88
606,6.39
607,19.24
608,3.35
609,6.09
610,5.8
611,2.5
612,3.41
613,2.57
614,6.09
615,8.38
616,3.23
617,2.32
618,1.94
619,1.96
620,7.48
621,4.11
622,7.25
623,19.33
624,18.1
625,18.28
626,8.61
627,19.59
628,2.43
629,3.15
630,1.63
631,5.02
632,2.18
633,2.44
634,1.75
635,3.65
636,4.52
637,4.02
638,2.27
639,2.51
640,6.04
641,2.93
642,3.27
643,4.25
644,11.65
645,9.95
646,7.86
647,7.03
648,9.89
649,5.66
650,3.67
651,3.15
652,3.86
653,5.54
654,4.78
655,4.49
656,7.78
657,24.94
658,21.06
659,15.76
660,10.85
661,3.76
662,5.81
663,6.23
664,3.7
665,6.11
666,21.57
667,14.94
668,3.95
669,12.39
670,4.9
671,5.94
672,5.61
673,11.75
674,10.86
675,7.82
676,3.5
677,4.66
678,13.65
679,5.57
680,2.66
681,8.9
682,16.99
683,6.27
684,8.29
685,6.03
686,6.69
687,18.65
688,8.73
689,7.92
690,8.32
691,19.55
692,10.17
693,10.86
694,8.09
695,7.57
696,5.59
697,6.18
698,12.31
699,6.29
700,14.64
701,17.28
702,16.65
703,13.81
704,8.77
705,14.44
706,12.32
707,4.98
708,5.41
709,8.9
710,7.39
711,7.46
712,2.46
713,4.6
714,3.12
715,3.72
716,7.09
717,13.25
718,6.18
719,3.64
720,2.21
721,4.22
722,5.9
723,5.44
724,3.59
725,5.88
726,6.73
727,5.2
728,4.64
729,5.08
730,6.97
731,3.23
732,3.12
733,5.34
734,6.45
735,9.62
736,4.52
737,3.9
738,3.98
739,3.21
740,4.97
741,6.79
742,6.52
743,4.83
744,12.4
745,3.02
746,3.2
747,2.24
748,3.53
749,3.08
750,3.64
751,6.09
752,4.72
753,2.83
754,14.0
755,6.92
756,9.46
757,9.94
758,8.09
759,10.63
760,2.47
761,4.06
762,6.05
763,4.9
764,5.88
765,6.66
766,4.05
767,2.7
768,6.44
769,5.55
770,10.73
771,16.65
772,9.9
773,9.56
774,10.77
775,6.75
776,6.07
777,6.38
778,4.0
779,14.4
780,10.51
781,17.1
782,14.18
783,12.03
784,12.49
785,16.3
786,19.87
787,15.59
788,10.43
789,4.43
790,5.95
791,7.48
792,7.51
793,8.18
794,7.41
795,10.41
796,9.67
797,11.39
798,8.38
799,10.07
800,8.15
801,6.85
802,10.38
803,7.95
804,6.88
805,9.68
806,6.1
807,5.96
808,6.21
809,7.98
810,10.88
811,6.8
812,5.24
813,5.53
814,5.77
815,6.51
816,7.87
817,7.79
818,6.21
819,6.37
820,3.96
821,5.65
822,8.32
823,4.44
824,10.16
825,8.04
826,4.52
827,4.57
828,3.74
829,4.46
830,3.79
831,2.95
832,2.63
833,7.89
834,13.47
835,5.03
836,4.86
837,5.45
838,4.93
839,7.67
840,8.62
841,7.97
842,2.36
843,6.78
844,4.02
845,3.26
846,2.97
847,2.64
848,2.4
849,3.48
850,3.35
851,3.7
852,4.03
853,4.29
854,7.47
855,8.54
856,11.12
857,3.99
858,5.41
859,4.65
860,4.54
861,6.64
862,7.59
863,6.23
864,3.6
865,4.59
866,3.73
867,3.96
868,5.92
869,3.73
870,6.87
871,9.5
872,1.98
873,2.51
874,4.74
875,1.81
876,3.7
877,2.78
878,2.3
879,2.04
880,1.49
881,2.17
882,3.44
883,1.55
884,3.05
885,2.01
886,1.47
887,2.38
888,2.48
889,2.23
890,4.2
891,5.33
892,2.05
893,3.27
894,1.84
895,1.64
896,1.85
897,2.18
898,2.38
899,2.83
900,2.53
901,2.19
902,4.06
903,2.5
904,1.64
905,1.58
906,2.85
907,1.85
908,2.71
909,1.79
910,2.61
911,2.68
912,5.19
913,2.78
914,2.24
915,3.27
916,3.49
917,4.67
918,2.67
919,3.6
920,1.98
921,3.66
922,1.9
923,3.35
924,3.56
925,8.63
926,2.67
927,3.92
928,1.91
929,3.7
930,8.55
931,5.1
932,4.42
933,3.29
934,5.71
935,3.28
936,6.32
937,4.16
938,4.25
939,3.57
940,4.03
941,7.56
942,6.92
943,4.46
944,5.01
945,2.78
946,4.14
947,2.27
948,3.44
949,2.65
950,2.33
951,3.68
952,1.8
953,2.32
954,2.76
955,2.65
956,2.72
957,1.56
958,2.44
959,3.09
960,2.1
961,2.33
962,1.68
963,2.38
964,2.56
965,1.48
966,2.07
967,1.56
968,1.63
969,2.85
970,1.87
971,2.17
972,1.53
973,3.65
974,2.83
975,3.53
976,4.53
977,5.21
978,3.77
979,1.78
980,3.03
981,4.49
982,2.61
983,2.38
984,2.27
985,5.66
986,5.82
987,11.7
988,2.72
989,5.62
990,7.09
991,3.2
992,5.52
993,5.85
994,7.67
995,4.2
996,4.07
997,3.0
998,6.38
999,5.14
1000,2.41
1001,5.66
1002,4.67
1003,4.03
1004,2.71
1005,2.25
1006,2.71
1007,3.62
1008,1.96
1009,2.04
1010,2.73
1011,2.07
1012,3.47
1013,2.54
1014,7.15
1015,3.94
1016,3.73
1017,2.98
1018,4.25
1019,5.09
1020,1.92
1021,1.71
1022,2.05
1023,1.53
1024,2.58
1025,1.93
1026,1.49
1027,1.78
1028,2.32
1029,2.56
1030,2.86
1031,3.56
1032,2.02
1033,2.16
1034,1.69
1035,2.13
1036,1.84
1037,1.85
1038,1.73
1039,2.48
1040,2.94
1041,4.72
1042,3.69
1043,5.56
1044,7.02
1045,4.5
1046,3.52
1047,8.14
1048,4.66
1049,3.66
1050,3.36
1051,3.43
1052,3.85
1053,2.27
1054,1.79
1055,2.78
1056,3.21
1057,3.69
1058,2.04
1059,2.04
1060,4.42
1061,5.74
1062,3.32
1063,5.87
1064,2.17
1065,1.95
1066,2.74
1067,4.46
1068,2.06
1069,3.62
1070,3.65
1071,3.44
1072,5.36
1073,3.17
1074,2.71
1075,1.92
1076,2.94
1077,2.06
1078,1.91
1079,2.3
1080,2.43
1081,2.58
1082,2.46
1083,3.2
1084,5.59
1085,3.45
1086,4.78
1087,2.81
1088,7.08
1089,3.27
1090,1.95
1091,3.19
1092,3.64
1093,1.95
1094,3.99
1095,1.85
1096,2.76
1097,5.1
1098,2.77
1099,3.99
1100,1.93
1101,2.57
1102,2.59
1103,3.13
1104,3.34
1105,3.32
1106,1.75
1107,1.99
1108,2.65
1109,3.16
1110,3.94
1111,2.52
1112,4.36
1113,2.57
1114,1.73
1115,2.27
1116,2.26
1117,4.63
1118,3.5
1119,3.42
1120,1.89
1121,3.55
1122,2.79
1123,1.68
1124,1.86
1125,2.21
1126,2.25
1127,3.6
1128,1.7
1129,2.26
1130,2.51
1131,2.08
1132,1.77
1133,1.45
1134,2.54
1135,2.32
1136,2.02
1137,2.57
1138,1.48
