Node,Relative Closeness,Rank
422,0.0126239246530291,1.0
431,0.0087766141689325,2.0
450,0.0083482881750534,3.0
262,0.0079392627693437,4.0
150,0.0076880502585957,5.0
176,0.0072516512849515,6.0
372,0.0068996065927265,7.0
449,0.0065827662916185,8.0
69,0.0065232951417187,9.0
467,0.0064020368198695,10.0
78,0.0063779375146779,11.0
398,0.0063266027873309,12.0
426,0.0063213023783753,13.0
289,0.0056294226682638,14.0
443,0.0052004223502295,15.0
287,0.0050207374541379,16.0
260,0.0049375704041252,17.0
63,0.0047207567573298,18.0
186,0.0047189170171101,19.0
439,0.004535185636249,20.0
145,0.0045129120212895,21.0
148,0.0044758957401751,22.0
612,0.0044029638044655,23.0
322,0.0043487288969066,24.0
427,0.0042964166223278,25.0
465,0.0041241329016135,26.0
451,0.0040744210373123,27.0
535,0.0040401846228407,28.0
454,0.0040003745904623,29.0
501,0.0039694616146647,30.0
470,0.0038548003763062,31.0
261,0.0038103241227439,32.0
330,0.0037734071916986,33.0
367,0.0037640590016317,34.0
452,0.0037120868009041,35.0
474,0.0036843218328112,36.0
20,0.0036192153733583,37.0
65,0.0034487855125394,38.0
466,0.0033917627993411,39.0
119,0.0033723746995862,40.0
106,0.0033536826376271,41.0
607,0.0032333192404942,42.0
178,0.0031832196882632,43.0
406,0.0031702443786242,44.0
433,0.0031255647020425,45.0
57,0.0030983474565424,46.0
354,0.0030878157115628,47.0
510,0.0030578297452101,48.0
531,0.0030376477282746,49.0
174,0.0030350147146785,50.0
448,0.0030173115310845,51.0
168,0.0030064823930613,52.0
200,0.0029807465614096,53.0
15,0.0028657337253241,54.0
249,0.0028644189834033,55.0
114,0.0028397441097777,56.0
190,0.0028125278933186,57.0
329,0.0027961253059598,58.0
230,0.002771046387613,59.0
128,0.002769919449994,60.0
507,0.0027528944369054,61.0
463,0.0027226549219556,62.0
344,0.0027212775337848,63.0
568,0.002707070008257,64.0
273,0.0027038982694502,65.0
331,0.0026854423549052,66.0
296,0.0026725989278622,67.0
300,0.0026346812561818,68.0
185,0.0026244925854359,69.0
630,0.002589845315306,70.0
457,0.0025807984322333,71.0
205,0.0025787610264149,72.0
622,0.0025668706412377,73.0
194,0.0025447705338013,74.0
342,0.0025333395201595,75.0
88,0.0025315305634082,76.0
162,0.0025268171170921,77.0
620,0.0025077964337515,78.0
552,0.0024975690083914,79.0
9,0.0024631181774538,80.0
438,0.0024612947178403,81.0
134,0.0024351287516935,82.0
617,0.0024269355184074,83.0
583,0.0023942528566058,84.0
73,0.0023777051165018,85.0
379,0.0023755661495375,86.0
233,0.0023729423098857,87.0
62,0.0023722646480568,88.0
515,0.0023685753724567,89.0
279,0.0023537879229077,90.0
571,0.0023292622276796,91.0
251,0.0023046682895338,92.0
243,0.0022955589757853,93.0
442,0.0022778544021307,94.0
565,0.0022722549240639,95.0
475,0.002271745093782,96.0
187,0.0022698114256449,97.0
225,0.0022599670914686,98.0
613,0.002258299381286,99.0
93,0.0022556783695927,100.0
432,0.0022553439177427,101.0
395,0.0022367799561851,102.0
51,0.0022365353621831,103.0
33,0.0022354356330728,104.0
311,0.0022104864913464,105.0
364,0.0021913146361182,106.0
27,0.0021889442907279,107.0
366,0.0021761538335545,108.0
361,0.002154210424895,109.0
614,0.002140397496791,110.0
44,0.0020907613679677,111.0
254,0.0020887047965276,112.0
528,0.0020860069537916,113.0
534,0.0020809462962905,114.0
604,0.0020803211843418,115.0
221,0.0020733183382356,116.0
425,0.0020727256896667,117.0
628,0.0020526832020199,118.0
38,0.0020441391089324,119.0
629,0.0020246888323144,120.0
589,0.0020115308628561,121.0
453,0.0020090021211631,122.0
636,0.0020038549511045,123.0
353,0.0019929109200242,124.0
430,0.0019855018976695,125.0
523,0.0019835799836927,126.0
272,0.0019788028267264,127.0
281,0.0019613016903911,128.0
275,0.0019488081887345,129.0
50,0.0019333503982425,130.0
156,0.0019201349859126,131.0
236,0.0019181726599169,132.0
393,0.0019072128049111,133.0
216,0.0019061680443168,134.0
107,0.0019036323750669,135.0
332,0.0018978422328875,136.0
319,0.0018960992452899,137.0
490,0.0018936065265569,138.0
240,0.0018905762943235,139.0
241,0.0018885961736621,140.0
606,0.0018829834913146,141.0
