Node,Score,Rank
256,0.000115354,1.0
257,0.000115354,1.0
278,0.000114077,2.0
288,0.000114077,2.0
282,0.000114077,2.0
185,0.000113353,3.0
184,0.000113353,3.0
123,0.000110717,4.0
124,0.000110717,4.0
122,0.000110717,4.0
121,0.000110717,4.0
120,0.000110717,4.0
119,0.000110717,4.0
237,0.000110144,5.0
861,0.000109914,6.0
261,0.00010917,7.0
260,0.00010917,7.0
259,0.00010917,7.0
258,0.00010917,7.0
292,0.000109016,8.0
290,0.000109016,8.0
294,0.000109016,8.0
310,0.000108897,9.0
300,0.000108897,9.0
302,0.000108897,9.0
291,0.000108873,10.0
277,0.000108873,10.0
293,0.000108873,10.0
279,0.000108873,10.0
296,0.000108873,10.0
273,0.000108873,10.0
262,0.000108873,10.0
266,0.000108861,11.0
267,0.000108861,11.0
268,0.000108861,11.0
305,0.000108861,11.0
308,0.000108861,11.0
264,0.000108861,11.0
263,0.000108861,11.0
307,0.000108861,11.0
270,0.000108861,11.0
309,0.000108861,11.0
311,0.000108861,11.0
312,0.000108861,11.0
269,0.000108861,11.0
265,0.000108861,11.0
271,0.000108861,11.0
285,0.000108861,11.0
304,0.000108861,11.0
303,0.000108861,11.0
306,0.000108861,11.0
301,0.000108861,11.0
299,0.000108861,11.0
298,0.000108861,11.0
272,0.000108861,11.0
295,0.000108861,11.0
289,0.000108861,11.0
287,0.000108861,11.0
286,0.000108861,11.0
297,0.000108861,11.0
284,0.000108861,11.0
274,0.000108861,11.0
276,0.000108861,11.0
281,0.000108861,11.0
275,0.000108861,11.0
280,0.000108861,11.0
283,0.000108861,11.0
57,0.000107817,12.0
53,0.000107817,12.0
63,0.000107817,12.0
65,0.000107817,12.0
51,0.000107817,12.0
59,0.000107817,12.0
841,0.00010725,13.0
839,0.00010725,13.0
838,0.00010725,13.0
837,0.00010725,13.0
836,0.00010725,13.0
835,0.00010725,13.0
834,0.00010725,13.0
833,0.00010725,13.0
832,0.00010725,13.0
831,0.00010725,13.0
827,0.00010725,13.0
828,0.00010725,13.0
830,0.00010725,13.0
829,0.00010725,13.0
840,0.00010725,13.0
180,0.000105697,14.0
183,0.000105697,14.0
182,0.000105697,14.0
181,0.000105697,14.0
863,0.000105075,15.0
862,0.000105075,15.0
879,0.000104156,16.0
880,0.000104156,16.0
878,0.000104156,16.0
21,0.000102859,17.0
23,0.000102859,17.0
26,0.000102859,17.0
28,0.000102859,17.0
877,0.000101719,18.0
876,0.000101719,18.0
875,0.000101719,18.0
924,0.000101657,19.0
918,0.000101657,19.0
931,0.000101657,19.0
920,0.000101657,19.0
914,0.000101657,19.0
912,0.000101657,19.0
916,0.000101657,19.0
908,0.000101647,20.0
900,0.000101616,21.0
928,0.000101585,22.0
906,0.000101564,23.0
904,0.000101564,23.0
891,0.000101564,23.0
881,0.000101554,24.0
897,0.000101554,24.0
884,0.000101543,25.0
953,0.000101533,26.0
933,0.000101533,26.0
937,0.000101533,26.0
894,0.000101533,26.0
947,0.000101533,26.0
944,0.000101533,26.0
941,0.000101533,26.0
935,0.000101523,27.0
939,0.000101523,27.0
910,0.000101513,28.0
932,0.000101502,29.0
940,0.000101502,29.0
925,0.000101502,29.0
926,0.000101502,29.0
927,0.000101502,29.0
929,0.000101502,29.0
930,0.000101502,29.0
936,0.000101502,29.0
949,0.000101502,29.0
948,0.000101502,29.0
934,0.000101502,29.0
942,0.000101502,29.0
943,0.000101502,29.0
922,0.000101502,29.0
945,0.000101502,29.0
946,0.000101502,29.0
952,0.000101502,29.0
951,0.000101502,29.0
950,0.000101502,29.0
938,0.000101502,29.0
915,0.000101502,29.0
921,0.000101502,29.0
882,0.000101502,29.0
885,0.000101502,29.0
886,0.000101502,29.0
887,0.000101502,29.0
888,0.000101502,29.0
889,0.000101502,29.0
890,0.000101502,29.0
892,0.000101502,29.0
919,0.000101502,29.0
893,0.000101502,29.0
895,0.000101502,29.0
896,0.000101502,29.0
898,0.000101502,29.0
899,0.000101502,29.0
901,0.000101502,29.0
902,0.000101502,29.0
903,0.000101502,29.0
905,0.000101502,29.0
907,0.000101502,29.0
909,0.000101502,29.0
911,0.000101502,29.0
913,0.000101502,29.0
883,0.000101502,29.0
923,0.000101502,29.0
917,0.000101502,29.0
44,0.000101194,30.0
34,0.000101194,30.0
36,0.000101194,30.0
22,0.000101061,31.0
64,0.000101061,31.0
27,0.000101061,31.0
3,0.000100735,32.0
4,0.000100735,32.0
33,0.000100654,33.0
43,0.000100513,34.0
62,0.000100503,35.0
56,0.000100503,35.0
39,0.000100503,35.0
50,0.000100503,35.0
52,0.000100432,36.0
40,0.000100432,36.0
58,0.000100432,36.0
45,0.000100422,37.0
35,0.000100422,37.0
31,0.000100271,38.0
55,0.000100271,38.0
69,0.000100271,38.0
68,0.000100271,38.0
67,0.000100271,38.0
66,0.000100271,38.0
24,0.000100271,38.0
25,0.000100271,38.0
61,0.000100271,38.0
60,0.000100271,38.0
37,0.000100271,38.0
41,0.000100271,38.0
29,0.000100271,38.0
54,0.000100271,38.0
32,0.000100271,38.0
49,0.000100271,38.0
48,0.000100271,38.0
47,0.000100271,38.0
46,0.000100271,38.0
38,0.000100271,38.0
30,0.000100271,38.0
42,0.000100271,38.0
235,9.87e-05,39.0
230,9.87e-05,39.0
234,9.87e-05,39.0
233,9.87e-05,39.0
232,9.87e-05,39.0
231,9.87e-05,39.0
229,9.87e-05,39.0
236,9.87e-05,39.0
243,9.86e-05,40.0
242,9.86e-05,40.0
240,9.86e-05,40.0
239,9.86e-05,40.0
244,9.86e-05,40.0
245,9.86e-05,40.0
246,9.86e-05,40.0
247,9.86e-05,40.0
248,9.86e-05,40.0
238,9.86e-05,40.0
241,9.86e-05,40.0
186,9.8e-05,41.0
187,9.8e-05,41.0
190,9.8e-05,41.0
189,9.8e-05,41.0
188,9.8e-05,41.0
191,9.8e-05,41.0
990,9.75e-05,42.0
341,9.72e-05,43.0
324,9.72e-05,43.0
343,9.7e-05,44.0
344,9.7e-05,44.0
345,9.7e-05,44.0
328,9.7e-05,44.0
327,9.7e-05,44.0
326,9.7e-05,44.0
865,9.68e-05,45.0
866,9.68e-05,45.0
867,9.68e-05,45.0
92,9.67e-05,46.0
93,9.67e-05,46.0
869,9.66e-05,47.0
868,9.66e-05,47.0
860,9.66e-05,47.0
870,9.66e-05,47.0
858,9.66e-05,47.0
859,9.66e-05,47.0
864,9.66e-05,47.0
1000,9.54e-05,48.0
1002,9.54e-05,48.0
1007,9.52e-05,49.0
1004,9.52e-05,49.0
1005,9.52e-05,49.0
1006,9.52e-05,49.0
1008,9.52e-05,49.0
1014,9.52e-05,49.0
1009,9.52e-05,49.0
1019,9.52e-05,49.0
1017,9.52e-05,49.0
1016,9.52e-05,49.0
1015,9.52e-05,49.0
1018,9.52e-05,49.0
1013,9.52e-05,49.0
1012,9.52e-05,49.0
1011,9.52e-05,49.0
1010,9.52e-05,49.0
999,9.5e-05,50.0
824,9.45e-05,51.0
823,9.45e-05,51.0
819,9.43e-05,52.0
820,9.43e-05,52.0
826,9.43e-05,52.0
821,9.43e-05,52.0
822,9.43e-05,52.0
825,9.43e-05,52.0
94,9.42e-05,53.0
95,9.42e-05,53.0
96,9.42e-05,53.0
97,9.42e-05,53.0
98,9.42e-05,53.0
99,9.42e-05,53.0
131,9.35e-05,54.0
1027,9.33e-05,55.0
1026,9.33e-05,55.0
1025,9.33e-05,55.0
1024,9.31e-05,56.0
1028,9.3e-05,57.0
14,9.25e-05,58.0
6,9.25e-05,58.0
1,9.22e-05,59.0
129,9.21e-05,60.0
109,9.2e-05,61.0
982,9.16e-05,62.0
128,9.16e-05,62.0
130,9.15e-05,63.0
110,9.14e-05,64.0
998,9.13e-05,65.0
111,9.12e-05,66.0
112,9.12e-05,66.0
1003,9.11e-05,67.0
1021,9.11e-05,67.0
1073,9.11e-05,67.0
1066,9.11e-05,67.0
1037,9.11e-05,67.0
1030,9.11e-05,67.0
1031,9.11e-05,67.0
1032,9.11e-05,67.0
1033,9.11e-05,67.0
1034,9.11e-05,67.0
1035,9.11e-05,67.0
1036,9.11e-05,67.0
1001,9.11e-05,67.0
1029,9.11e-05,67.0
1072,9.1e-05,68.0
1065,9.1e-05,68.0
1058,9.1e-05,68.0
995,9.09e-05,69.0
1040,9.09e-05,69.0
1054,9.09e-05,69.0
1055,9.09e-05,69.0
1056,9.09e-05,69.0
1057,9.09e-05,69.0
1059,9.09e-05,69.0
