Lambda,Kendall_Tau,P_Value
0.0415,0.5710465744573097,3.671065273322575e-07
0.0507,0.5884757934588034,1.4986238902437205e-07
0.06,0.5886332882273342,1.412015034999394e-07
0.0692,0.5948514946017652,1.0792048536104675e-07
0.0784,0.6544964308743654,4.736612938665558e-09
0.0876,0.6040546056016083,6.369918021736649e-08
0.0968,0.6734423526584904,1.798027097587126e-09
0.1061,0.7004734528779365,3.6676198549635555e-10
0.1153,0.6427604871447903,9.046845160610386e-09
0.1245,0.7031779835840289,3.1389931539796654e-10
