Node,Relative Closeness,Rank
39,0.8027926008170448,1.0
36,0.698251994902427,2.0
22,0.5426411118582602,3.0
38,0.5353641855678202,4.0
35,0.5284323667407513,5.0
8,0.5252932726487424,6.0
2,0.4960361633451401,7.0
1,0.4915481151170723,8.0
23,0.4838900930870841,9.0
12,0.472598537351988,10.0
7,0.4550076349233656,11.0
13,0.4283945393958622,12.0
11,0.420985776223133,13.0
19,0.4128391518015157,14.0
27,0.4089171312863215,15.0
9,0.3956534005506311,16.0
18,0.3857592460202871,17.0
33,0.3829923024349055,18.0
32,0.3774057538927521,19.0
15,0.3729214286123891,20.0
26,0.3711442482836524,21.0
30,0.3680325152361849,22.0
14,0.3454447950908442,23.0
28,0.343634273950356,24.0
29,0.3310152322605332,25.0
25,0.3310152322605332,25.0
31,0.3040480884924139,26.0
10,0.2955012939198735,27.0
3,0.2889585314839991,28.0
21,0.2833859167369235,29.0
16,0.2649604404401164,30.0
20,0.2230933696071397,31.0
24,0.2230933696071397,31.0
17,0.2091988680518853,32.0
6,0.194013651868933,33.0
5,0.1679472183237814,34.0
4,0.1630066960405008,35.0
37,0.1082323051979776,36.0
34,0.0858728571397124,37.0
