Starting Node,Average Spreading Ability
6,3.85
1,3.73
8,4.03
45,3.83
54,6.81
89,4.49
76,1.75
85,1.79
28,3.04
38,2.64
39,2.38
42,1.79
72,5.41
9,2.73
10,2.21
19,2.24
29,2.94
36,1.68
37,2.06
47,1.94
51,3.57
61,2.87
67,2.06
92,2.18
93,3.86
56,4.2
2,1.5
11,2.03
52,1.55
80,1.24
90,1.76
75,2.18
3,1.31
13,1.7
66,1.57
4,1.51
16,1.8
5,2.03
17,1.18
20,1.5
40,2.28
59,1.24
15,1.8
34,1.56
48,2.64
31,2.61
35,1.24
43,2.73
58,1.98
74,2.46
79,1.78
83,1.96
26,1.66
46,1.89
64,2.35
82,1.37
84,1.73
86,1.76
7,1.89
95,2.2
25,1.29
32,1.14
78,1.46
50,1.54
44,1.36
62,1.78
69,1.76
63,1.39
94,1.31
12,1.38
21,1.68
33,1.19
24,1.26
41,1.85
14,1.51
81,1.5
88,1.22
77,1.24
96,1.19
18,1.3
53,2.31
22,1.8
27,1.19
57,1.45
70,1.62
65,1.49
68,1.57
91,1.18
23,1.5
30,1.48
55,1.44
60,1.47
71,1.34
73,1.48
87,1.17
49,1.32
