feature,score,rank
LGC Scores,0.0003271455083908581,1
HVGc Index,0.00036894221191419163,2
Local Gravity Model Centrality,0.0005673158205840023,3
H Values,0.0005967400484232499,4
DIL Centrality,0.0006922085384947207,5
Subgraph centrality,0.0007663269315698606,6
Density Centrality,0.0007843003374290447,7
MCGM Values,0.001087422193677745,8
GGC Values,0.001222599303729699,9
Gravity Model Centrality,0.00165243970006268,10
Laplacian Centrality,0.0023650793258467306,11
Gravity Index Centrality,0.002928807375418563,12
EIGSM Values,0.002994074741524355,13
Local-Global Centrality,0.003463378939705719,14
Improved Gravity Index Values,0.0036044537748116667,15
Semi local centrality,0.0036770814132934815,16
CLC Values,0.003921632450548551,17
Extended Coreness,0.004640332695839411,18
Isolating Centrality,0.004649865465658709,19
PE Values,0.004758021674409196,20
Constraint Coefficients,0.00490343169634011,21
Centrality Values,0.004942139253511724,22
MDD Value,0.005369571587036548,23
EHCC Value,0.00558584930977768,24
Clustering Coefficient,0.005834277389261011,25
Degree Centrality,0.006120589651895991,26
DNC Scores,0.006171342598808693,27
Extended Degree,0.0062330413658743256,28
Extended Improved Gravity Index Values,0.006348047875450513,29
Coreness Centrality,0.006526736547793122,30
Societal Capital Scores,0.006549981462014465,31
I-GSM Values,0.006662242329830259,32
Global Relative Change in Avg Degree,0.007108242587854363,33
Volume Centrality,0.0087289037274908,34
H-GSM_1,0.008890335346928735,35
Clustered Local Degree,0.008918094169300561,36
GIN Values,0.009119858509374135,37
GSM,0.00954969400089789,38
HCC Value,0.009681268173824864,39
K-Shell Value,0.01031290144932373,40
P Value,0.010462397103633503,41
Eigenvector Centrality,0.011174473347482117,42
PageRank Centrality,0.011230690632692553,43
Closeness Centrality,0.011585993492351565,44
Second order centrality,0.020621285973168257,45
Node H-Index,0.02208256431472233,46
Eccentricity Centrality,0.022274043971951762,47
Leverage Centrality,0.026798770614965828,48
Betweenness Centrality,0.028606239258973765,49
Global Relative Change in Avg Clustering,0.03212872564468727,50
