Starting Node,Average Spreading Ability
1,4.41
2,5.36
3,3.41
4,7.21
5,4.46
6,4.46
7,10.63
8,6.55
9,7.07
10,3.57
11,5.91
12,6.45
13,8.42
14,5.58
15,9.12
16,6.19
17,6.47
18,7.34
19,6.13
20,7.7
21,8.63
22,2.5
23,5.42
24,4.11
25,7.97
26,4.79
27,7.63
28,5.25
29,5.44
30,5.34
31,4.3
32,4.12
33,4.3
34,1.91
35,2.81
36,3.26
37,2.03
38,5.64
39,4.6
40,2.43
41,4.44
42,5.48
43,6.53
44,3.19
45,2.38
46,3.57
47,3.05
48,3.03
49,7.45
50,1.66
51,2.46
52,5.83
53,3.23
54,2.24
55,2.15
56,1.55
57,1.33
58,2.04
59,1.87
60,2.42
61,2.55
62,2.77
