Node,Relative Closeness,Rank
79,1.0,1.0
9,0.7939680080012914,2.0
75,0.7074565554229123,3.0
103,0.702388718030167,4.0
28,0.6957902284897899,5.0
67,0.687489946324873,6.0
78,0.6396259699559913,7.0
323,0.619909872655028,8.0
417,0.5999187821904524,9.0
145,0.5984257626752504,10.0
144,0.5956419467079174,11.0
41,0.5941994357595538,12.0
36,0.5856606841450699,13.0
58,0.5755628454252064,14.0
154,0.572026561180917,15.0
138,0.5631316962876772,16.0
51,0.557542383704498,17.0
167,0.5538113235800962,18.0
45,0.5512719013578348,19.0
69,0.5511211182313206,20.0
125,0.546714400508285,21.0
2,0.536842440236964,22.0
90,0.5333906944382127,23.0
451,0.5259966825653477,24.0
206,0.5249941419006977,25.0
317,0.5210779670708587,26.0
161,0.5196762237721041,27.0
94,0.5096042559174914,28.0
53,0.5089917619528757,29.0
365,0.5047434236105922,30.0
113,0.5010116931173985,31.0
46,0.4979629174459342,32.0
142,0.4960577634185351,33.0
15,0.4935546221632541,34.0
68,0.4926598164561447,35.0
257,0.4831468229389742,36.0
64,0.4662833975342577,37.0
98,0.4608642979990831,38.0
131,0.4605018433190132,39.0
330,0.4482228975376436,40.0
48,0.4464180817241265,41.0
25,0.445047285488262,42.0
13,0.4433116458305894,43.0
209,0.4415787213572665,44.0
193,0.4404003904871003,45.0
258,0.4397325065460774,46.0
198,0.4339747493715758,47.0
55,0.4318634375977188,48.0
47,0.4315084989050821,49.0
40,0.4305028750158096,50.0
179,0.4261938341037968,51.0
73,0.4246336521017694,52.0
82,0.4234574637383941,53.0
49,0.4191301516754141,54.0
424,0.4186874999340235,55.0
83,0.4166616953874743,56.0
429,0.415976373496895,57.0
139,0.4142549112058138,58.0
361,0.4138768281529431,59.0
4,0.412250162206397,60.0
108,0.4101191283801931,61.0
311,0.409955187242388,62.0
7,0.4095668715677182,63.0
150,0.4067680868149902,64.0
305,0.4066692529688638,65.0
309,0.4061833037241791,66.0
92,0.4054903194016408,67.0
56,0.4054757376192262,68.0
264,0.4050421334085522,69.0
109,0.4040658498431981,70.0
128,0.403929139154393,71.0
126,0.4018075496033967,72.0
39,0.3948474144845799,73.0
241,0.3909646708666578,74.0
370,0.390632906815562,75.0
95,0.3869446314883125,76.0
381,0.3853872269560624,77.0
27,0.3841551934986818,78.0
43,0.3836757993368213,79.0
89,0.3819430356265874,80.0
242,0.3815169803496191,81.0
93,0.3809510547207498,82.0
1,0.3790320363272852,83.0
18,0.3789668560861235,84.0
194,0.3777392699878654,85.0
52,0.3772112333197965,86.0
191,0.375273930734891,87.0
63,0.3735342514598567,88.0
170,0.3717090736844893,89.0
212,0.3658141113605725,90.0
