Node,Relative Closeness,Rank
79,0.7679872002215191,1.0
9,0.729752252092284,2.0
103,0.6575309250632602,3.0
75,0.6036273844927413,4.0
323,0.5976264221652341,5.0
28,0.5933735858135732,6.0
154,0.5827443794814193,7.0
67,0.5808891467881775,8.0
78,0.5596595648003413,9.0
144,0.5503012431323063,10.0
417,0.546996788316469,11.0
36,0.5455112454623582,12.0
145,0.5418935160306271,13.0
451,0.5362830776588654,14.0
41,0.5301775646121456,15.0
90,0.5200589472604686,16.0
58,0.5192774813628543,17.0
138,0.510906868437419,18.0
51,0.5084598319639795,19.0
125,0.5055767734421537,20.0
167,0.5049355474131312,21.0
69,0.5035707674139019,22.0
257,0.5006272103353668,23.0
45,0.5002999241029444,24.0
317,0.4999327519180425,25.0
206,0.4980862130160051,26.0
2,0.4970019209635982,27.0
161,0.4925441986586175,28.0
94,0.4896163782047806,29.0
46,0.4896128056346644,30.0
365,0.4848331802814368,31.0
113,0.4810254483002806,32.0
53,0.4807932532472445,33.0
142,0.480134455398072,34.0
68,0.4746461948954898,35.0
15,0.4731754816313751,36.0
64,0.4609588560707352,37.0
131,0.4579470360981078,38.0
98,0.4578066636095619,39.0
49,0.4554326570400204,40.0
13,0.4554214393258911,41.0
108,0.4551280473815625,42.0
330,0.4536208410491097,43.0
25,0.4518066042523233,44.0
48,0.4495847253958979,45.0
209,0.4491745701853825,46.0
193,0.4491180702441205,47.0
47,0.4466352204565387,48.0
198,0.4456315894154545,49.0
258,0.4456114225654825,50.0
55,0.4441258788991745,51.0
242,0.4437452502243899,52.0
40,0.4429163894663039,53.0
424,0.441919332030496,54.0
82,0.4408964609107052,55.0
370,0.4407814785557952,56.0
179,0.4393705232813076,57.0
73,0.4380166520833455,58.0
83,0.4364333115019674,59.0
361,0.4360540369003803,60.0
18,0.435930241222079,61.0
139,0.4344851976547785,62.0
429,0.4340245376915375,63.0
4,0.4338827786347317,64.0
7,0.4335765464756829,65.0
43,0.4318139866921069,66.0
309,0.4317037654333347,67.0
264,0.4315560963604292,68.0
126,0.4314516855002854,69.0
311,0.4313929712480589,70.0
56,0.430626903914072,71.0
266,0.4301134025829107,72.0
241,0.4296885517102788,73.0
128,0.4295871484819142,74.0
109,0.4295083530775051,75.0
305,0.42928534120231,76.0
150,0.4281699603560261,77.0
92,0.4277749576732604,78.0
39,0.4269367787906131,79.0
381,0.4259320006601446,80.0
27,0.421698244188893,81.0
194,0.4213914107103568,82.0
93,0.4205910694159641,83.0
52,0.4194863224359408,84.0
233,0.419414256742354,85.0
1,0.4187734870121903,86.0
95,0.4187299876327856,87.0
63,0.4171909625302746,88.0
212,0.416528418672702,89.0
191,0.4156393248584396,90.0
158,0.4153980142100384,91.0
89,0.4149982058946493,92.0
170,0.4144213987717364,93.0
19,0.4140432192865224,94.0
6,0.4127961193190463,95.0
491,0.4124273594485288,96.0
199,0.4122351042125062,97.0
3,0.4117234312944314,98.0
229,0.4108432556929289,99.0
382,0.4101849291633096,100.0
44,0.4099618518145863,101.0
37,0.4096560719488045,102.0
374,0.4095486878226813,103.0
252,0.4089752628018985,104.0
5,0.4086286733152736,105.0
183,0.4082717976217856,106.0
35,0.4076837705542154,107.0
539,0.4070700414945741,108.0
11,0.4069630215619161,109.0
364,0.4066611513969584,110.0
435,0.4066546334757773,111.0
380,0.4064273447423607,112.0
312,0.4062051599033927,113.0
259,0.4059032636629122,114.0
338,0.405373772707645,115.0
99,0.4052580408201413,116.0
333,0.4029302047390787,117.0
195,0.4022348856313816,118.0
133,0.4019950442124437,119.0
245,0.4007894127829801,120.0
119,0.4007715108809859,121.0
293,0.4001856190633379,122.0
224,0.3991811158983083,123.0
127,0.3990648940401556,124.0
10,0.3990084735645424,125.0
74,0.3989997478480385,126.0
17,0.3986529004634632,127.0
255,0.3980705147282821,128.0
155,0.3979428484610221,129.0
60,0.3979184046856168,130.0
38,0.3978444666104279,131.0
146,0.3976892221382185,132.0
12,0.3975415069475783,133.0
100,0.3974638593630399,134.0
62,0.3968541787865357,135.0
114,0.396429903283773,136.0
389,0.3964019724917651,137.0
163,0.395682394796728,138.0
400,0.3955089382530612,139.0
197,0.3941270378777339,140.0
190,0.3938709632465683,141.0
71,0.3934178752618925,142.0
61,0.393000791401869,143.0
315,0.3926149846255242,144.0
88,0.3907702150826421,145.0
201,0.3905316813838602,146.0
238,0.3905173168182126,147.0
42,0.3901706801203859,148.0
70,0.3897826869267694,149.0
235,0.3890949485771114,150.0
483,0.3889282223075579,151.0
427,0.3888634369604637,152.0
80,0.3884926131218841,153.0
8,0.3881535860440822,154.0
205,0.3870741888825764,155.0
519,0.3867639061374693,156.0
168,0.3865624181593362,157.0
132,0.386287716245856,158.0
20,0.386193125707943,159.0
450,0.3861329362387835,160.0
211,0.3855425525061419,161.0
189,0.3848024461579085,162.0
351,0.3845187122149343,163.0
310,0.3842170246157131,164.0
81,0.3838072204897481,165.0
428,0.3832090085783211,166.0
172,0.3826085916768741,167.0
160,0.3817301413125181,168.0
460,0.3814325033088368,169.0
31,0.3811535145546972,170.0
164,0.380601627799943,171.0
153,0.3802559796858168,172.0
30,0.3795900500736743,173.0
398,0.3793559158901731,174.0
407,0.3786383453987256,175.0
210,0.3786107058999212,176.0
414,0.3779738157599199,177.0
196,0.3774168960202427,178.0
176,0.3772318336151958,179.0
22,0.3772205011744863,180.0
471,0.3770096767751218,181.0
408,0.3769730366052585,182.0
111,0.3766035961368423,183.0
379,0.376459863075434,184.0
433,0.3764536492657641,185.0
268,0.376425744124792,186.0
368,0.3761559090357117,187.0
117,0.3761273650441236,188.0
141,0.3760065531564481,189.0
21,0.3759770453119646,190.0
222,0.3756798992256756,191.0
363,0.3756720055518791,192.0
376,0.3754716062493863,193.0
101,0.3750810411818683,194.0
254,0.3750180629272033,195.0
306,0.3745503932782582,196.0
388,0.3740595664279817,197.0
358,0.3739352597628564,198.0
85,0.3734296258619254,199.0
470,0.37334606489908,200.0
184,0.3729858085174656,201.0
262,0.3725243848562479,202.0
122,0.372522154837807,203.0
140,0.372428950389337,204.0
57,0.3723985325417969,205.0
321,0.3722927001793314,206.0
106,0.3717117569556483,207.0
162,0.3715862553069954,208.0
440,0.3714111069530483,209.0
239,0.3713388861229407,210.0
107,0.3711035088669226,211.0
313,0.3709745154643437,212.0
283,0.3705816848500342,213.0
84,0.3705080627805557,214.0
278,0.3704464718798319,215.0
171,0.3704056653307781,216.0
303,0.3702285686592237,217.0
185,0.3701613622369569,218.0
186,0.3696916269089249,219.0
296,0.3695251814478811,220.0
221,0.3695170988881975,221.0
236,0.3690583972651167,222.0
416,0.3689228342149551,223.0
213,0.3683717424754473,224.0
397,0.3682164649983159,225.0
174,0.3679692393566203,226.0
110,0.3676174724056241,227.0
423,0.3673963700342195,228.0
263,0.3671621636521939,229.0
331,0.3671578897151609,230.0
253,0.3668158756109024,231.0
272,0.3667317636010922,232.0
328,0.3666377233602452,233.0
166,0.366536143325938,234.0
24,0.3663442314771902,235.0
298,0.3663256286406203,236.0
300,0.3654705539730561,237.0
493,0.3654653530419274,238.0
399,0.3652292595384225,239.0
182,0.3643709285198549,240.0
188,0.364057315838653,241.0
340,0.3638730386762689,242.0
180,0.3635916049100645,243.0
406,0.3635699503763657,244.0
322,0.3624966252415208,245.0
96,0.362302860776732,246.0
508,0.3612077477139743,247.0
112,0.3610999150732754,248.0
115,0.3608042109306071,249.0
319,0.36044856736631,250.0
207,0.3602752761839076,251.0
66,0.3597926178952663,252.0
549,0.3596654758627973,253.0
135,0.3595845335899169,254.0
137,0.35912365398896,255.0
308,0.3584605963750438,256.0
77,0.3581965771530094,257.0
203,0.3580160895356106,258.0
273,0.3578256768693355,259.0
582,0.357635680179368,260.0
228,0.3571301046444604,261.0
604,0.3568245956131593,262.0
422,0.3563627409883703,263.0
314,0.3560227960743309,264.0
360,0.3558702858150068,265.0
510,0.3551977540779696,266.0
218,0.3550247020656595,267.0
159,0.3547826029990457,268.0
320,0.3538928365620299,269.0
249,0.3531714752506248,270.0
506,0.3528547395642771,271.0
76,0.3525654332536306,272.0
498,0.3523236802081691,273.0
504,0.3521387831841165,274.0
234,0.3509393600631447,275.0
302,0.350724990948253,276.0
372,0.3505576856042286,277.0
14,0.3502771626390013,278.0
208,0.3495045970730016,279.0
72,0.3494171937867996,280.0
337,0.3491930060608113,281.0
267,0.3491025379938499,282.0
295,0.3481560460323977,283.0
230,0.3481395592506985,284.0
34,0.3481317919768003,285.0
217,0.3480896165411299,286.0
386,0.3479998797054183,287.0
297,0.3479460456128671,288.0
348,0.3476962659348541,289.0
134,0.347577929661183,290.0
265,0.3475396294573491,291.0
489,0.3474156921809776,292.0
240,0.3473206472157688,293.0
216,0.3469660951880911,294.0
292,0.3464072394781556,295.0
178,0.3462515539752109,296.0
288,0.3462379659345123,297.0
16,0.34607170837518,298.0
511,0.3456397823306534,299.0
441,0.345137896068021,300.0
584,0.3449583552676951,301.0
514,0.3447572931409786,302.0
447,0.3446132929864884,303.0
527,0.3437531514903885,304.0
200,0.3431188310710268,305.0
332,0.3429827058627412,306.0
449,0.342601828784535,307.0
410,0.3424908542611897,308.0
294,0.3423276518187733,309.0
396,0.3417894795470563,310.0
384,0.3417648491742181,311.0
575,0.3416139927434656,312.0
572,0.3413754661332647,313.0
256,0.3412374916886028,314.0
546,0.3410708861889784,315.0
118,0.3402252103128291,316.0
251,0.3397261680030378,317.0
87,0.3391661882167788,318.0
307,0.338846118357354,319.0
23,0.3387894047603943,320.0
225,0.338243936883641,321.0
130,0.3380359053033328,322.0
350,0.3378168789645295,323.0
102,0.3376593086009896,324.0
148,0.3375328246671663,325.0
327,0.3369882932416247,326.0
411,0.3367732128640905,327.0
529,0.3361182785665543,328.0
421,0.3358428005311358,329.0
419,0.3355116830477463,330.0
404,0.3352420203181517,331.0
116,0.3349782315983162,332.0
512,0.3343511261264816,333.0
192,0.3343226945804715,334.0
452,0.3341588272096101,335.0
339,0.3340132244705243,336.0
403,0.3332986697170012,337.0
299,0.3332392738879713,338.0
291,0.3330603863544824,339.0
157,0.3327841999853714,340.0
316,0.3324904838626,341.0
461,0.3322731871956151,342.0
509,0.3322680228436969,343.0
147,0.3311537919548551,344.0
220,0.3304431105196687,345.0
401,0.3300557321989527,346.0
215,0.3300026361029116,347.0
282,0.3299709437363464,348.0
285,0.3296791680972596,349.0
325,0.3296504833184924,350.0
387,0.3295277394097395,351.0
227,0.3294877038710108,352.0
367,0.3276595097590074,353.0
426,0.3276300066285191,354.0
214,0.3269741295451612,355.0
270,0.326738664054474,356.0
97,0.3266369410963957,357.0
645,0.3264645422391517,358.0
476,0.3263477848420523,359.0
173,0.3260720338878619,360.0
284,0.324334301245236,361.0
121,0.3243207276305643,362.0
104,0.3237626698827236,363.0
26,0.3237615006489558,364.0
175,0.3226226747842608,365.0
304,0.3220653104330782,366.0
86,0.3218483251574143,367.0
301,0.3215007605821032,368.0
610,0.321277819025043,369.0
606,0.3210160254717764,370.0
65,0.3205859829634047,371.0
177,0.3204865957508228,372.0
480,0.3203249106091111,373.0
425,0.3200032179191227,374.0
530,0.3196005008998889,375.0
507,0.3191127392159299,376.0
385,0.3190274987251246,377.0
568,0.3189785255549551,378.0
223,0.3189470822209394,379.0
324,0.318083894090511,380.0
149,0.3178237712064993,381.0
244,0.3177046409186094,382.0
462,0.3173470714391833,383.0
156,0.3169908910918926,384.0
352,0.3169375429915644,385.0
334,0.3168772288930635,386.0
181,0.3167890180115417,387.0
136,0.316770248199655,388.0
336,0.3165510861643968,389.0
326,0.3158496676138419,390.0
123,0.3155173952670019,391.0
464,0.31533807876886,392.0
532,0.3148678468566593,393.0
415,0.3147738899906311,394.0
354,0.3145668625387585,395.0
600,0.3144103617812796,396.0
342,0.3135640880513268,397.0
472,0.3131152631280408,398.0
614,0.3130827272831824,399.0
231,0.3129822815265256,400.0
369,0.3127734863834777,401.0
611,0.3127456491480598,402.0
277,0.3126519852120886,403.0
534,0.312590936966374,404.0
59,0.3122255591961488,405.0
151,0.3121976914387723,406.0
448,0.3120402555392418,407.0
537,0.3116426139443313,408.0
585,0.3113239654379622,409.0
246,0.3111093517657801,410.0
345,0.3108851730589923,411.0
347,0.3108091659869583,412.0
437,0.3107860118848516,413.0
542,0.3103715334799848,414.0
187,0.3103111107152721,415.0
335,0.3100177783633545,416.0
554,0.310006852900006,417.0
341,0.3088971414761741,418.0
432,0.308848834430504,419.0
538,0.3087907854658176,420.0
490,0.3086008880572912,421.0
526,0.308439189153109,422.0
378,0.3078697054118161,423.0
442,0.3077156959006325,424.0
318,0.3076972017795571,425.0
344,0.3076686108885718,426.0
445,0.3068789144051628,427.0
105,0.3066397004328685,428.0
649,0.3054309157771397,429.0
