Node,Score,Rank
37,0.145969444,1.0
116,0.133442404,2.0
9,0.115639031,3.0
184,0.113962822,4.0
100,0.113764642,5.0
337,0.100751414,6.0
81,0.099141882,7.0
141,0.098637009,8.0
243,0.098048973,9.0
23,0.097021712,10.0
121,0.095653547,11.0
446,0.091002916,12.0
88,0.090955767,13.0
11,0.090202059,14.0
15,0.088273645,15.0
69,0.087721162,16.0
130,0.086792838,17.0
42,0.08675993,18.0
160,0.086273376,19.0
447,0.085535326,20.0
410,0.085099498,21.0
55,0.084993115,22.0
101,0.084609415,23.0
424,0.084547059,24.0
282,0.083736768,25.0
17,0.081995555,26.0
372,0.081472955,27.0
407,0.080793108,28.0
298,0.079631499,29.0
171,0.079443144,30.0
165,0.079331135,31.0
65,0.079105584,32.0
29,0.078755425,33.0
140,0.076565474,34.0
13,0.075307725,35.0
131,0.075172087,36.0
80,0.075108894,37.0
441,0.074704382,38.0
112,0.073265624,39.0
255,0.071410584,40.0
44,0.071379364,41.0
156,0.071362118,42.0
132,0.070936948,43.0
12,0.070464669,44.0
363,0.07012674,45.0
316,0.069521557,46.0
209,0.068355569,47.0
114,0.068300278,48.0
89,0.06794518,49.0
119,0.067855458,50.0
432,0.067565208,51.0
64,0.067463103,52.0
429,0.067167196,53.0
49,0.066575132,54.0
264,0.066203436,55.0
201,0.065917299,56.0
256,0.065546632,57.0
66,0.065130704,58.0
118,0.064889808,59.0
539,0.064121642,60.0
411,0.063651786,61.0
134,0.063487446,62.0
168,0.063007206,63.0
124,0.062809269,64.0
61,0.06246281,65.0
120,0.062423888,66.0
263,0.062226531,67.0
577,0.06220716,68.0
313,0.062110842,69.0
246,0.061967533,70.0
507,0.061857582,71.0
174,0.06177017,72.0
423,0.061422448,73.0
405,0.061341891,74.0
494,0.060999308,75.0
277,0.060985124,76.0
217,0.060918521,77.0
93,0.060815602,78.0
163,0.059508784,79.0
84,0.059450574,80.0
205,0.05941597,81.0
91,0.059382923,82.0
146,0.059047493,83.0
104,0.059013749,84.0
278,0.058877488,85.0
125,0.058664724,86.0
60,0.058160697,87.0
41,0.058094379,88.0
376,0.057118564,89.0
133,0.056792798,90.0
419,0.056736995,91.0
27,0.056291971,92.0
92,0.055476614,93.0
180,0.055428223,94.0
369,0.054998207,95.0
271,0.054266034,96.0
31,0.053932616,97.0
439,0.053548798,98.0
240,0.053315891,99.0
304,0.052924304,100.0
454,0.052724193,101.0
110,0.052700034,102.0
26,0.052523286,103.0
365,0.052472513,104.0
269,0.052386329,105.0
187,0.052377515,106.0
220,0.052369685,107.0
30,0.052142738,108.0
4,0.051624394,109.0
257,0.051618744,110.0
