feature,score,rank
Clustering Coefficient,2.220446049250313e-16,1
Constraint Coefficients,1.965391183134102e-08,2
Degree Centrality,2.7979566663560718e-08,3
Global Relative Change in Avg Degree,2.9385314515018024e-08,4
Isolating Centrality,2.1776644589799332e-06,5
DNC Scores,2.9932779976538093e-05,6
K-Shell Value,0.0001340538347500697,7
DIL Centrality,0.00020329705547694754,8
Density Centrality,0.0004043371458550826,9
Node H-Index,0.0004464254734471984,10
Subgraph centrality,0.000464082480751582,11
Local Gravity Model Centrality,0.0011476695797532077,12
H Values,0.0014036245424696725,13
Global Relative Change in Avg Clustering,0.0016207469968845256,14
HVGc Index,0.0017985982869691552,15
MCGM Values,0.0018586048360444973,16
Laplacian Centrality,0.0020242826034044814,17
LGC Scores,0.0020839128014534802,18
Gravity Model Centrality,0.0020939700016021634,19
MDD Value,0.0024851861739754177,20
Coreness Centrality,0.002764028525047091,21
Local-Global Centrality,0.0027898075832518687,22
GGC Values,0.0028062888765204574,23
Gravity Index Centrality,0.0031985950061068635,24
Extended Degree,0.003628267182703704,25
Societal Capital Scores,0.004329115095925262,26
Clustered Local Degree,0.005103622590067247,27
EIGSM Values,0.005496982303857534,28
Semi local centrality,0.005640250750271525,29
Eigenvector Centrality,0.005666926264866645,30
EHCC Value,0.0059551158047713715,31
PageRank Centrality,0.0061235450968252225,32
Extended Coreness,0.006241278306509668,33
Extended Improved Gravity Index Values,0.006738932457569624,34
CLC Values,0.006747027471394329,35
Improved Gravity Index Values,0.006842050472569472,36
PE Values,0.007179180713998146,37
Centrality Values,0.007262304564216282,38
HCC Value,0.008062603739283913,39
I-GSM Values,0.009165969533891927,40
Volume Centrality,0.01259704976863496,41
GIN Values,0.013738337862195249,42
H-GSM_1,0.01379893373096197,43
P Value,0.014261692001104276,44
GSM,0.014265464191552057,45
Leverage Centrality,0.01808839322637046,46
Second order centrality,0.018483661223953063,47
Closeness Centrality,0.022285899813390686,48
Eccentricity Centrality,0.04258332754017713,49
Betweenness Centrality,0.08062674561525496,50
