Node,Relative Closeness,Rank
61,0.025411354128842274,1.0
65,0.02494272124147407,2.0
56,0.02488256991201437,3.0
53,0.0248639737977006,4.0
58,0.024548372343763156,5.0
62,0.024493284244404792,6.0
25,0.024326642938663996,7.0
32,0.024277766428694884,8.0
60,0.02203655258981624,9.0
64,0.021984576033076055,10.0
81,0.02168371008400905,11.0
37,0.017541207117410806,12.0
40,0.017498377423022352,13.0
23,0.016657032522920057,14.0
30,0.016614601351231467,15.0
4,0.016029461312262506,16.0
8,0.015995920262340153,17.0
27,0.014898199022228987,18.0
34,0.014865140797885316,19.0
39,0.014524585182798174,20.0
42,0.014486905627915676,21.0
29,0.014105257990658567,22.0
36,0.014075617864856052,23.0
1,0.013957010250619215,24.0
5,0.013927193855160992,25.0
24,0.013604608117003904,26.0
31,0.013567422883547203,27.0
3,0.012952545034492047,28.0
7,0.012925667743945334,29.0
51,0.012546937737710769,30.0
55,0.012401431861556329,31.0
45,0.012059097931359302,32.0
49,0.01203256934817497,33.0
68,0.01185886307811546,34.0
12,0.011572156200189133,35.0
16,0.011547846315497323,36.0
43,0.01108269327000338,37.0
47,0.011058643957846098,38.0
54,0.011021839862330117,39.0
66,0.010798713301788252,40.0
57,0.010739511278151488,41.0
9,0.0105842458119305,42.0
13,0.010562265752253289,43.0
17,0.01040391193880508,44.0
20,0.010375567011777128,45.0
77,0.010198235906183987,46.0
79,0.010172945042538661,47.0
11,0.009996393521687632,48.0
15,0.009976421403305898,49.0
52,0.009792078624902186,50.0
87,0.008971029746411388,51.0
88,0.008259964241324146,52.0
46,0.00818836032501397,53.0
50,0.008166529711349207,54.0
70,0.007474060977800513,55.0
73,0.00745100030849482,56.0
69,0.006923006600806913,57.0
72,0.006901999856185143,58.0
71,0.006775105658719348,59.0
74,0.006754608563319523,60.0
59,0.006428973100150445,61.0
63,0.006384898022324909,62.0
82,0.006117730703504341,63.0
38,0.0059325441023849994,64.0
26,0.005914897977068829,65.0
41,0.005897401297765108,66.0
33,0.005880054064473838,67.0
89,0.005837324000760348,68.0
90,0.005803782950837995,69.0
67,0.005803782950837995,69.0
28,0.005472100938027621,70.0
35,0.005444346131151395,71.0
2,0.005302104182891624,72.0
6,0.005276859302634745,73.0
19,0.005221376512525552,74.0
18,0.005221376512525552,74.0
22,0.005197281216979823,75.0
21,0.005197281216979823,75.0
78,0.005118423537743891,76.0
80,0.005095757559189027,77.0
83,0.005045880910521215,78.0
84,0.005045880910521215,78.0
85,0.005024195910919866,79.0
86,0.005024195910919866,79.0
44,0.004971234543277132,80.0
48,0.004950538186527373,81.0
10,0.004841377454305496,82.0
14,0.0048223403314888325,83.0
75,0.004708577428473313,84.0
76,0.004691168883997447,85.0
