Node,Relative Closeness,Rank
329,0.965066057173926,1.0
341,0.8089495345583996,2.0
355,0.6834653225208265,3.0
350,0.6244596682151758,4.0
356,0.6244596682151758,4.0
331,0.5262051863588558,5.0
340,0.5131555045212483,6.0
352,0.4992144390829836,7.0
351,0.4992144390829836,7.0
353,0.4992144390829836,7.0
339,0.4789410696152881,8.0
211,0.3590297866437087,9.0
333,0.3439082932089673,10.0
324,0.321580157449532,11.0
322,0.3067924850558612,12.0
335,0.2585484187493583,13.0
220,0.2564881274237244,14.0
362,0.2534334521191825,15.0
361,0.2534334521191825,15.0
332,0.244095116585464,16.0
330,0.2362898319254714,17.0
328,0.2330846786520182,18.0
338,0.2259366608860924,19.0
345,0.2166180076586367,20.0
348,0.2031169625813957,21.0
337,0.1811063389498829,22.0
368,0.1757987486237524,23.0
354,0.1745807329885162,24.0
357,0.1745807329885162,24.0
343,0.161508656495281,25.0
346,0.1589794670224547,26.0
347,0.1589794670224547,26.0
349,0.1589794670224547,26.0
359,0.1516787539976863,27.0
360,0.1493354776074157,28.0
325,0.1492855232665227,29.0
371,0.1417754341471714,30.0
126,0.1345256545184732,31.0
372,0.1267643921340322,32.0
334,0.1230926333632889,33.0
336,0.1230926333632889,33.0
344,0.1122876896196392,34.0
375,0.1101010840933801,35.0
379,0.0939116757284675,36.0
369,0.0933480117981138,37.0
366,0.0929253335457939,38.0
367,0.0929253335457939,38.0
370,0.0911050813434905,39.0
326,0.0868987662664522,40.0
323,0.0868987662664522,40.0
374,0.0702194031934318,41.0
377,0.0642433440293733,42.0
376,0.0630869756762989,43.0
364,0.0619340851867711,44.0
327,0.0491533677376124,45.0
380,0.0314900510963284,46.0
358,0.0284002888017281,47.0
363,0.0282985679672071,48.0
321,0.0241461415261267,49.0
373,0.0177553592018203,50.0
342,0.01373669817844,51.0
365,0.009959899805753,52.0
378,0.0043637940365616,53.0
381,0.0007626884935215,54.0
