Node,Relative Closeness,Rank
18,0.0395770581795601,1.0
232,0.016989388334654,2.0
240,0.0157068933625321,3.0
15,0.0098510851465956,4.0
201,0.0091731995466065,5.0
29,0.0087421616722158,6.0
39,0.008717418364602,7.0
305,0.0086088727942377,8.0
33,0.007849317466315,9.0
76,0.0077060643390445,10.0
23,0.0073324409120876,11.0
316,0.0073287362647634,12.0
17,0.0069218835975974,13.0
20,0.0068094033838508,14.0
7,0.0063785211875804,15.0
28,0.0062505463930615,16.0
156,0.0059499475671631,17.0
412,0.0057302151543754,18.0
93,0.0056645143941069,19.0
69,0.0056028332338896,20.0
147,0.0054717659668862,21.0
306,0.0052610854212971,22.0
373,0.005246479973176,23.0
145,0.0052136860196004,24.0
126,0.0051709577256683,25.0
285,0.0051430433734631,26.0
16,0.0051396084702858,27.0
253,0.0051344794257857,28.0
318,0.005077948302422,29.0
106,0.0049307674627489,30.0
290,0.004919972980782,31.0
168,0.0048026509096632,32.0
382,0.0047588966016184,33.0
157,0.0047579031750763,34.0
98,0.0047358584858516,35.0
504,0.0047307074705719,36.0
3,0.0046814507629219,37.0
255,0.0045923693759913,38.0
234,0.0045018676245141,39.0
309,0.0043415331570028,40.0
5,0.004220659496298,41.0
103,0.0041292514278903,42.0
521,0.004079603633609,43.0
37,0.0039722833706899,44.0
404,0.0039600957837491,45.0
401,0.0039600957837491,45.0
32,0.0039025026575567,46.0
102,0.0038230550858021,47.0
421,0.003771610761127,48.0
545,0.0037693212997441,49.0
27,0.0037548294932804,50.0
26,0.0037483224140425,51.0
241,0.00370151687606,52.0
89,0.0036189013836596,53.0
52,0.0036138942686086,54.0
56,0.0036138942686086,54.0
47,0.0034844962762623,55.0
22,0.0034758304068114,56.0
167,0.0034264771243295,57.0
211,0.0034148695111235,58.0
1,0.0033717135418878,59.0
63,0.0033683788945349,60.0
165,0.0033230018476865,61.0
337,0.003271837495756,62.0
130,0.0032702195448511,63.0
19,0.0032454567451053,64.0
448,0.0032266556769714,65.0
85,0.0031614390280528,66.0
346,0.0031571100421007,67.0
134,0.003118257821271,68.0
194,0.0031067316651061,69.0
77,0.003034780448765,70.0
550,0.0029999644674152,71.0
24,0.0029960947166751,72.0
347,0.0029489190945895,73.0
196,0.0029478166548954,74.0
357,0.002937259589274,75.0
197,0.0029259379514105,76.0
238,0.0029199531228113,77.0
139,0.0029046370336845,78.0
31,0.002682356040703,79.0
43,0.0026673188287109,80.0
150,0.0026666810055825,81.0
62,0.0026371267896606,82.0
46,0.0026062922438781,83.0
317,0.0025732112989673,84.0
215,0.0025706847608889,85.0
35,0.0025544517604049,86.0
272,0.0025419539777436,87.0
226,0.0024908799930301,88.0
191,0.0024790995719577,89.0
198,0.0024411440564454,90.0
517,0.0023945520140695,91.0
571,0.0023771109347327,92.0
252,0.0023652157807969,93.0
121,0.0023581491104907,94.0
282,0.0023347783046152,95.0
75,0.0023317597883125,96.0
92,0.0023051148242239,97.0
473,0.002301364300102,98.0
41,0.0022865279934674,99.0
206,0.0022411094335764,100.0
