Starting Node,Average Spreading Ability
1,5.59
2,2.37
3,29.95
4,5.82
5,39.96
6,2.06
7,4.61
8,2.51
9,1.65
10,1.84
11,1.54
12,2.52
13,1.74
14,23.1
15,39.03
16,48.26
17,50.02
18,56.65
19,34.01
20,34.33
21,3.35
22,39.47
23,46.89
24,30.29
25,8.02
26,39.64
27,46.83
28,52.09
29,48.72
30,26.44
31,16.35
32,41.84
33,37.42
34,28.63
35,26.57
36,5.08
37,46.97
38,23.07
39,50.58
40,16.32
41,32.01
42,12.71
43,35.09
44,29.1
45,27.32
46,29.13
47,40.06
48,1.66
49,2.07
50,1.45
51,2.44
52,15.61
53,1.91
54,1.65
55,1.44
56,14.28
57,2.23
58,1.19
59,12.19
60,8.21
61,9.67
62,9.83
63,40.9
64,22.79
65,6.47
66,11.34
67,10.95
68,12.25
69,14.72
70,22.97
71,6.35
72,15.76
73,7.18
74,15.04
75,12.59
76,49.3
77,3.82
78,22.34
79,17.69
80,12.93
81,3.95
82,30.99
83,14.27
84,5.12
85,41.62
86,7.17
87,7.7
88,29.63
89,35.57
90,27.29
91,7.2
92,16.96
93,5.89
94,17.89
95,12.05
96,2.53
97,10.75
98,12.04
99,13.46
100,9.59
101,9.37
102,21.37
103,40.2
104,7.89
105,20.92
106,12.12
107,25.81
108,5.92
109,29.05
110,12.76
111,5.57
112,8.44
113,9.8
114,19.53
115,6.19
116,21.15
117,14.72
118,21.1
119,6.2
120,5.26
121,14.26
122,9.67
123,19.26
124,2.9
125,28.48
126,40.61
127,13.68
128,13.37
129,7.67
130,36.29
131,16.51
132,27.45
133,18.24
134,17.97
135,4.8
136,7.2
137,19.45
138,6.09
139,12.84
140,15.09
141,12.7
142,18.57
143,34.22
144,10.23
145,23.21
146,16.86
147,42.31
148,8.86
149,8.63
150,19.08
151,10.45
152,13.37
153,6.11
154,13.29
155,14.34
156,12.62
157,36.45
158,9.69
159,9.43
160,6.86
161,3.83
162,29.3
163,12.64
164,13.33
165,24.57
166,24.1
167,43.27
168,36.87
169,8.87
170,30.13
171,10.05
172,2.49
173,2.31
174,2.47
175,21.3
176,4.44
177,2.58
178,2.8
179,3.12
180,3.44
181,1.45
182,3.49
183,2.89
184,4.78
185,1.17
186,2.27
187,2.66
188,1.7
189,1.16
190,2.67
191,4.34
192,2.49
193,1.81
194,16.7
195,8.98
196,16.62
197,8.33
198,10.81
199,7.85
200,2.63
201,24.46
202,4.14
203,1.8
204,1.21
205,1.96
206,12.66
207,2.23
208,2.36
209,13.5
210,4.33
211,2.66
212,6.3
213,16.88
214,9.76
215,33.75
216,23.48
217,16.4
218,27.69
219,11.53
220,13.46
221,1.7
222,1.26
223,1.44
224,1.12
225,1.27
226,3.04
227,2.41
228,2.34
229,1.7
230,1.24
231,2.0
232,9.61
233,1.71
234,2.74
235,1.44
236,1.85
237,1.04
238,2.07
239,1.41
240,9.2
241,9.66
242,1.44
243,3.54
244,4.05
245,2.81
246,2.45
247,1.51
248,3.72
249,2.35
250,3.08
251,4.0
252,3.72
253,6.17
254,3.09
255,6.96
256,3.4
257,1.76
258,1.83
