Node,Score,Rank
136,0.507614213,1.0
60,0.487309645,2.0
132,0.38071066,3.0
168,0.375634518,4.0
70,0.314720812,5.0
99,0.304568528,6.0
108,0.304568528,6.0
158,0.299492386,7.0
83,0.299492386,7.0
7,0.289340102,8.0
194,0.284263959,9.0
131,0.284263959,9.0
192,0.279187817,10.0
122,0.279187817,10.0
149,0.274111675,11.0
69,0.269035533,12.0
164,0.269035533,12.0
174,0.263959391,13.0
96,0.263959391,13.0
135,0.258883249,14.0
101,0.248730964,15.0
100,0.248730964,15.0
170,0.243654822,16.0
105,0.243654822,16.0
54,0.233502538,17.0
195,0.233502538,17.0
5,0.233502538,17.0
179,0.233502538,17.0
98,0.233502538,17.0
196,0.228426396,18.0
171,0.228426396,18.0
167,0.228426396,18.0
114,0.223350254,19.0
35,0.218274112,20.0
154,0.218274112,20.0
110,0.218274112,20.0
53,0.21319797,21.0
49,0.21319797,21.0
81,0.21319797,21.0
118,0.208121827,22.0
153,0.208121827,22.0
111,0.208121827,22.0
32,0.208121827,22.0
123,0.203045685,23.0
95,0.203045685,23.0
128,0.203045685,23.0
172,0.203045685,23.0
86,0.203045685,23.0
178,0.197969543,24.0
183,0.197969543,24.0
121,0.197969543,24.0
147,0.197969543,24.0
106,0.197969543,24.0
150,0.197969543,24.0
107,0.192893401,25.0
57,0.187817259,26.0
44,0.187817259,26.0
18,0.187817259,26.0
197,0.182741117,27.0
88,0.182741117,27.0
130,0.177664975,28.0
40,0.172588832,29.0
66,0.172588832,29.0
33,0.172588832,29.0
61,0.16751269,30.0
90,0.16751269,30.0
65,0.16751269,30.0
109,0.16751269,30.0
56,0.162436548,31.0
58,0.162436548,31.0
64,0.162436548,31.0
125,0.157360406,32.0
26,0.157360406,32.0
142,0.157360406,32.0
73,0.157360406,32.0
63,0.157360406,32.0
161,0.157360406,32.0
189,0.157360406,32.0
29,0.157360406,32.0
140,0.157360406,32.0
62,0.152284264,33.0
71,0.152284264,33.0
24,0.147208122,34.0
67,0.147208122,34.0
43,0.147208122,34.0
77,0.147208122,34.0
127,0.147208122,34.0
193,0.14213198,35.0
28,0.14213198,35.0
112,0.14213198,35.0
146,0.137055838,36.0
10,0.137055838,36.0
190,0.137055838,36.0
50,0.137055838,36.0
93,0.137055838,36.0
78,0.131979695,37.0
36,0.131979695,37.0
94,0.131979695,37.0
191,0.126903553,38.0
182,0.126903553,38.0
55,0.126903553,38.0
14,0.126903553,38.0
13,0.126903553,38.0
91,0.121827411,39.0
19,0.121827411,39.0
173,0.121827411,39.0
176,0.121827411,39.0
87,0.121827411,39.0
169,0.116751269,40.0
138,0.116751269,40.0
46,0.116751269,40.0
141,0.116751269,40.0
11,0.116751269,40.0
129,0.116751269,40.0
1,0.116751269,40.0
151,0.116751269,40.0
103,0.116751269,40.0
156,0.111675127,41.0
184,0.111675127,41.0
8,0.106598985,42.0
12,0.106598985,42.0
79,0.101522843,43.0
9,0.101522843,43.0
116,0.101522843,43.0
155,0.101522843,43.0
104,0.101522843,43.0
31,0.101522843,43.0
177,0.101522843,43.0
74,0.101522843,43.0
102,0.096446701,44.0
80,0.096446701,44.0
38,0.096446701,44.0
85,0.096446701,44.0
162,0.096446701,44.0
51,0.096446701,44.0
22,0.096446701,44.0
187,0.091370558,45.0
97,0.091370558,45.0
139,0.091370558,45.0
175,0.091370558,45.0
89,0.086294416,46.0
75,0.086294416,46.0
144,0.086294416,46.0
143,0.086294416,46.0
126,0.086294416,46.0
124,0.081218274,47.0
4,0.081218274,47.0
137,0.081218274,47.0
76,0.081218274,47.0
185,0.076142132,48.0
198,0.07106599,49.0
166,0.07106599,49.0
84,0.07106599,49.0
68,0.07106599,49.0
117,0.065989848,50.0
27,0.065989848,50.0
23,0.065989848,50.0
186,0.065989848,50.0
134,0.065989848,50.0
113,0.065989848,50.0
59,0.060913706,51.0
42,0.060913706,51.0
163,0.060913706,51.0
20,0.055837563,52.0
159,0.050761421,53.0
188,0.050761421,53.0
72,0.045685279,54.0
119,0.045685279,54.0
16,0.045685279,54.0
48,0.040609137,55.0
82,0.040609137,55.0
15,0.040609137,55.0
45,0.035532995,56.0
41,0.035532995,56.0
115,0.035532995,56.0
133,0.030456853,57.0
52,0.030456853,57.0
25,0.030456853,57.0
39,0.030456853,57.0
181,0.030456853,57.0
180,0.025380711,58.0
92,0.025380711,58.0
148,0.025380711,58.0
37,0.025380711,58.0
3,0.020304569,59.0
157,0.020304569,59.0
34,0.020304569,59.0
2,0.015228426,60.0
152,0.015228426,60.0
47,0.015228426,60.0
145,0.010152284,61.0
17,0.010152284,61.0
6,0.010152284,61.0
21,0.005076142,62.0
160,0.005076142,62.0
165,0.005076142,62.0
30,0.005076142,62.0
120,0.005076142,62.0
