feature,PC1,PC2,PC3,PC4,PC5
Degree Centrality,0.15567548604775416,-0.005347328476224128,0.197990491567323,-0.00012605845190466713,-0.04400936780404111
Betweenness Centrality,0.10158926069183032,-0.19222166946850805,-0.015382046566068897,-0.09087616294720524,0.026399882930284987
Leverage Centrality,0.09423415696762431,0.016373159528624615,0.3450135463958869,-0.14978619192784842,-0.2205236046824268
Isolating Centrality,0.07026244096642795,-0.07214843747890258,0.20722438437638566,0.13835872277685335,0.1977014736921351
GSM,0.12386465150926862,-0.23265416087139498,-0.19661039753587356,-0.09713387272673174,-0.024134403150036454
H-GSM_1,0.12403787000652125,-0.2459444359373227,-0.17747496594375314,-0.08789607441819308,-0.01700134544095777
Local-Global Centrality,0.16300921972275198,-0.07300402211596513,0.12016875988593345,-0.012458528043642694,0.015774590306856514
PageRank Centrality,0.1316085095240856,-0.03832104620811673,0.2997851830326669,-0.01848841812408292,-0.05659647798680939
Coreness Centrality,0.159660879870133,0.11649437287102185,0.08538719415141957,-0.07655469354409557,-0.025710719299926126
Extended Coreness,0.15509307876411665,0.15688502245366293,-0.11210125456502427,-0.030216576026332907,0.01937596942231647
Global Relative Change in Avg Degree,0.1548761648636308,-0.010202707365183774,0.188327976687779,0.03826727063024967,0.05030476475943912
Global Relative Change in Avg Clustering,0.06873957839630558,0.07218624327679184,-0.015233452854976383,0.5049262920571517,-0.2544801521470894
Clustering Coefficient,0.04801096980550916,0.1398297150622434,-0.14097729039239298,0.44951375986024017,-0.28533499157421804
Clustered Local Degree,0.15659351291178725,0.09617507658230316,-0.10287037322272555,0.15495280008845533,-0.06617288988831944
DIL Centrality,0.14144303314886858,-0.08463438844355206,0.19862747239905806,0.013984671684860905,0.19032770508685237
I-GSM Values,0.145598718414507,-0.1753742550292209,-0.16947747361833387,-0.016727669102220375,-0.00513074151176135
Gravity Index Centrality,0.15145612789749313,0.18213098836397892,-0.049348933911769303,-0.13674198351903902,-0.016353639872638617
Gravity Model Centrality,0.1662937248645218,-0.06716649964715107,0.06491640586779372,0.008568877140640575,0.07519512400927222
Local Gravity Model Centrality,0.16571830444074664,0.049130354192109815,0.06106984675419987,0.05557888759562496,0.12221497132376086
Laplacian Centrality,0.16800100320436856,0.01124581639921507,0.0789147615955195,0.06117349061323759,0.04980445475916042
Closeness Centrality,0.1061557446983454,-0.26043118890198075,-0.22331729818380663,-0.10341283620209434,-0.008736440712572355
Semi local centrality,0.1636620835259362,-0.021136628257279418,-0.09851630531552044,0.07589897419911065,0.05657202371194543
Eccentricity Centrality,0.0772505573990139,-0.2139741996672659,-0.17775831255120572,-0.1453300905162948,-0.057673598708733634
Density Centrality,0.1580157805243143,-0.03446922494673509,0.16382658584814364,0.05175962222881479,0.11334438647560889
MDD Value,0.1602894349177688,0.009612474095448421,0.15241918366612567,-0.022913884906035405,-0.11435359667521616
EHCC Value,0.16397451728467546,0.04224215193011758,-0.06643223149057825,0.1297974363483271,0.030830987061679
HCC Value,0.15298610262695933,-0.0049126249298910825,-0.11923615205429057,0.16477245646195177,-0.10609502114653639
P Value,0.1330190145035731,-0.01924132967421633,-0.1712557504505545,0.211735747681264,-0.1465419695896648
Extended Degree,0.1692383024531488,0.019306827965605396,0.010083305979917204,0.05312624153399342,-0.021475948675001674
Eigenvector Centrality,0.07690340946662369,0.3294423260009255,-0.1755261486490572,-0.18327844326640658,0.12441256196101043
CLC Values,0.15952619847212984,-0.09249526330587686,-0.06156167792012808,0.018014312404251862,0.10377503169175528
Centrality Values,0.16812838914383824,-0.05116557636087298,0.026552290064189042,0.07632120084495601,0.04985928152101036
Constraint Coefficients,0.11238225740727911,-0.026485483566043536,0.20828198513158505,-0.2462224408185086,-0.3863963764892376
HVGc Index,0.15623587066785716,0.13528660565594736,-0.03173065051657147,-0.008429831783399618,0.18588373683367473
PE Values,0.1635837137039078,-0.09378902652223149,0.07771992346858475,0.02674576554902282,0.05143497916134252
H Values,0.07627486519381334,0.3337857271729727,-0.16440950814718874,-0.19032748485162454,0.14390269253415366
Volume Centrality,0.1526316924261697,-0.10952440472816005,-0.12553273431019082,0.03807558886264379,-0.00010114363636326263
GIN Values,0.12286352551740362,-0.233865667632651,-0.20855330801471755,-0.06545736207215949,-0.009184458218902366
LGC Scores,0.16155623216073361,0.07322978459219358,-0.018563122711780112,0.04119729391506182,0.1872165628320005
DNC Scores,0.1584278588945714,0.04298495366597285,0.15209707254471394,0.0687023243196401,-0.058330092618245996
EIGSM Values,0.16842466552409913,-0.0650518769205314,0.01376084038797848,0.008415346195449312,0.0462887723927894
Societal Capital Scores,0.16868300713989998,0.02162423376965273,-0.009393518460929928,0.057999958091827605,-0.018906493499611585
Improved Gravity Index Values,0.1588029415506879,0.11058480359745584,-0.11592196217195602,-0.05805734575973509,-0.025283398161155296
Extended Improved Gravity Index Values,0.15557188562460658,0.15060692154370223,-0.10165319146593281,-0.039288983123172756,0.09178173423620362
Node H-Index,0.13623679383162993,0.09973240492316926,-0.02807070885029052,-0.11107627833073497,-0.28126842993382384
MCGM Values,0.13542843484120204,0.23970474093946878,-0.09228856231832051,-0.12214792646683285,0.12929611399516414
GGC Values,0.14472734633823875,-0.13861529144211368,0.15758508610889482,-0.02005786130856888,0.15913952887311264
Subgraph centrality,0.1518678968220668,0.1955703470976758,-0.011140624625688177,0.003913488283303658,0.08151467202297474
Second order centrality,0.13266011116441012,-0.18097778735223324,-0.10025814661924519,-0.14236440934815298,-0.19996326514294127
K-Shell Value,0.09765735362366745,0.19430446078296332,-0.012775348951037593,-0.28091323487713177,-0.41366448170675524
